country,round,Column1,survey_date,Column2,Column3,enum_sex,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,site_id,site_name,Column28,Column29,site_open,site_date_open,site_date_close,site_location,site_zone,site_district,site_municipality,Column30,site_latitude,site_longitude,Column31,Column32,site_class,site_type,Column33,Column34,site_date_close_exp,Column35,Column36,site_access,Column37,site_owner,site_shelter,Column38,smc_exist,smc_per_female,site_community,Column39,Column40,sma_exist,sma_type,Column41,sma_name,Column42,Column43,regist_activity,origin_zone,origin_district,origin_municipality,Column44,Column45,Column46,Column47,Column48,n_family,n_total,n_infants_male,n_child_male,n_youth_male,n_adult_male,n_elder_male,n_male,n_infants_female,n_infants,n_child_female,n_child,n_youth_female,n_youth,n_adult_female,n_adult,n_elder_female,n_elder,n_female,n_pregnant,n_pregnant_adult,n_pregnant_youth,n_lactating,n_pwd,n_child_sep,n_hoh_female,n_hoh_child,n_hoh_elder,n_min_ethnic,n_chronic_ill,site_dist_origin,site_idp_last,prev_displaced,return_area,Column49,return_prevent,Column50,per_sleep_site,Column51,prev_own,per_hh_outside,per_hh_indoors,per_hh_tents,Column52,per_hh_makeshift,Column53,Column54,per_hh_electricity,per_hh_safecook,nfi_a,Column55,nfi_b,Column56,nfi_c,Column57,water_location,Column58,water_source_np,Column59,water_source_p,Column60,Column61,water_treated,Column62,water_cons,water_remark,Column63,latrine_cond,n_latrine,latrine_gender,n_latrine_male,n_latrine_female,Column64,n_latrine_disable,Column65,latrine_install,Column66,latrine_site,latrine_time,Column67,bathing_gender,latrine_light,latrine_lock,Column68,Column69,hyg_evidence,Column70,hyg_waste,Column71,hyg_open_def,food_access,food_market,Column72,food_source,Column73,Column74,food_fuel,Column75,Column76,Column77,food_sup_lac,food_sup_child,health_issue,Column78,health_issue_b,Column79,health_issue_c,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,health_psych,health_psych_rem,health_antenat,Column90,Column91,health_center_dist,Column92,health_provider,Column93,Column94,edu_access,edu_access_f,edu_access_i,edu_distance,Column95,Column96,Column97,per_sch_female,per_sch_male,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,job_main,job_main_other,n_hh_income,job_access,Column114,job_cattle_site,job_offer,job_offer_how,Column115,job_offer_to,job_abr,Column116,job_abr_in,job_abr_family,job_recruit,Column117,food_land,Column118,Column119,Column120,Column121,sec_provided,sec_reported,sec_provider,Column122,sec_issue,Column123,Column124,Column125,Column126,Column127,Column128,n_space_child,n_space_female,Column129,gbv_report,sec_mens_seg,Column130,sec_min_discriminate,safe_male,site_unsafe_male,Column131,safe_child,site_unsafe_child,Column132,safe_female,site_unsafe_female,Column133,site_lighting,hyg_f_product,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159,Column160,Column161,Column162,Column163,Column164,Column165,Column166,Column167,Column168,Column169,support_problem,Column170,info_src_female,Column171,info_src_male,Column172,info_complaint,Column173,info_main,Column174,info_free,Column175,<1500
Nepal,6,,24/02/16,,,female,,male,,,,,,female,,,,,,,,,,,,,,,,,619,Wasikacha,Existing site,,Yes,26/04/15,,Urban,Bagmati,Bhaktapur,Bhaktapur Municipality,7,27.66724,85.43408,1312.9,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Unknown,Unknown,,Yes,Yes,Private,Temporary shelter (CGIs),,Yes,25% to 50%,Yes,,,Yes,International NGO,,IOM,,,Yes,Bagmati,Bhaktapur,Bhaktapur Municipality,7,Bagmati,Bhaktapur,Bhaktapur Municipality,11,47,209,5,3,26,76,8,118,1,6,1,4,20,46,58,134,11,19,91,0,0,0,5,0,0,1,0,5,0,1,10-30 minutes,25/10/15,No,Place of origin,,House damaged/destroyed,,>75%,No,>75%,None,None,None,>75%,None,None,,>75%,<25%,None,,None,,None,,Off-site (Less than 20 minutes),No,Piped water supply,,Piped water supply,,,Chlorinated,,>15 liters,None,,Not so good (not hygienic),10,No,0,0,0,0,0,Provided,"ENPHO, Engineer Society",On-site,Both times,No,No,No,No,3,Yes,No,No,Garbage pit,,No,No,Yes,Less than 1 hour,Own cash,,,Yes,Available for purchase from market,,No,No,No,Cough,,Cold,,None,,1,0,0,0,0,0,0,No,No,No,,Yes,,,Off-site (Less than 30 minutes),,Government,,Yes,Yes,Yes,No,Off-site (Less than 20 minutes),,,,>75%,>75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,75,Yes,Lower,Yes,No,,,,No,,,No,No,,Yes,Store/small business,,Daily wage labor,,No,Yes,,,None,,None,,Yes,Yes,Self organised,0,0,Yes,Yes,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,100,>75%,Yes,No,25000,"25,000 or more",,,25000,"25,000 or more","Buy clothes, blankets, etc.",,100,>75%,"IOM, Nepal Mandal",,,Yes,,,,,,,,,,On-site,,,,,,Yes,,,None,,Families & friends,,Families & friends,,Yes,SMC,Other relief assistance,,Yes,"Not enough light and water, drainage problem",<1500
Nepal,6,,23/02/16,,,female,,male,President,,,,,,,,,,,,,,,,,,,,,,621,Bramhayanipeeth Chokha,Existing site,,Yes,28/04/15,,Urban,Bagmati,Bhaktapur,Bhaktapur Municipality,1,27.6757333,85.44355,1333.5,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Unknown,Unknown,,Yes,Yes,Private,Temporary shelter (CGIs),,Yes,25% to 50%,Yes,,,Yes,International NGO,,IOM,,,Yes,Bagmati,Bhaktapur,Bhaktapur Municipality,1,Bagmati,Bhaktapur,Bhaktapur Municipality,2,54,269,0,11,25,69,8,113,0,0,36,47,22,47,87,156,11,19,156,1,1,0,3,0,0,2,0,3,0,0,<10 mins,08/01/16,No,Place of origin,,House damaged/destroyed,,>75%,No,>75%,None,None,None,>75%,None,None,,>75%,25% to 50%,None,,None,,None,,On-site,No,Piped water supply,,Piped water supply,,,No treatment,,>15 liters,None,,Not so good (not hygienic),11,No,2,2,0,0,0,Provided,BNMT Nepal,On-site,Both times,Yes,No,No,Yes,0,,,,No waste disposal system,,No,No,Yes,Less than 1 hour,Own cash,,,Yes,Collect personally,,No,No,No,Cough,,Cold,,None,,0,0,0,0,0,0,0,No,No,No,,Yes,,,Off-site (Less than 30 minutes),,Government,,Yes,Yes,Yes,No,Off-site (Less than 20 minutes),,,,>75%,>75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,50,Yes,Lower,Yes,No,,,,No,,,No,No,,Yes,Weaving/knitting,,Store/small business,,Yes,Yes,Self organized,,None,,None,,Yes,Yes,"Self organised, no concern",0,0,Yes,Yes,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,100,>75%,Yes,No,25000,"25,000 or more",,,25000,"25,000 or more","Buy clothes, blankets, etc.",,100,>75%,IOM,,,Yes,,,,,,,,,,On-site,,,,,,Yes,,,None,,Families & friends,,Families & friends,,Yes,SMC,Recovery plans,,Yes,"Drainage problem, hygiene is not maintained, not enough water to use, solar is needed",<1500
Nepal,6,,28/02/16,,,female,,male,,,Management,,,,,,,,,,,,,,,,,,,,630,Golmadi,Existing site,,Yes,28/04/15,,Urban,Bagmati,Bhaktapur,Bhaktapur Municipality,7,27.66998,85.43233,1311.8,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Unknown,Unknown,,Yes,Yes,Public/Government,Tent,,Yes,25% to 50%,Yes,,,Yes,International NGO,,IOM,,,Yes,Bagmati,Bhaktapur,Bhaktapur Municipality,7,Bagmati,Bhaktapur,Bhaktapur Municipality,6,65,300,4,9,15,100,15,143,2,6,11,20,23,38,103,203,18,33,157,0,0,0,4,3,0,1,0,0,0,0,<10 mins,29/04/15,No,Place of origin,,House damaged/destroyed,,>75%,No,>75%,None,None,51% to 75%,25% to 50%,None,None,,>75%,>75%,Solar light,,None,,None,,Off-site (Less than 20 minutes),No,Protected Well,,Protected Well,,,No treatment,,>15 liters,None,,Not so good (not hygienic),3,No,1,2,0,0,0,Provided,ENPHO,On-site,Both times,No,No,No,Yes,0,,,,Municipal collection,,No,No,Yes,Less than 1 hour,Own cash,,,Yes,Available for purchase from market,,No,No,No,None,,None,,None,,0,2,1,3,0,0,0,No,No,No,,Yes,,,Off-site (Less than 30 minutes),,Government,,Yes,Yes,Yes,No,Off-site (Less than 20 minutes),,,,>75%,>75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,40,Yes,Lower,No,No,,,,No,,,No,No,,Yes,Weaving/knitting,,Store/small business,,Yes,Yes,Self organized,,None,,None,,Yes,Yes,Self managed no concern,0,0,Yes,Yes,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,100,>75%,Yes,No,25000,"25,000 or more",,,25000,"25,000 or more","Buy clothes, blankets, etc.",,100,>75%,IOM,,,Yes,,,,,,,,,,On-site,,,,,,Yes,,,None,,Site management,,Site management,,Yes,SMC,Recovery plans,,Yes,"Not enough water and light, hygiene is not maintained",<1500
Nepal,6,,25/02/16,,,female,,female,,,Volunteer,,,,Leader,,,,,,,,,,,,,,,,649,Dekocha (Khowpa College),New Site,,Yes,15/06/15,,Urban,Bagmati,Bhaktapur,Bhaktapur Municipality,5,27.677064,85.432566,1324,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Unknown,Unknown,,Yes,Yes,Public/Government,Temporary shelter (CGIs),,No,,,,,Yes,International NGO,,IOM,,,Yes,Bagmati,Bhaktapur,Bhaktapur Municipality,5,Bagmati,Bhaktapur,Bhaktapur Municipality,7,43,186,3,7,16,51,6,83,3,6,11,18,19,35,59,110,11,17,103,0,0,0,4,3,3,0,0,0,0,0,<10 mins,25/10/15,No,Place of origin,,House damaged/destroyed,,>75%,No,>75%,None,None,None,>75%,None,None,,>75%,<25%,None,,None,,None,,Off-site (Less than 20 minutes),No,Protected Well,,Piped water supply,,,No treatment,,>15 liters,None,,Not so good (not hygienic),8,"Yes, next to each other/same HWS",3,5,0,0,0,Provided,ENPHO,On-site,Both times,No,No,No,Yes,0,,,,Municipal collection,,No,No,Yes,Less than 1 hour,Own cash,,,Yes,Available for purchase from market,,No,No,No,None,,None,,None,,0,3,0,3,0,0,0,No,No,No,,Yes,,,Off-site (Less than 30 minutes),,Government,,Yes,Yes,Yes,No,Off-site (Less than 20 minutes),,,,>75%,>75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,70,Yes,Lower,Yes,No,,,,No,,,No,No,,Yes,Store/small business,,Store/small business,,Yes,Yes,Police,,None,,None,,Yes,Yes,"Self organised and police available, no concern",0,0,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,60,51%-75%,Yes,No,25000,"25,000 or more",,,25000,"25,000 or more","Buy clothes, blankets, etc.",,100,>75%,"IOM, Khwopa En College, Monks",,,Yes,,,,,,,,,,On-site,,,,,,Yes,,,None,,Families & friends,,Families & friends,,Yes,Police,Recovery plans,,Yes,"They want CGIs to make separate cooking, not enough water",<1500
Nepal,6,,23/02/16,,,male,,male,Member,,,,,,,,,,,,,,,,,,,,,,26,Bhelukhel,Existing site,Leshimnkhel,Yes,25/04/15,,Peri-Urban,Bagmati,Bhaktapur,Bhaktapur Municipality,11,27.6688,85.43015,1313.703975,,Spontaneous,"Open ground (park, playground, sports ground, other)",,Yes,1-2 months,Festival approaching,,Yes,Yes,Public/Government,Tent,,Yes,<25%,Yes,,,Yes,International NGO,,IOM,,,Yes,Bagmati,Bhaktapur,Bhelukhel,11,Bagmati,Bhaktapur,Khela,12,53,244,4,10,26,67,12,119,2,6,8,18,22,48,78,145,15,27,125,4,4,0,10,3,2,4,1,12,4,1,<10 mins,01/11/15,No,Place of origin,,House damaged/destroyed,,51% to 75%,Unknown,>75%,None,<25%,25% to 50%,<25%,None,None,,>75%,>75%,Water supply,,None,,None,,On-site,Yes,Hand pumps,,Piped water supply,,,Filtered,,11-15 liters,Other,No regular water supply,Not so good (not hygienic),2,"Yes, separate entrance/Hand Washing Station",1,1,0,0,2,Provided,Unknown,On-site,Both times,No,Yes,No,Yes,0,,,,Municipal collection,,No,No,Yes,Less than 1 hour,Own cash,,,No,,,Yes,Yes,Yes,Cough,,Cold,,None,,4,0,1,1,0,0,0,Yes,No,No,,No,Too far,,Off-site (Less than 30 minutes),,Local clinic/medical practitioners,,Yes,Yes,Yes,No,Off-site (Less than 20 minutes),,,,>75%,>75%,None,,,None,,,None,,,None,,,No,No,Daily wage laborer,,Daily wage laborer,,100,Yes,Similar,Yes,Yes,Family member/relative,,Husband,No,,,Yes,No,,No,Construction/daily labour,,Store/small business,,Yes,No,Police,,None,,None,,Yes,Yes,,0,0,Yes,Unknown,Yes,Not so far,Yes,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,100,>75%,Yes,No,10000,"10,000-24,999",,,10000,"10,000-24,999",Buy food,,100,>75%,IOM,Yes,,Yes,,,,,,,,,,On-site,,,,,,Yes,,,None,,Authorities,,Authorities,,Unknown,,Access to services,,Yes,Water supply needed as soon as possible.,<1500
Nepal,6,,01/03/16,,,male,,male,,,,,,male,A.S.I,,,,,female,,,,,,female,,,,,506,Koldanda,Existing site,,Yes,01/03/16,,Rural,Janakpur,Ramechhap,Bhuji,5,27.473433,86.279421,1534.077054,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Unknown,Not closing,,Yes,Yes,Public/Government,Temporary shelter (CGIs),,No,,,,,No,,,,,,Yes,Janakpur,Ramechhap,Bhuji,5,Janakpur,Ramechhap,Bhuji,2,30,143,0,3,24,32,2,61,0,0,5,8,32,56,40,72,5,7,82,0,0,0,8,2,3,5,1,3,143,4,<10 mins,28/04/15,No,Other,Will decide after geological assessment being carried out by the government.,Fear of landslide/aftershock,,>75%,No,>75%,None,None,None,51% to 75%,<25%,None,,>75%,None,Support in reconstruction,,Livelihood support,,None,,On-site,Yes,Piped water supply,,Piped water supply,,,Boiled,,11-15 liters,Suspended solids,,Not so good (not hygienic),4,"Yes, separate entrance/Hand Washing Station",2,2,0,0,0,Built by displaced communities,,On-site,Both times,Yes,Yes,No,No,2,Yes,Yes,Yes,Garbage pit,,No,No,No,6-10 hours,Own/Cultivated,,,Yes,Collect personally,,No,No,No,Cold,,Cough,,Conjunctivitis,,0,0,0,0,0,0,0,No,No,No,,Yes,,,Off-site (1-2 hours),,Government,,Yes,Yes,Yes,No,Off-site (More than 20 minutes),,,,>75%,>75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,30,No,Lower,No,No,,,,No,,,No,No,,Yes,Weaving/knitting,,Daily wage labor,,Yes,No,Police,,Friction/tension within households,,None,,Yes,No,,0,0,Yes,Yes,No,,No,Yes,,,Yes,,,No,Toilet,,"Yes, there is lighting but it is NOT adequate",Yes,100,>75%,Yes,No,10000,"10,000-24,999",,,10000,"10,000-24,999","Buy clothes, blankets, etc.",,100,>75%,ACTED,,,Yes,,Yes,Yes,,,,,,,On-site,,,,,,Yes,,,None,,Families & friends,,Authorities,,No,,Recovery plans,,Yes,Want to know about NRA strategies and rules.,1500 - 2500
Nepal,6,,23/02/16,,,male,,male,,,,,,female,,,,,,,,,,,,,,,,,547,Partypani,Existing site,,Yes,25/04/15,,Rural,Bagmati,Nuwakot,Bidur Municipality,2,27.92046,85.17488,1072.909047,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Unknown,Not closing,,Yes,Yes,Public/Government,Temporary shelter (CGIs),,No,,,,,No,,,,,,No,Bagmati,Nuwakot,Bidur,2,Bagmati,Nuwakot,Bidur,2,21,100,0,6,8,35,5,54,1,1,4,10,8,16,30,65,3,8,46,0,0,0,1,1,0,7,0,2,105,1,<10 mins,25/04/15,No,Place of origin,,House damaged/destroyed,,>75%,No,>75%,None,None,None,>75%,<25%,None,,<25%,None,CGIs,,Support in reconstruction,,Tools,,On-site,No,Piped water supply,,Piped water supply,,,Filtered,,<5 liters,None,,Not so good (not hygienic),4,"Yes, next to each other/same HWS",2,2,0,0,0,Provided,Samaritan purse,On-site,Day time,No,No,No,No,4,No,No,No,Burning,,No,"Yes, Off-site",Yes,Less than 1 hour,Own/Cultivated,,,Yes,Collect personally,,No,No,No,None,,None,,None,,0,2,2,4,0,0,0,Yes,No,No,,Yes,,,Off-site (Less than 30 minutes),,Government,,Yes,Yes,Yes,No,On-site (Less than 20 minutes),Government,,,>75%,>75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,80,Yes,Lower,Yes,No,,,,No,,,No,No,,Yes,Agriculture,,Agriculture,,No,No,,,None,,None,,Yes,Yes,,0,0,Yes,Unknown,No,,No,Yes,,,No,Other,Disturbance due to animals at site,Yes,,,No lighting,Yes,100,>75%,Yes,No,10000,"10,000-24,999",,,10000,"10,000-24,999","Buy clothes, blankets, etc.",,0,No winterization assistance,,,,,,,,,,,,,,,None,None,No,Yes,No,No,,,None,,Families & friends,,Families & friends,,No,,Access to services,,Yes,,<1500
Nepal,6,,26/02/16,,,male,,male,,,,,,female,,,,,,,,,,,,,,,,,288,Sano Byasi,Existing site,,Yes,26/02/16,,Urban,Bagmati,Bhaktapur,Bhaktapur Municipality,10,27.6704,85.43345,1310.960741,,Spontaneous,"Open ground (park, playground, sports ground, other)",,Yes,Unknown,Unknown,,Yes,Yes,Public/Government,Tent,,Yes,25% to 50%,Yes,,,Yes,International NGO,,IOM,,,Yes,Bagmati,Bhaktapur,Bhaktapur Municipality,10,Bagmati,Bhaktapur,Bhaktapur Municipality,12,55,349,0,6,18,134,30,188,0,0,18,24,24,42,91,225,28,58,161,0,0,0,0,3,0,0,0,3,0,1,10-30 minutes,13/05/15,No,Place of habitual residence,,House damaged/destroyed,,>75%,No,>75%,None,None,>75%,None,<25%,None,,>75%,>75%,Blankets,,Tarpaulin,,None,,On-site,No,Piped water supply,,Piped water supply,,,No treatment,,11-15 liters,None,,Not so good (not hygienic),6,No,0,0,0,0,0,Provided,ENPHO,Off-site,Both times,No,No,No,Yes,0,,,,Municipal collection,,No,No,Yes,Less than 1 hour,Own cash,,,Yes,Available for purchase from market,,No,No,No,None,,None,,None,,0,3,0,3,1,0,1,No,No,No,,Yes,,,Off-site (Less than 30 minutes),,Government,,No,Yes,Yes,No,Off-site (Less than 20 minutes),,,,>75%,>75%,None,,,None,,,None,,,None,,,Yes,Yes,Daily wage laborer,,Daily wage laborer,,50,Yes,Lower,Yes,No,,,,No,,,No,No,,Yes,Weaving/knitting,,Store/small business,,Yes,Yes,Police,,None,,None,,Yes,Yes,,0,1,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",Yes,80,>75%,Yes,No,25000,"25,000 or more",,,25000,"25,000 or more",Repair damaged houses,,100,>75%,NGO,,,Yes,,,,,,,,,,On-site,,,,,,Yes,,,None,,Site management,,Site management,,Yes,Local authorities,Other relief assistance,,Yes,"Not enough water, hygiene is not maintained",<1500
Nepal,6,,24/02/16,,,male,,male,,,,,,,,,,,,,,,,,,,,,,,647,Khacha(Suryodaya School),New Site,,Yes,26/02/16,,Urban,Bagmati,Bhaktapur,Bhaktapur Municipality,6,27.670823,85.434263,1316,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Unknown,Unknown,,Yes,Yes,Public/Government,Temporary shelter (CGIs),,No,,,,,Yes,International NGO,,IOM,,,Yes,Bagmati,Bhaktapur,Bhaktapur Municipality,6,,,,,27,148,3,15,11,41,7,77,0,3,5,20,15,26,46,87,5,12,71,0,0,0,2,0,0,0,0,2,0,0,<10 mins,26/02/16,No,Place of origin,,House damaged/destroyed,,>75%,No,>75%,None,None,None,>75%,None,None,,>75%,<25%,Cooking gas,,Fire wood,,None,,Off-site (Less than 20 minutes),No,Piped water supply,,Piped water supply,,,Filtered,,>15 liters,None,,No toilets,,,,,,,,,,,,,No,,,0,,,,Municipal collection,,Yes,No,Yes,Less than 1 hour,Own cash,,,Yes,Available for purchase from market,,No,No,No,Cough,,Cold,,None,,0,0,3,3,0,0,0,No,No,No,,Yes,,,Off-site (Less than 30 minutes),,Government,,No,Yes,Yes,No,Off-site (Less than 20 minutes),,,,>75%,>75%,None,,,None,,,None,,,None,,,Yes,Yes,Daily wage laborer,,Daily wage laborer,,100,Yes,Similar,No,No,,,,No,,,No,No,,Yes,Weaving/knitting,,Art/Craft,,Yes,No,Police,,Friction/tension within households,,None,,Yes,No,No concern,0,0,Yes,Yes,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,100,>75%,Yes,No,25000,"25,000 or more",,,25000,"25,000 or more","Buy clothes, blankets, etc.",,100,>75%,IOM,,,Yes,,,,,,,,,,On-site,,,,,,Yes,,,None,,Radio/Newspaper,,Radio/Newspaper,,Yes,Police,None,,Yes,Hygiene is not maintained,<1500
Nepal,6,,26/02/16,,,male,,male,,,,,,female,,,,,,,,,,,,,,,,,34,Suryamadi,Existing site,Garudkunda,Yes,25/04/15,,Urban,Bagmati,Bhaktapur,Bhaktapur Municipality,1,27.6734,85.4375,1335,,Spontaneous,Private land,,No,Unknown,Not closing,,Yes,No,Private,Tent,,Yes,None,Yes,,,Yes,International NGO,,IOM,,,No,Bagmati,Bhaktapur,Bhaktapur Municipality,1,Bagmati,,,,35,135,0,7,17,32,7,63,0,0,6,13,20,37,35,67,11,18,72,0,0,0,2,0,0,3,0,0,130,1,<10 mins,30/05/15,No,Place of habitual residence,,House damaged/destroyed,,>75%,No,>75%,None,None,>75%,<25%,None,None,,>75%,<25%,Tarpaulin,,Cooking gas,,CGIs,,Off-site (Less than 20 minutes),No,Piped water supply,,Piped water supply,,,No treatment,,11-15 liters,None,,Not so good (not hygienic),4,No,2,2,0,0,0,Provided,Enpho,Off-site,Day time,No,No,No,Yes,1,Yes,No,No,Municipal collection,,No,No,Yes,Less than 1 hour,Own cash,,,Yes,Available for purchase from market,,No,No,No,Cough,,Cold,,Diarrhea,,0,0,0,0,0,0,0,No,No,No,,Yes,,,Off-site (Less than 30 minutes),,Government,,No,Yes,Yes,No,Off-site (Less than 20 minutes),,,,>75%,>75%,None,,,None,,,None,,,None,,,Yes,Yes,Daily wage laborer,,Daily wage laborer,,100,Yes,Similar,Yes,No,,,,No,,,No,No,,Yes,Store/small business,,Store/small business,,No,Yes,,,Theft,,None,,Yes,No,Minor thefts only. No remarkable issues.,0,0,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,100,>75%,Yes,No,10000,"10,000-24,999",,,10000,"10,000-24,999","Buy clothes, blankets, etc.",,100,>75%,NGO,,,Yes,,Yes,,,,,,,,On-site,,,,,,Yes,,,None,,Radio/Newspaper,,Radio/Newspaper,,Yes,Police,Recovery plans,,Yes,Wash facility is very poor in site. Majority of pepple come to sleep at night only.,<1500
Nepal,6,,27/02/16,,,male,,female,,,,,,male,,,,,,,,,,,,,,,,,598,Gyan Bijay Sibir,Existing site,,Yes,25/04/15,,Urban,Bagmati,Bhaktapur,Bhaktapur Municipality,17,27.6729333,85.42315,1335.954645,,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,More than 2 months,Not closing,,Yes,No,Public/Government,Temporary shelter (CGIs),,Yes,None,Yes,,,Yes,International NGO,,IOM,,,No,Bagmati,Bhaktapur,Bhaktapur Municipality,17,,,,,32,175,3,0,8,69,6,86,0,3,0,0,16,24,62,131,11,17,89,0,0,0,4,1,0,1,0,2,160,0,<10 mins,31/05/15,No,Place of origin,,House damaged/destroyed,,>75%,No,>75%,None,None,25% to 50%,51% to 75%,None,None,,>75%,25% to 50%,Cooking gas,,CGIs,,None,,Off-site (Less than 20 minutes),No,Piped water supply,,Piped water supply,,,No treatment,,11-15 liters,Odor/smell,,Not so good (not hygienic),2,No,0,0,0,0,0,Provided,"Oxfam, Enpho",Off-site,Don't use at all,No,No,No,Yes,4,No,No,No,Municipal collection,,No,No,Yes,Less than 1 hour,Own cash,,,Yes,Available for purchase from market,,No,No,No,Cough,,Cold,,None,,0,1,0,1,1,0,1,No,No,No,,Yes,,,Off-site (Less than 30 minutes),,Government,,Yes,Yes,Yes,No,Off-site (Less than 20 minutes),,,,>75%,>75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,100,Yes,Similar,No,No,,,,No,,,Yes,No,,Yes,Weaving/knitting,,Store/small business,,Yes,No,Police,,Alcohol/drug-related disturbance,,None,,Yes,Yes,No remarkable isssues,0,0,Yes,No,No,,No,Yes,,,No,Toilet,,No,Toilet,,"Yes, there is lighting but it is NOT adequate",No,100,>75%,Yes,No,10000,"10,000-24,999",,,10000,"10,000-24,999","Buy clothes, blankets, etc.",,100,>75%,IOM,,,Yes,,,,,,,,,,On-site,,,,,,Yes,,,None,,Radio/Newspaper,,Radio/Newspaper,,Yes,SMC,Shelter,,Yes,No comments,<1500
Nepal,6,,02/03/16,,,male,,male,SMC President,,,,,female,SMC Secretary,,,,,,,,,,,,,,,,225,Bulungkhani,Existing site,,Yes,02/03/16,,Rural,Janakpur,Dolakha,Bulung,9,27.47861,86.10197,1056.144843,,Spontaneous,Agricultural land,,No,Unknown,Not closing,,Yes,No,Private,Temporary shelter (CGIs),,Yes,51% to 75%,Yes,,,Yes,International NGO,,ACTED,,,Yes,Janakpur,Dolakha,Bulung,8,,,,,97,359,6,17,25,103,22,173,6,12,15,32,28,53,97,200,40,62,186,3,3,0,15,2,0,6,0,2,300,0,10-30 minutes,12/05/15,No,None (Stay here),,House damaged/destroyed,,>75%,No,>75%,None,None,None,>75%,None,None,,>75%,25% to 50%,Support in reconstruction,,CGIs,,None,,On-site,Yes,Piped water supply,,Piped water supply,,,No treatment,,>15 liters,None,,Good (Hygienic),97,No,0,0,0,0,0,Built by displaced communities,,On-site,Both times,Yes,No,No,No,0,,,,Garbage pit,,No,No,No,2-6 hours,Own cash,,,Yes,Collect personally,,Yes,No,No,Cough,,Cold,,Other,Asthma,0,0,0,0,0,0,0,Yes,No,No,,Yes,,,Off-site (1-2 hours),,Government,,Yes,Yes,Yes,No,Off-site (Less than 20 minutes),,,,>75%,>75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Daily wage laborer,,100,Yes,Higher,Yes,No,,,,No,,,Yes,No,,Yes,Agriculture,,Store/small business,,No,Yes,,,Friction/tension within households,,None,,Yes,Yes,No remarkable issues. Only alcohol induced  disputes within households,0,0,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,100,>75%,Yes,No,27000,"25,000 or more",,,27000,"25,000 or more","Buy clothes, blankets, etc.",,100,>75%,IOM,Yes,Yes,Yes,,,,,,,Yes,,,On-site,,,,,,Yes,,,None,,Mobile phone,,Mobile phone,,Yes,Police,Shelter,,Yes,No remarkable issues,<1500
