country,round,Column1,survey_date,Column2,Column3,enum_sex,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,site_id,site_name,Column28,Column29,site_open,site_date_open,site_date_close,site_location,site_zone,site_district,site_municipality,Column30,site_latitude,site_longitude,Column31,Column32,site_class,site_type,Column33,Column34,site_date_close_exp,Column35,Column36,site_access,Column37,site_owner,site_shelter,Column38,smc_exist,smc_per_female,site_community,Column39,Column40,sma_exist,sma_type,Column41,sma_name,Column42,Column43,regist_activity,origin_zone,origin_district,origin_municipality,Column44,Column45,Column46,Column47,Column48,n_family,n_total,n_infants_male,n_child_male,n_youth_male,n_adult_male,n_elder_male,n_male,n_infants_female,n_infants,n_child_female,n_child,n_youth_female,n_youth,n_adult_female,n_adult,n_elder_female,n_elder,n_female,n_pregnant,n_pregnant_adult,n_pregnant_youth,n_lactating,n_pwd,n_child_sep,n_hoh_female,n_hoh_child,n_hoh_elder,n_min_ethnic,n_chronic_ill,site_dist_origin,site_idp_last,prev_displaced,return_area,Column49,return_prevent,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,per_sleep_site,Column65,Column66,Column67,Column68,prev_own,per_hh_outside,per_hh_indoors,per_hh_tents,Column69,per_hh_makeshift,Column70,Column71,per_hh_eletricity,per_hh_safecook,nfi_a,Column72,nfi_b,Column73,nfi_c,Column74,water_location,Column75,water_source_np,Column76,water_source_p,Column77,Column78,water_treated,Column79,water_cons,water_remark,Column80,latrine_cond,n_latrine,latrine_gender,n_latrine_male,n_latrine_female,Column81,n_latrine_disable,Column82,latrine_install,Column83,latrine_site,latrine_time,Column84,bathing_gender,latrine_light,latrine_lock,hyg_station,Column85,hyg_evidence,Column86,hyg_waste,Column87,hyg_open_def,food_access,food_market,Column88,food_source,Column89,Column90,food_fuel,Column91,Column92,Column93,food_sup_lac,food_sup_child,health_issue,Column94,health_issue_b,Column95,health_issue_c,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,health_psych,health_psych_rem,health_antenat,Column110,Column111,health_center_dist,Column112,health_provider,Column113,Column114,edu_access,edu_access_f,edu_access_i,edu_distance,Column115,Column116,Column117,per_sch_female,per_sch_male,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,job_main,job_main_other,n_hh_income,job_access,Column134,job_cattle_site,job_offer,job_offer_how,Column135,job_offer_to,job_abr,Column136,job_abr_in,job_abr_family,job_recruit,Column137,food_land,Column138,Column139,Column140,Column141,sec_provided,sec_reported,sec_provider,Column142,sec_issue,Column143,Column144,Column145,Column146,Column147,Column148,n_space_child,n_space_female,Column149,gbv_report,sec_mens_seg,Column150,sec_min_discriminate,safe_male,site_unsafe_male,Column151,safe_child,site_unsafe_child,Column152,safe_female,site_unsafe_female,Column153,site_lighting,hyg_f_product,Column154,Column155,Column156,Column157,Column158,Column159,Column160,Column161,Column162,Column163,Column164,Column165,Column166,Column167,Column168,Column169,Column170,Column171,Column172,Column173,Column174,Column175,Column176,Column177,info_src_female,Column178,info_src_male,Column179,info_complaint,Column180,Column181,Column182,info_main,Column183,info_free,Column184,Column185,Column186,Column187,Column188,Column189,Column190,Column191,Column192,Column193,Column194,Column195,Column196
Nepal,8,,28/07/16,,,Male,,Male,,,,,,Male,,,,,,Female,,,,,,Female,,,,,236,Simbutar,Existed in R7,,Open,30/04/2015,,Peri-Urban,Bagmati,Nuwakot,Bidur Municipality,9,27.92837,85.15141,565.4108754,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Not closing,,Yes,Yes,Public/Government,Temporary Shelter (CGIs),,No,,,,,No,,,,,,Yes,Bagmati,Nuwakot,Salme,7,Bagmati,Nuwakot,Salme,9,281,1458,42,84,224,323,28,701,42,84,42,126,238,462,407,730,28,56,757,5,5,0,90,3,1,4,0,1,1200,4,Longer,15-Sep-15,No,None (Stay here),,Fear of landslide/aftershock,,No,,,No,No,No,No,No,No,No,No,,,,> 75%,No,Other,No plan,No,> 75%,None,None,None,> 75%,None,None,,> 75%,> 75%,Other,Livelihood means,Other,Land for relocation,None,,Off-site (<20 minutes),No,Piped water supply,,Piped water supply,,,Filtered,,>15 liters,Suspended solids,,Good (Hygienic),33,No,0,0,0,0,2,Provided,NGO,On-site,Both times,Yes,No,No,Yes,0,,,,Garbage pit,,No,No,Yes,< 1 hour,Own Cash,,,No,,,Yes,No,No,Cough,,Cold,,Diarrhea,,Mosquito net,,0,0,0,0,0,0,0,,,Yes,Yes,No,,Yes,,,Off-site (<30 minutes),,Government,,Yes,Yes,Yes,Yes,Off-site (<20 minutes),,Off-site (<20 minutes),,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Daily Wage laborer,,10,No,Lower,No,No,,,,Yes,,Gulf countries,Yes,No,,No,Weaving/knitting,,Agriculture,,Yes,Yes,Self organized,,None,,None,,Yes,Yes,"Toilets are male n female segregated but at the same location, making women vulnerable to go to toilets at night.",1,0,Yes,Yes,No,,No,Yes,,,Yes,,,Yes,,,No lighting,No,Yes,,,None,None,None,Unknown,> 75%,< 50%,Yes,,Yes,,No,No drainage system at all,Yes,,No,No food support,Yes,,Yes,Other NGO/iNGO,,Families & friends,,Local leader,,No,,Yes,Already done,Recovery plans,,Yes,IDPs claim they can't go back to POO and hence want to know about permanent relocation plans.,<1500,28100%,0%,0%,100%,0,0,0,281,0,281,281
Nepal,8,,28/07/16,,,Male,,Male,,,,,,,,,,,,,,,,,,,,,,,288,Sano byasi,Existed in R7,,Open,25/04/2016,,Urban,Bagmati,Bhaktapur,Bhaktapur Municipality,13,27.6704,85.43345,1310.960741,,Spontaneous,"Collective Centre  (schools, offices, religious, hospital, other)",,Yes,Don't know,Not closing,,Yes,Yes,Public/Government,Temporary Shelter (CGIs),,No,,,,,Yes,International Organization,,IOM,,,Yes,Bagmati,Bhaktapur,Bhaktapur municipality,10,,,,,45,187,0,0,36,43,11,90,2,2,7,7,23,59,47,90,18,29,97,0,0,0,3,3,0,1,0,1,0,0,<10 mins,25-Apr-15,No,Place of Habitual residence,,House damaged/destroyed   ,,Yes,50,Yes,No,Yes,No,No,No,No,No,No,,Resume livelihood at the place of origin/habitual residence,,> 75%,No,Government ownership,,Yes,> 75%,None,None,None,> 75%,None,None,,> 75%,> 75%,Water filter,,Other,Construction material,None,,Off-site (<20 minutes),Yes,Water truck,,Water truck,,Oasis,No treatment,,>15 liters,None,,Not so good (not hygienic),7,No,4,3,0,0,0,Provided,IOM,On-site,Both times,Yes,No,No,Yes,0,,,,Municipal collection,,No,No,Yes,< 1 hour,Own Cash,,,Yes,Available for purchase from market,,Yes,No,No,None,,None,,None,,Mosquito net,,0,0,0,0,1,0,1,,,Yes,Yes,Yes,"Work nepal, save the children, SAFU child club",Yes,,,On-site,Healthpost,Government,,Yes,Yes,Yes,No,Off-site (<20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,75,Yes,Lower,No,No,,,,No,,,No,No,,No,Construction/daily labour,,Construction/daily labour,,Yes,No,Self organized,,None,,None,,Yes,Yes,Save the children,1,0,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,Yes,,,< 25%,< 75%,< 75%,< 75%,< 75%,< 25%,No,No proper wash facilities,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,SMA,,Families & friends,,Families & friends,,No,,Yes,Less than 1 month,Shelter,,Yes,Shelter,<1500,4500%,0%,0%,100%,0,0,0,45,0,45,45
Nepal,8,,01/08/16,,,Male,,Male,,,,,,Male,,,,,,Male,,,,,,,,,,,491,Boudha,Existed in R7,,Open,18/05/2015,,Urban,Bagmati,Kathmandu,Kathmandu Municipality,6,27.726,85.367,1347.537186,,Spontaneous,Private land,,No,More than 2 months,Other,Rented room,Yes,Yes,Private,Makeshift/tarpaulin shelter,,Yes,None,No,,,Yes,International Organization,,IOM,,,Yes,Bagmati,Sindhupalchok,Phulping katti,1,Bagmati,Sindhupalchok,Tutapani,5,85,339,4,15,41,89,18,167,7,11,12,27,50,91,88,177,15,33,172,2,1,1,15,1,0,0,0,5,13,1,Longer,13-Jul-15,No,Other place in the country,,Basic infrastructures damaged,,Yes,107,Yes,No,No,No,No,No,No,No,Yes,Rented room,Resume livelihood at the place of origin/habitual residence,,> 75%,No,Other,No,No,> 75%,None,None,None,None,> 75%,None,,< 25%,> 75%,Cooking Gas,,CGIs,,Kitchen sets,,On-site (<20 minutes),No,Hand pumps,,Bottled water,,,Filtered,,>15 liters,Odor/smell,,Not so good (not hygienic),8,"Yes, next to each other/same HWS",8,0,0,0,0,Provided,NCV,On-site,Both times,Yes,Yes,No,Yes,2,Yes,Yes,No,Municipal collection,,No,"Yes, On Site",Yes,< 1 hour,Own Cash,,,Yes,Collect personally,,No,No,No,Diarrhea,,Cold,,Conjunctivitis,,Mosquito net,,1,1,0,1,1,0,1,,,No,No,No,,No,No pregnant women,,Off-site (1-2 hours),,Local Clinic/med practitioners,,Yes,Yes,Yes,No,On-site (<20 minutes),Government,,,> 75%,> 75%,None,,,None,,,None,,,None,,,No,No,Trade,,Daily Wage laborer,,75,No,Lower,No,No,,,,Yes,,Malasiya,No,No,,No,Construction/daily labour,,Construction/daily labour,,Yes,Yes,Self organized,,Theft,,None,,Yes,No,No,1,0,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,Yes,,,> 75%,< 50%,< 50%,< 50%,> 75%,< 25%,Yes,,No,Far from site,No,Poor drainage system,Yes,,Yes,,Yes,,No,,,Mobile Phone,,Mobile Phone,,No,,No,,Shelter,,Yes,"Drinking water
Shelter",<1500,8500%,0%,0%,0%,1,0,0,0,85,21,85
Nepal,8,,31/07/16,,,Male,,Male,,,,,,Female,,,,,,,,,,,,,,,,,493,Dhuche,Existed in R7,,Open,13/05/2015,,Rural,Bagmati,Kavrepalanchok,Pokhari Narayansthan,3,27.51416,85.73695,374.2989515,,Spontaneous,Other,Roadside,No,Don't know,Not closing,,Yes,No,Public/Government,Temporary Shelter (CGIs),,No,,,,,No,,,,,,No,Bagmati,Kavrepalanchok,Pokhari Narayansthan,3,,,,,23,104,3,2,12,28,5,50,2,5,3,5,9,21,32,60,8,13,54,0,0,0,9,3,0,4,0,10,105,0,30 mins - 1 hour,19-May-15,No,None (Stay here),,House damaged/destroyed   ,,Yes,9,Yes,No,Yes,No,No,No,No,No,No,,Other,Cultivate land,> 75%,No,Other,Not planned,Yes,> 75%,None,None,None,< 75%,< 50%,None,,> 75%,< 50%,CGIs,,Tarpaulin,,None,,Off-site (>20 minutes),Yes,Piped water supply,,Piped water supply,,,Chlorinated,,10-15 liters,None,,Good (Hygienic),6,No,0,0,0,0,0,Provided,Unicef,On-site,Both times,No,No,No,Yes,0,,,,Burning,,No,No,Yes,< 1 hour,Own/Cultivated,,,Yes,Collect personally,,No,Yes,No,Cold,,Cough,,None,,Mosquito net,,0,0,0,0,0,0,0,,,Yes,Yes,Yes,IOM,Yes,,,Off-site (<30 minutes),,Government,,No,Yes,Yes,No,Off-site (>20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Craftsmen,,Craftsmen,,100,Yes,Lower,Yes,No,,,,No,,,No,No,,Yes,Art/Craft,,Art/Craft,,No,No,,,None,,None,,No,No,No remarkable protection.,0,0,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",No,Yes,,,None,None,None,> 75%,> 75%,> 75%,Yes,,Yes,,No,No drainage system at all,Yes,,No,No food support,Yes,,Yes,Government,,Families & friends,,Radio / News,,No,,Yes,Already done,None,,Yes,Site residents living peacefully. Water supply intermittent. Residents requesting more CGIs.,<1500,2300%,0%,0%,60%,0,0,0,14,9,23,12
Nepal,8,,29/07/16,,,Male,,Male,,,,,,Male,,,,,,Female,,,,,,Female,,,,,498,Syaubari,Existed in R7,Syankhule,Open,17/05/2015,,Peri-Urban,Bagmati,Rasuwa,Laharepauwa,8,28.00437,85.21006,1670.324311,6,Spontaneous,Private land,,No,Don't know,Not closing,,Yes,Yes,Private,Makeshift/tarpaulin shelter,,No,,,,,No,,,,,,Yes,Bagmati,Rasuwa,Haku,8,Bagmati,Rasuwa,Haku,9,72,350,8,28,41,76,15,168,15,23,18,46,39,80,92,168,18,33,182,1,1,0,35,3,1,5,0,1,350,1,Longer,25-May-15,Yes,None (Stay here),,Fear of landslide/aftershock,,No,,,No,No,No,No,No,No,No,No,,,,> 75%,Yes,Other,IDPs have purchased land but have not paid the amount in full.,No,> 75%,None,None,None,< 25%,> 75%,None,,> 75%,> 75%,Other,Land for relocation,Other,Livelihood support,CGIs,,On-site (<20 minutes),Yes,Piped water supply,,Piped water supply,,,No treatment,,5-10 liters,None,,Good (Hygienic),7,No,0,0,0,0,0,Provided,Lumanti Nepal,On-site,Both times,Yes,No,Yes,No,0,,,,Garbage pit,,No,No,Yes,< 1 hour,Own Cash,,,No,,,No,No,No,Cough,,Cold,,Diarrhea,,Mosquito net,,0,0,2,2,0,0,0,,,No,Yes,No,,No,Too far,,Off-site (1-2 hours),,Local Clinic/med practitioners,,No,Yes,Yes,Yes,Off-site (<20 minutes),,On-site (<20 minutes),Quake volunteer,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Daily Wage laborer,,5,No,Lower,No,No,,,,No,,,Yes,Yes,Kerung,No,Weaving/knitting,,Construction/daily labour,,Yes,Yes,Self organized,,None,,None,,Yes,Yes,,1,0,No,Yes,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",No,Yes,,,None,None,None,Unknown,> 75%,< 50%,Yes,,Yes,,No,No drainage system at all,Yes,,No,No food support,Yes,,Yes,Other NGO/iNGO,,Families & friends,,Local leader,,No,,Yes,Already done,Recovery plans,,Yes,IDPs want permanent relocation land.,1500 - 2500,7200%,0%,0%,20%,1,0,0,14,58,72,72
Nepal,8,,31/07/16,,,Male,,Male,,,,,,Female,,,,,,Female,,,,,,,,,,,502,RCB,Existed in R7,,Open,26/04/2015,,Rural,Gandaki,Gorkha,Barpak,4,28.20612,84.74176,1847.720068,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Not closing,,Yes,No,Private,Temporary Shelter (CGIs),,Yes,< 25%,Yes,,,No,,,,,,No,Gandaki,Gorkha,Barpak,5,,,,,33,158,5,15,16,35,7,78,7,12,14,29,12,28,40,75,7,14,80,1,1,0,20,1,0,4,0,0,158,0,30 mins - 1 hour,15-Jun-15,Yes,None (Stay here),,Fear of landslide/aftershock,,Yes,3,Yes,No,Yes,Yes,No,No,No,No,No,,Construct/repair shelter at the place of origin/habitual residence,,> 75%,No,Other,Not planned,Yes,> 75%,None,< 25%,None,> 75%,None,None,,> 75%,< 25%,Cooking Gas,,CGIs,,Mosquito net,,On-site (<20 minutes),Yes,Piped water supply,,Piped water supply,,,Filtered,,10-15 liters,None,,Not so good (not hygienic),4,No,0,0,0,0,2,Provided,DUDBC,On-site,Day time,No,No,No,Yes,2,Yes,No,No,Burning,,No,No,No,1-2 hours,Own Cash,,,Yes,Collect personally,,No,No,No,Cold,,Diarrhea,,None,,None,,0,0,0,0,0,0,0,,,Yes,No,No,,Yes,,,Off-site (<30 minutes),,Government,,Yes,Yes,Yes,No,Off-site (<20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Daily Wage laborer,,6,Yes,Lower,Yes,No,,,,No,,,No,No,,No,Construction/daily labour,,Construction/daily labour,,No,No,,,None,,None,,Yes,Unknown,,0,0,Yes,Unknown,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,"No,  no vehicular access",Muddy path to the site,,None,< 25%,< 25%,< 50%,< 50%,< 25%,Yes,,Yes,,Unknown,,Yes,,Yes,,Yes,,Yes,Government,,Families & friends,,Local leader,,Yes,Authorities,Yes,Don't know,Recovery plans,,Yes,,1500 - 2500,3300%,20%,0%,80%,0,7,0,26,0,33,8
Nepal,8,,27/07/16,,,Male,,Female,Member,,,,,Female,,,,,,Female,,,,,,,,,,,503,Jelana,Existed in R7,,Open,25/04/2015,,Peri-Urban,Bagmati,Bhaktapur,Bhaktapur Municipality,2,27.674,85.421,1319.495245,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,Yes,Don't know,Voluntary return to the place of origin,,"No,  no vehicular access",No,Private,Makeshift/tarpaulin shelter,,Yes,> 75%,Yes,,,Yes,International Organization,,IOM,,,Yes,Bagmati,Bhaktapur,Bhaktapur municipality,15,Bagmati,Bhaktapur,Bhaktapur municipality,17,41,175,0,4,28,38,10,80,0,0,8,12,28,56,44,82,15,25,95,0,0,0,2,0,0,1,0,1,0,0,<10 mins,27-Jul-16,No,Place of origin,,House damaged/destroyed   ,,Yes,7,Yes,Yes,No,No,No,No,No,No,No,,Unknown,,> 75%,No,Purchased by IDPs,,Yes,> 75%,None,None,None,> 75%,< 25%,None,,> 75%,> 75%,Cooking Gas,,None,,None,,Off-site (<20 minutes),No,Piped water supply,,Piped water supply,,,No treatment,,>15 liters,None,,Not so good (not hygienic),4,"Yes, separate entrance/HWS",2,2,0,0,0,Provided,NGO,On-site,Both times,Yes,Yes,No,No,1,Yes,Yes,No,Municipal collection,,No,No,Yes,< 1 hour,Own Cash,,,Yes,Collect personally,,No,No,No,None,,None,,None,,Mosquito net,,0,2,0,2,1,0,1,,,No,No,No,,No,No pregnant women,,Off-site (<30 minutes),,Government,,Yes,Yes,Yes,No,Off-site (<20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Daily Wage laborer,,Daily Wage laborer,,75,Yes,Lower,No,No,,,,No,,,No,No,,Yes,Weaving/knitting,,Construction/daily labour,,Yes,No,Self organized,,None,,None,,Yes,No,No any,0,0,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",No,Yes,,,None,< 75%,< 50%,< 25%,< 50%,None,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,SMA,,Families & friends,,Families & friends,,No,,Yes,Don't know,Work opportunities,,Yes,Education,<1500,4100%,0%,0%,80%,0,0,0,33,8,41,41
Nepal,8,,29/07/16,,,Male,,Male,,,,,,,,,,,,,,,,,,,,,,,506,Koldanda,Existed in R7,Bhadragolbasti,Open,12/05/2015,,Rural,Janakpur,Ramechhap,Bhuji,5,27.47343,86.27942,1534.077054,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Not closing,,"No,  no vehicular access",No,Public/Government,Temporary Shelter (CGIs),,No,,,,,No,,,,,,No,Janakpur,Ramechhap,Bhuii,5,,,,,50,252,2,12,27,66,14,121,4,6,18,30,20,47,71,137,18,32,131,1,1,0,8,0,3,5,1,3,230,4,<10 mins,25-Jul-16,No,Place of Habitual residence,,Fear of landslide/aftershock,,No,,,No,No,No,No,No,No,No,No,,,,> 75%,No,Other,No relocation planned,Yes,> 75%,None,None,< 25%,< 75%,< 25%,None,,> 75%,None,CGIs,,Tarpaulin,,Tools,,Off-site (<20 minutes),Yes,Piped water supply,,Piped water supply,,,Boiled,,10-15 liters,Suspended solids,,Not so good (not hygienic),4,No,0,0,0,0,0,Built by displaced communities,,On-site,Both times,No,No,No,No,2,Yes,Yes,Yes,Garbage pit,,No,No,No,6-10 hours,Own/Cultivated,,,Yes,Collect personally,,No,No,No,Cough,,Cold,,None,,Mosquito net,,0,0,0,0,0,0,0,,,Yes,No,No,,Yes,,,Off-site (<30 minutes),,Government,,No,Yes,Yes,No,Off-site (>20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,100,Yes,Lower,Yes,No,,,,No,,,No,No,,Yes,Weaving/knitting,,Store/small business,,Yes,No,Police,,None,,None,,Yes,No,No protection issues,0,0,Yes,Yes,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",No,"No,  no vehicular access",Land-sliding,,< 25%,None,None,< 50%,> 75%,< 75%,Yes,,Yes,,No,No drainage system at all,Yes,,No,No food support,Yes,,Yes,Government,,Families & friends,,Radio / News,,Yes,Police,Yes,Already done,None,,Yes,Lanslide in the nearby hill left some villagers displaced and they have moved to the current IDP site. The IDPs have requested us to provide them with shelter support as they are living in tents.,1500 - 2500,5000%,0%,20%,60%,0,0,10,30,10,50,0
Nepal,8,,29/07/16,,,Male,,Male,,,,,,Male,,,,,,Female,,,,,,Female,,,,,510,Bogetaar,Existed in R7,,Open,15/06/2015,,Peri-Urban,Bagmati,Rasuwa,Laharepauwa,1,27.991,85.191,1011.643502,4,Spontaneous,Private land,,No,Don't know,Not closing,,"No,  no vehicular access",No,Private,Temporary Shelter (CGIs),,Yes,< 50%,Yes,,,No,,,,,,Yes,Bagmati,Rasuwa,Dandagaun,9,Bagmati,Rasuwa,Dandagaun,8,104,562,6,32,85,147,11,281,25,31,23,55,77,162,130,277,26,37,281,4,4,0,50,5,2,12,0,1,562,3,Longer,7-Jul-15,Yes,None (Stay here),,Lack of access,,Yes,200,Yes,No,No,Yes,No,Yes,No,No,Yes,"KTM, Tanahu, Betrawati, Shantibazar, Dandagaun",Lack of access to livelihood at the site,,> 75%,No,Other,No plan,No,> 75%,None,None,None,> 75%,None,None,,< 25%,< 50%,Cooking Gas,,Other,Land for relocation,Other,Electricity,On-site (<20 minutes),Yes,Piped water supply,,Piped water supply,,,Filtered,,10-15 liters,None,,Good (Hygienic),6,No,0,0,0,0,0,Provided,Lumanti Nepal,On-site,Both times,Yes,No,No,Yes,0,,,,Garbage pit,,No,No,No,< 1 hour,Own Cash,,,No,,,Yes,No,Yes,Cough,,Cold,,Diarrhea,,Mosquito net,,2,0,1,1,0,0,0,,,Yes,Yes,No,,No,Too far,,Off-site (1-2 hours),,Local Clinic/med practitioners,,Yes,Yes,Yes,Yes,Off-site (<20 minutes),,On-site (>20 minutes),Quake volunteer,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Daily Wage laborer,,5,No,Lower,No,No,,,,No,,,No,Yes,Dhunche,No,Store/small business,,Construction/daily labour,,Yes,Yes,Self organized,,None,,None,,Yes,Yes,,1,0,Yes,Yes,No,,No,Yes,,,Yes,,,Yes,,,No lighting,No,"No,  no vehicular access",Muddy path to the site,,None,None,None,Unknown,< 50%,< 75%,Yes,,Yes,,Yes,,Yes,,No,No food support,Yes,,Yes,None,,Families & friends,,Local leader,,No,,Yes,Already done,Recovery plans,,Yes,IDPs need land for permanent relocation.,<1500,10400%,0%,0%,100%,0,0,0,104,0,26,52
Nepal,8,,27/07/16,,,Female,,Male,,,,,,Male,,,,,,,,,,,,,,,,,513,Mandre Makwanpur,Existed in R7,,Open,25/04/2015,,Rural,Narayani,Makwanpur,Namtar,3,27.56355,85.07523,2016.276518,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Not closing,,Yes,No,Public/Government,Temporary Shelter (CGIs),,No,,,,,No,,,,,,No,Narayani,Makwanpur,Namtar,3,,,,,21,112,4,5,16,31,4,60,0,4,5,10,18,34,25,56,4,8,52,0,0,0,6,0,0,2,0,3,112,0,30 mins - 1 hour,25-Apr-15,No,None (Stay here),,Fear of landslide/aftershock,,No,,,No,No,No,No,No,No,No,No,,,,> 75%,No,Other,Not planned,Yes,> 75%,None,None,None,> 75%,< 25%,None,,> 75%,< 25%,CGIs,,Cooking Gas,,Tools,,On-site (<20 minutes),Yes,Piped water supply,,Piped water supply,,,Filtered,,>15 liters,Suspended solids,,Good (Hygienic),6,"Yes, separate entrance/HWS",3,3,0,0,2,Provided,Unicef,On-site,Both times,No,Yes,No,Yes,2,Yes,Yes,Yes,Garbage pit,,No,No,No,1-2 hours,Own Cash,,,Yes,Collect personally,,No,No,No,Cold,,Cough,,Diarrhea,,Mosquito net,,0,0,0,0,0,0,0,,,Yes,No,No,,Yes,,,Off-site (1-2 hours),,Government,,Yes,Yes,Yes,No,Off-site (>20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,5,Yes,Lower,No,No,,,,No,,,No,No,,Yes,Livestock,,Construction/daily labour,,No,No,,,None,,None,,Yes,Unknown,,1,0,Yes,Unknown,No,,No,Yes,,,Yes,,,Yes,,,No lighting,Yes,Yes,,,None,< 50%,< 50%,> 75%,> 75%,> 75%,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Armed Forces,,Families & friends,,Mobile Phone,,Yes,Authorities,Yes,Don't know,Recovery plans,,Yes,"They have submitted a application to VDC office on the issue of agreement to build house. So they have not opened bank account yet.
3 ID persons in partnership have farm of mushroom in the site. 
They have been continuing farming in own land.",1500 - 2500,2100%,0%,0%,80%,0,0,0,17,4,21,5
Nepal,8,,31/07/16,,,Male,,Male,,,,,,Male,,,,,,,,,,,,,,,,,517,Allgaun,Existed in R7,,Open,26/04/2015,,Rural,Gandaki,Gorkha,Barpak,3,28.21012,84.73563,1581.321629,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Less than 2 weeks,Not closing,,"No,  no vehicular access",No,Private,Temporary Shelter (CGIs),,Yes,< 50%,Yes,,,No,,,,,,Yes,Gandaki,Gorkha,Barpak,3,Gandaki,Gorkha,Barpak,,28,175,1,6,17,48,11,83,4,5,8,14,29,46,34,82,17,28,92,1,1,0,8,1,0,4,0,2,175,0,30 mins - 1 hour,18-Oct-15,Yes,Nearest Village,,Fear of landslide/aftershock,,No,,,No,No,No,No,No,No,No,No,,,,> 75%,No,Other,Not planned,Yes,> 75%,None,None,None,> 75%,None,None,,> 75%,< 50%,CGIs,,Cooking Gas,,Mosquito net,,On-site (<20 minutes),No,Piped water supply,,Piped water supply,,,Filtered,,10-15 liters,None,,Good (Hygienic),2,No,0,0,0,0,2,Provided,DUDBC,On-site,Day time,No,Yes,Yes,Yes,2,No,Yes,Yes,Burning,,No,No,No,2-6 hours,Own Cash,,,Yes,Collect personally,,No,No,No,None,,None,,None,,None,,0,1,0,1,0,0,0,,,Yes,No,No,,Yes,,,Off-site (1-2 hours),,Government,,Yes,Yes,Yes,No,Off-site (>20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,5,No,Lower,Yes,No,,,,No,,,No,No,,Yes,Weaving/knitting,,Construction/daily labour,,No,No,,,None,,None,,Yes,Unknown,,0,0,Yes,Unknown,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,"No,  no vehicular access",Land-sliding,,None,< 25%,< 50%,< 50%,< 50%,< 75%,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Government,,Radio / News,,Radio / News,,Unknown,,Yes,Less than 2 months,Situation in areas of origin,,Yes,Land owner asking for rent of the occupying land. So that they are planning to leave the site because they can not pay the high amount.,1500 - 2500,2800%,0%,0%,100%,0,0,0,28,0,28,14
