country,round,site_id,survey_date,site_region,site_province,site_district,site_name,,site_longitude,site_latitude,site_class,site_type,,site_date_open,,site_date_close,site_access,site_area,site_owner,site_shelter,smc_exist,smc_community,,,sma_exist,sma_type,,,regist_activity,,support_wash,support_health,support_shelter,support_food,support_protect,support_edu,support_live,,,,,,,n_family,n_total,n_infants_male,n_infants_female,n_infants,n_child_male,n_child_female,n_child,n_youth_male,n_youth_female,n_youth,n_adult_male,n_adult_female,n_adult,n_elder_male,n_elder_female,n_elder,n_pregnant,n_lactating,n_pwd,,,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,,,,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,water_location,water_operational,,water_source_np,water_source_p,water_avg,water_potable,water_remark,water_complaint,latrine_cond,n_latrine,latrine_gender,bathing_gender,latrine_lock,hyg_waste,n_garbage,garbage_problem,hyg_station,hyg_evidence,hyg_promotion,hyg_open_def,hyg_drainage,food_access,food_market,food_freq,food_source,health_screen,food_sup_lac,food_sup_child,,,,health_medicine,health_center,,,edu_access,edu_location,edu_distance,per_sch,,n_hh_income,job_access,,,sec_provided,,sec_provider,sec_tradition,,,,,n_space_child,n_space_female,,,unsafe_female,unsafe_male,unsafe_child,,,site_lighting,job_abr,job_abr_in,job_abr_prom,,,,
Nigeria,10,BN_S002,5/26/2016,BENUE,BURUKU,MBAADE,ACHIGBE MARKET SQUARE,INFORMAL,8.9851,7.5411,Spontaneous,Collective Settlement/Centre,,6/2/2016,Unknown,,Yes,,Public/Government,Self-made tents,Yes,Yes,,,No,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,BENUE,BURUKU,MBAADE,BENUE,BURUKU,MBAADE,21,136,1,2,3,7,9,16,19,15,34,36,36,72,3,8,11,3,7,0,0,11,0,0,0,0,0,0,02/16/2016,3/4/2016,Yes,BENUE,BURUKU,MBAADE,Place of origin,Lack of safety,<25%,<75%,<50%,<50%,<25%,<25%,<25%,>75%,Blankets/Mats,Kitchen sets,Hygiene kits,Off-site (<10 mn),<50 %,No,Hand pumps,Hand pumps,5 - 10 ltr,No,Odor/smell,Yes,Not so good (Not hygienic),0,No,No,No,No waste disposal system,0,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Irregular,Host community donation,No,No,No,Malaria,Fever,Cough,Yes,Yes,Off-site (>3 km),Local clinic,No,Off-site,<5 km,<50%,Farming,0,Yes,No,Yes,Yes,No,Military,None,None,None,Child separated from their care givers (or just child separation),Not enough assistance for all entitled,0,0,No,Unknown,Yes,Yes,Yes,Good,Excellent,"Yes, there is lighting but it is NOT adequate",No,N/A,,Families/Friends,Other relief assistance,Yes,1702
Nigeria,10,BN_S003,5/26/2016,BENUE,BURUKU,MBAAPEN,IJER COMP SEC SCH,INFORMAL,9.1157,7.4773,Spontaneous,Collective Settlement/Centre,,05/27/2016,Unknown,,Yes,,Public/Government,School,Yes,Yes,,,No,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,BENUE,BURUKU,MBAAPEN,BENUE,BURUKU,BINEV,16,112,2,3,5,6,9,15,19,8,27,31,26,57,3,5,8,2,7,0,0,8,0,0,0,0,2,0,01/27/2016,6/4/2016,Yes,BENUE,BURUKU,MBAYA,Place of origin,Lack of safety,<25%,None,None,>75%,<25%,<25%,None,<50%,Mosquito nets,Blankets/Mats,Hygiene kits,On-site (<10 mn),>50 %,No,Hand pumps,Hand pumps,5 - 10 ltr,No,Odor/smell,Yes,Not so good (Not hygienic),0,Yes,No,No,Burning,0,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, off site",Yes,Irregular,Host community donation,No,No,No,Malaria,Fever,Cough,No,Yes,Off-site (<3 km),Local clinic,Yes,Off-site,<5 km,<50%,Farming,0,Yes,No,Yes,Yes,No,Military,None,None,None,Child separated from their care givers (or just child separation),Not enough assistance for all entitled,0,0,No,No,Yes,Yes,Yes,Good,Good,No lighting,No,N/A,,Families/Friends,Safety and Security,No,1701
Nigeria,10,BO_S001,5/25/2016,BORNO,JERE,BALE GALTIMARI,FORI PRIMARY SCHOOL,INFORMAL,13.17691,11.79954,Spontaneous,Collective Settlement/Centre,,10/19/2014,Unknown,,Yes,,Public/Government,School,No,N/A,,,No,,,,No,No,Yes,No,Yes,No,Yes,Yes,No,BORNO,JERE,ALAU,BORNO,JERE,,22,138,4,5,9,22,30,52,13,21,34,19,23,42,0,1,1,7,13,0,0,1,4,0,16,0,0,5,10/19/2014,8/6/2016,No,BORNO,BAMA,KASUGULA,Place of origin,Lack of safety,None,<75%,None,>75%,<50%,>75%,None,None,Mosquito nets,Kitchen sets,Soap,On-site (<10 mn),<50 %,No,Hand pumps,Piped water supply,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),11,No,No,No,Garbage pit,11,Yes,Yes but no soap/water inside,No,No,No,Yes,"Yes, on site",No,Irregular,Host community donation,No,No,No,Malaria,Cough,Fever,Yes,Yes,Off-site (<3 km),Government,Yes,On-site,<1 km,None,Fishing,8,No,No,No,Yes,No,Military,None,None,None,None,Not enough assistance for all entitled,0,0,No,No,No,No,No,Good,Good,No lighting,No,N/A,,Radio/news,Situation in areas of origin,Yes,1764
Nigeria,10,BO_S002,5/24/2016,BORNO,JERE,MASHAMARI,SHEHU SANDA KYARIMI PRIMARY SCHOOL,FORMAL,13.18255,11.85063,Spontaneous,Collective Settlement/Centre,,#REF!,Unknown,,Yes,,Public/Government,School,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,DIKWA,DIKWA,,,,281,1843,100,93,193,100,99,199,390,291,681,301,389,690,46,34,80,39,292,0,9,80,24,55,0,0,0,0,7/14/2014,12/13/2015,Yes,BORNO,DIKWA,DIKWA,Place of origin,Lack of safety,<25%,<25%,<25%,<75%,None,<25%,<75%,<50%,Plastic sheeting,Blankets/Mats,Mosquito nets,On-site (<10 mn),>50 %,Yes,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Good (Hygienic),22,Yes,Yes,Yes,Garbage pit,30,Yes,Yes,Yes,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Diarrhea,Fever,Skin disease,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,Daily labourer,140,Yes,Yes,No,Yes,Yes,Military,Theft,Unknown,None,None,Fighting between recipients at distribution points,1,1,Yes,Yes,Yes,Yes,Yes,Good,Good,No lighting,Yes,Nigeria,Education,Authorities,Situation in areas of origin,Yes,1760
Nigeria,10,BO_S003,5/24/2016,BORNO,JERE,OLD MAIDUGURI,MADINATU CAMP,FORMAL,13.17971,11.87727,Spontaneous,Camp,,4/1/2015,Unknown,,Yes,,Private Building,Self-made tents,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,BORNO,KUKAWA,BAGA,BORNO,MARTE,KIRENOWA,385,2932,51,37,88,183,231,414,487,551,1038,607,715,1322,31,39,70,72,150,20,1,70,20,80,250,0,0,0,4/2/2015,03/20/2016,Yes,BORNO,KUKAWA,BAGA,Place of origin,Lack of safety,<25%,None,>75%,None,None,None,None,>75%,Plastic sheeting,Blankets/Mats,Kitchen sets,Off-site (<10 mn),Not operational,No,Lake/dam,Lake/dam,>15 ltr,No,Suspended solids,Yes,Not so good (Not hygienic),12,Yes,Yes,Yes,Burning,1,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, off site",Yes,Irregular,Cash,Yes,Yes,Yes,Diarrhea,Malaria,Skin disease,No,No,Off-site (>3 km),None,Yes,On-site,<1 km,<75%,Fishing,161,Yes,No,No,Yes,No,Military,None,None,None,None,None,1,1,No,Yes,Yes,Yes,Yes,Good,Good,No lighting,No,N/A,,Families/Friends,Safety and Security,No,1795
Nigeria,10,BO_S004,5/23/2016,BORNO,JERE,BALE GALTIMARI,BALE GALTIMARI PRI SCHOOL,INFORMAL,13.17346,11.80562,Spontaneous,Collective Settlement/Centre,,9/2/2014,Unknown,,Yes,,Public/Government,School,Yes,Yes,,,No,,,,No,No,Yes,No,Yes,No,No,No,No,BORNO,BAMA,KASUGULA,BORNO,KONDUGA,NYALERI/SANDIA/YEJIWA,69,518,19,23,42,63,45,108,75,69,144,97,124,221,2,1,3,23,50,4,2,3,23,22,20,14,39,9,9/1/2014,03/28/2016,Yes,BORNO,BAMA,KASUGULA,Place of origin,Lack of safety,<25%,None,None,<75%,<75%,None,None,>75%,Plastic sheeting,Kitchen sets,Soap,On-site (<10 mn),<50 %,Yes,Hand pumps,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),9,No,No,No,Burning,3,Yes,Yes,No,No,Yes,No,"Yes, on site",No,Irregular,Host community donation,No,No,No,Malaria,Malnutrition,Skin disease,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<1 km,<25%,Farming,10,No,Yes,Yes,Yes,No,Military,None,None,None,None,None,1,0,No,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,,Mobile phone,Situation in areas of origin,No,1761
Nigeria,10,BO_S005,5/23/2016,BORNO,MAIDUGURI M. C.,MAISANDARI,ARABIC TEACHERS COLLEGE,FORMAL,13.12474,11.82648,Spontaneous,Collective Settlement/Centre,,09/26/2014,Unknown,,Yes,,Public/Government,School,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,MARTE,,BORNO,GWOZA,GAVVA / AGAPALWA,1568,6237,56,54,110,403,273,676,1645,1364,3009,979,961,1940,388,114,502,222,159,6,3,502,11,5,0,9,2,0,11/11/2014,05/23/2016,No,BORNO,MARTE,,Place of origin,Lack of safety,<25%,<50%,<25%,>75%,None,>75%,None,>75%,Plastic sheeting,Hygiene kits,Bucket/Jerry Can,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,>15 ltr,Yes,None,No,Not so good (Not hygienic),182,Yes,Yes,Yes,Garbage pit,208,No,Yes,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Diarrhea,Cough,Other,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Farming,69,No,Yes,Yes,Yes,No,Military,None,Domestic violence,None,None,Fighting between recipients at distribution points,0,2,No,Yes,Yes,Yes,Yes,Good,Good,No lighting,Yes,Nigeria,Education,Families/Friends,Distribution,No,1783
Nigeria,10,BO_S009,5/23/2016,BORNO,MAIDUGURI M. C.,MAISANDARI,NYSC CAMP BORNO,FORMAL,13.11942,11.8257,Spontaneous,Collective Settlement/Centre,,1/11/2014,Unknown,,Yes,,Public/Government,Government building,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,BAMA,KASUGULA,BORNO,KONDUGA,KONDUGA,817,4808,49,45,94,210,261,471,1083,1169,2252,837,1081,1918,32,41,73,107,186,3,4,73,65,52,0,0,0,0,06/16/2014,04/26/2016,Yes,BORNO,BAMA,KASUGULA,Place of origin,Lack of safety,None,<50%,<25%,>75%,<50%,<25%,None,>75%,Blankets/Mats,Kitchen sets,Bucket/Jerry Can,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,>15 ltr,Yes,None,No,Not so good (Not hygienic),109,Yes,Yes,Yes,Burning,4,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Malaria,Fever,Malaria,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<1 km,>75%,Petty trade,211,Yes,Yes,Yes,Yes,No,Military,None,Domestic violence,None,None,None,1,1,No,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",Yes,Nigeria,Education,Mobile phone,Safety and Security,No,1780
Nigeria,10,BO_S010,5/22/2016,BORNO,MAIDUGURI M. C.,MAISANDARI,BAKASI CAMP,FORMAL,13.12019,11.84334,Planned,Camp,,11/2/2015,Unknown,,Yes,,Public/Government,Government building,Yes,Yes,,,Yes,Government,NEMA,8065379002,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,MONGUNO,MONGUNO,BORNO,GWOZA,GWOZA TOWN GADAMAYO,2301,12916,344,300,644,900,1032,1932,1439,2039,3478,2376,2776,5152,860,850,1710,435,980,24,3,1710,33,58,602,110,150,0,11/2/2015,05/15/2016,Yes,BORNO,MONGUNO,MONGUNO,Place of origin,Lack of safety,None,<50%,None,>75%,None,>75%,<50%,>75%,Blankets/Mats,Hygiene kits,Soap,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,>15 ltr,Yes,None,No,Not so good (Not hygienic),713,Yes,Yes,Yes,Burning,0,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Malaria,Cough,Fever,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<1 km,<50%,Farming,1672,Yes,Yes,Yes,Yes,No,Military,None,Domestic violence,None,None,Not enough assistance for all entitled,2,1,No,Yes,No,No,No,Good,Good,No lighting,Yes,Nigeria,Education,Radio/news,Situation in areas of origin,No,1777
Nigeria,10,BO_S012,5/25/2016,BORNO,MAIDUGURI M. C.,MAISANDARI,EYN CAMP,FORMAL,13.13686,11.84422,Spontaneous,Collective Settlement/Centre,,6/6/2014,Unknown,,Yes,,Private Building,Tents,Yes,Yes,,,Yes,Government,,,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,BORNO,GWOZA,BITA / IZGE,BORNO,GWOZA,NGOSHE,203,1522,71,83,154,177,127,304,217,252,469,137,160,297,135,163,298,51,277,3,7,298,0,0,0,0,0,0,08/17/2014,03/30/2015,Yes,BORNO,GWOZA,BITA / IZGE,Place of origin,Accessibility,None,>75%,<25%,None,None,>75%,>75%,<50%,Plastic sheeting,Kitchen sets,Soap,On-site (<10 mn),1,Yes,Piped water supply,Piped water supply,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),4,No,No,No,Garbage pit,0,No,Yes but no soap/water inside,No,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,No,No,Malaria,Diarrhea,Wound infection,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<1 km,<25%,Farming,20,Yes,Yes,Yes,Yes,Yes,Police,Theft,Unknown,None,None,Fighting between recipients at distribution points,0,0,No,No,No,No,No,Good,Good,No lighting,Yes,Nigeria,Better living conditions,Local Leader,Distribution,No,1775
Nigeria,10,BO_S013,5/25/2016,BORNO,MAIDUGURI M. C.,MAFONI,MOGCOLIS CAMP,FORMAL,13.14912,11.84592,Spontaneous,Collective Settlement/Centre,,07/14/2015,Unknown,,Yes,,Public/Government,School,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,BORNO,MOBBAR,DAMASAK,BORNO,ABADAM,MALLAMFATORI KESSA,502,2296,175,214,389,145,223,368,314,234,548,304,329,633,178,180,358,80,426,20,2,358,65,0,14,50,30,10,3/9/2014,05/13/2016,Yes,BORNO,ABADAM,,Place of origin,Lack of safety,None,<25%,<25%,>75%,<50%,>75%,<25%,>75%,Plastic sheeting,Blankets/Mats,Mosquito nets,On-site (<10 mn),<50 %,Yes,Piped water supply,Piped water supply,>15 ltr,Yes,None,No,Not so good (Not hygienic),21,Yes,Yes,Yes,Garbage pit,0,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Fever,Wound infection,Skin disease,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Petty trade,0,No,No,No,Yes,Yes,Military,Alcohol/drug-related disturbance,Domestic violence,None,Child separated from their care givers (or just child separation),Fighting between recipients at distribution points,1,1,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",Yes,Nigeria,Education,Local Leader,Situation in areas of origin,No,1776
Nigeria,10,BO_S014,5/23/2016,BORNO,MAIDUGURI M. C.,BOLORI  I,TEACHERS VILLAGE,FORMAL,13.09909,11.88244,Spontaneous,Collective Settlement/Centre,,9/9/2014,Unknown,,Yes,,Public/Government,Government building,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,KUKAWA,BAGA,BORNO,NGALA,GAMBORU 'B',1843,8750,194,293,487,264,345,609,1830,1866,3696,1988,1908,3896,41,21,62,418,618,0,0,62,17,16,0,28,36,22,09/29/2014,05/16/2015,Yes,BORNO,KUKAWA,BAGA,Place of origin,Lack of safety,<25%,<25%,<25%,>75%,<75%,<25%,<25%,>75%,Kitchen sets,Blankets/Mats,Plastic sheeting,On-site (<10 mn),>50 %,Yes,Hand pumps,Hand pumps,5 - 10 ltr,No,Taste,Yes,Not so good (Not hygienic),107,Yes,Yes,Yes,Garbage pit,7,No,Yes,Yes,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,No,Yes,Yes,Malaria,Skin disease,Malnutrition,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<1 km,<50%,Petty trade,130,Yes,No,Yes,Yes,No,Military,None,None,None,None,None,1,1,Yes,Yes,Yes,Yes,Yes,Good,Good,"Yes, there is lighting and it is adequate",No,N/A,,Local Leader,Distribution,Yes,1768
Nigeria,10,BO_S015,5/7/2016,BORNO,BIU,KENKEN,ZONAL EDUCATION CENTER BIU,INFORMAL,12.1799,10.61685,Spontaneous,Camp,,12/18/2015,Unknown,,Yes,,Public/Government,Tents,Yes,Yes,,,Yes,Local NGO,NRC,8067640070,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,BORNO,DAMBOA,,YOBE,GUJBA,BUNIYADI NORTH / SOUTH,309,2145,8,10,18,160,205,365,210,300,510,556,679,1235,10,7,17,86,41,1,0,17,35,20,2,153,235,406,12/18/2015,3/1/2016,Yes,BORNO,DAMBOA,DAMBOA,Place of origin,House damaged/destroyed,None,>75%,<25%,None,<25%,<25%,None,<25%,Blankets/Mats,Mosquito nets,Kitchen sets,On-site (<10 mn),<50 %,No,Hand pumps,Piped water supply,<5 ltr,Yes,None,No,Not so good (Not hygienic),12,Yes,Yes,Yes,Garbage pit,0,No,Yes,No,Yes,No,No,"Yes, on site",Yes,Irregular,Cash,No,No,No,Malaria,Malnutrition,Fever,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<1 km,<25%,Petty trade,23,Yes,No,No,Yes,No,Local Authorities,None,None,None,None,Not enough assistance for all entitled,0,0,No,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,,Local Leader,Distribution,No,1753
Nigeria,10,BO_S016,5/23/2016,BORNO,KONDUGA,AUNO / CHABBOL,FEDERAL TRAINING CENTER CAMP,FORMAL,13.22147,11.77724,Spontaneous,Collective Settlement/Centre,,3/14/2014,Unknown,,Yes,,Public/Government,Tents,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,BAMA,KASUGULA,BORNO,KONDUGA,MAIRAMRI / YELERI / BAZAMRI,4452,30712,482,965,1447,1258,2504,3762,5216,5898,11114,3774,8588,12362,669,1358,2027,219,0,0,0,2027,35,206,0,0,0,0,3/27/2011,3/28/2016,Yes,BORNO,KONDUGA,,Place of origin,Lack of safety,<25%,>75%,<25%,<25%,<25%,<50%,<50%,<75%,Plastic sheeting,Blankets/Mats,Mosquito nets,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),142,Yes,Yes,Yes,Garbage pit,0,Yes,Yes but no soap/water inside,Yes,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Malaria,Fever,Diarrhea,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Pastoralism,236,Yes,Yes,Yes,Yes,No,Military,None,Domestic violence,Early/forced marriage,Intentional physical violence,Fighting between recipients at distribution points,3,1,No,Yes,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",Yes,Nigeria,Education,Local Leader,Situation in areas of origin,Yes,1754
Nigeria,10,BO_S017,5/23/2016,BORNO,KONDUGA,AUNO / CHABBOL,400 HOUSING ESATE GUBIO,FORMAL,13.07953,11.90408,Spontaneous,Collective Settlement/Centre,,5/9/2015,Unknown,,Yes,,Public/Government,Government building,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,BORNO,NGALA,,BORNO,MARTE,,2041,13269,544,482,1026,1152,1071,2223,1158,1122,2280,2761,3675,6436,228,1076,1304,481,1951,0,0,1304,347,0,271,0,0,0,5/11/2015,3/28/2016,Yes,BORNO,KUKAWA,BAGA,Place of origin,Lack of safety,None,<25%,<25%,>75%,<75%,<50%,None,<75%,Kitchen sets,Blankets/Mats,Plastic sheeting,On-site (<10 mn),>50 %,Yes,Hand pumps,Hand pumps,>15 ltr,Yes,None,No,Not so good (Not hygienic),40,Yes,Yes,Yes,Burning,175,No,Yes,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Malaria,Diarrhea,Malaria,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,>75%,Farming,120,Yes,Yes,Yes,Yes,No,Military,None,None,None,None,Not enough assistance for all entitled,3,2,No,Yes,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",No,N/A,,Families/Friends,Safety and Security,No,1749
Nigeria,10,BO_S018,5/24/2016,BORNO,JERE,DUSUMAN,FARM CENTRE,INFORMAL,13.21455,11.86189,Spontaneous,Collective Settlement/Centre,,3/10/2015,Unknown,,Yes,,Public/Government,Government building,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,MAFA,LOSKURI,BORNO,JERE,DUSUMAN,2608,13042,601,994,1595,1667,1201,2868,1347,1907,3254,1904,1839,3743,753,829,1582,408,1567,0,0,1582,76,0,91,138,277,0,3/8/2015,12/16/2015,Yes,BORNO,MAFA,LOSKURI,Place of origin,Accessibility,<25%,<25%,<75%,<50%,None,<25%,<50%,<50%,Blankets/Mats,Kitchen sets,Bucket/Jerry Can,On-site (<10 mn),<50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),202,Yes,Yes,Yes,Garbage pit,8,Yes,Yes but no soap/water inside,No,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Diarrhea,Malaria,Fever,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,Farming,361,Yes,Yes,No,Yes,Yes,Military,Theft,None,None,None,None,2,1,No,Yes,No,No,No,Good,Good,No lighting,No,N/A,,Radio/news,Safety and Security,Yes,1762
Nigeria,10,BO_S019,5/24/2016,BORNO,MAIDUGURI M. C.,MAISANDARI,CAN CATHOLIC SECRETARIAT,INFORMAL,13.08346,11.47291,Spontaneous,Collective Settlement/Centre,,11/6/2014,Unknown,,Yes,,Public/Government,Community center,Yes,No,,,Yes,Religious entity,,,Yes,No,No,No,No,No,No,Yes,No,BORNO,GWOZA,PULKA/BOKKO,BORNO,KUKAWA,BAGA,40,324,16,10,26,32,40,72,48,63,111,48,64,112,1,2,3,15,41,0,2,3,0,1,0,3,0,0,08/17/2014,5/19/2016,Yes,BORNO,GWOZA,PULKA/BOKKO,Place of origin,House damaged/destroyed,<25%,None,<50%,<50%,None,None,None,<50%,Kitchen sets,Bucket/Jerry Can,Soap,Off-site (<10 mn),>50 %,Yes,Hand pumps,Hand pumps,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),3,No,No,No,Burning,3,No,Yes,No,No,No,No,"Yes, off site",Yes,Irregular,Host community donation,No,No,No,Fever,Malaria,Malaria,No,No,Off-site (>3 km),None,Yes,On-site,<1 km,<75%,Farming,23,Yes,No,Yes,Yes,No,Self organized,None,None,None,None,None,0,0,No,Yes,No,No,No,Good,Good,No lighting,No,N/A,,Mobile phone,Safety and Security,No,1786
Nigeria,10,BO_S020,5/25/2016,BORNO,JERE,MASHAMARI,GONI KACHALLARI PW,INFORMAL,13.20934,11.85759,Spontaneous,Camp,,8/8/2015,Unknown,,Yes,,Public/Government,School,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,MAFA,MA'AFA,BORNO,MAFA,MA'AFA,488,5018,128,201,329,321,404,725,506,647,1153,761,877,1638,511,662,1173,102,682,12,10,1173,16,0,5,0,0,0,8/5/2015,01/14/2016,Yes,BORNO,MAFA,MA'AFA,Place of origin,Lack of safety,<25%,None,<25%,>75%,None,<25%,None,<75%,Plastic sheeting,Mosquito nets,Blankets/Mats,On-site (<10 mn),<50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),35,Yes,Yes,Yes,Garbage pit,0,Yes,Yes,Yes,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Diarrhea,Malaria,Fever,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<1 km,<50%,Petty trade,152,Yes,Yes,No,Yes,Yes,Police,Alcohol/drug-related disturbance,Domestic violence,Unknown,None,Fighting between recipients at distribution points,1,1,No,Yes,No,No,No,Good,Good,No lighting,Yes,Nigeria,Education,Authorities,Other relief assistance,Yes,1757
Nigeria,10,BO_S021,5/25/2016,BORNO,KONDUGA,DALORI / WANORI,250 HOUSING ESTATE,FORMAL,13.23819,11.76879,#REF!,Collective Settlement/Centre,,1/2/2014,Unknown,,Yes,,Public/Government,Government building,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,BAMA,KASUGULA,,,,784,10171,159,321,480,1119,1610,2729,1642,1728,3370,978,1711,2689,202,701,903,151,1106,0,0,903,8,39,0,0,0,0,08/15/2014,9/2/2016,No,BORNO,BAMA,KASUGULA,Place of origin,Lack of safety,None,<50%,<25%,<75%,<50%,<50%,<50%,<75%,Kitchen sets,Blankets/Mats,Bucket/Jerry Can,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),149,Yes,No,No,Garbage pit,35,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Malaria,Fever,Skin disease,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,Farming,304,Yes,Yes,Yes,Yes,Yes,Military,Alcohol/drug-related disturbance,None,None,None,Fighting between recipients at distribution points,2,1,No,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",Yes,Nigeria,Education,Local Leader,Safety and Security,Yes,1755
