country,round,site_region,site_province,site_district,site_id,site_name,site_longitude,site_latitude,,site_type,,site_date_open,,,site_date_close,site_access,site_area,site_owner,site_shelter,smc_exist,smc_community,,,sma_exist,sma_type,sma_name,,regist_activity,,support_wash,support_health,support_shelter,support_food,support_protection,support_edu,support_live,,,,,,,n_family,n_total,n_infants_male,n_infants_female,n_infants,n_child_male,n_child_female,n_child,n_youth_male,n_youth_female,n_youth,n_adult_male,n_adult_female,n_adult,n_elder_male,n_elder_female,n_elder,n_pregnant,n_lactating,n_pwd,,,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,,,pre_displaced,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,water_location,water_operational,,water_source_np,water_source_p,water_avg,water_potable,water_remark,water_complaint,latrine_cond,n_latrine,latrine_gender,bathing_gender,latrine_lock,hyg_waste,n_garbage,garbage_problem,hyg_station,hyg_evidence,hyg_promotion,hyg_open_def,hyg_drainage,food_access,food_market,food_freq,food_source,health_screen,food_sup_lac,food_sup_child,,,,health_medicine,health_center,health_location,,edu_access,edu_location,edu_distance,per_sch,,n_hh_income,,,,sec_provided,,sec_provider,sec_issue,,sec_tradition,sec_child_issues,,n_space_child,n_space_female,,,unsafe_female,unsafe_male,unsafe_child,,,site_lighting,job_abr,job_abr_in,,,,
Nigeria,5,BORNO,BIU,KENKEN,,GOVERMENT GIRLS SCI SCH,12.1792,10.6165,Planned,Collective Settlement/Centre,NULL,7/14/14,Open,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,No,,,Yes,Government,,,No,No,No,Yes,No,Yes,No,Yes,No,BORNO,DAMBOA,AJIGN (A),BORNO,HAWUL,SHAFFA,2536,21556,653,618,1271,1554,1613,3167,4111,5899,10010,2142,4211,6353,415,340,755,914,1411,7,2,755,NULL,415,415,375,NULL,NULL,7/14/14,NULL,Yes,BORNO,DAMBOA,AJIGN (A),Place of origin,Lack of safety,<75%,None,None,<25%,>75%,>75%,None,>75%,Mosquito nets,Soap,Bucket/Jerry Can,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),4,Yes,Yes,No,No waste disposal system,0,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Irregular,Cash,Yes,No,No,Skin disease,Fever,Malnutrition,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Fishing,30,Yes,Yes,Yes,Yes,Yes,Self organized,None,Unknown,None,Child separated from their care givers (or just child separation),None,0,0,Yes,No,Yes,Yes,Yes,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Site Management,Situation in areas of origin,No
Nigeria,5,BORNO,JERE,BALE GALTIMARI,,FORI PRY SCH CAMP,13.17695,11.79943,Spontaneous,Collective Settlement/Centre,NULL,NULL,Open,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,,,No,NULL,,,No,No,No,No,No,No,No,No,No,BORNO,BAMA,SABSABWA / SOYE/ BULONGU,NULL,NULL,NULL,10,72,6,3,9,7,9,16,11,7,18,9,15,24,2,3,5,0,13,0,0,5,0,0,0,2,0,0,NULL,NULL,Yes,BORNO,BAMA,KASUGULA,Place of origin,Lack of safety,None,None,None,>75%,None,None,None,<25%,Mosquito nets,Soap,Blankets/Mats,On-site (<10 mn),>50 %,No,Spring,Piped water supply,<5 ltr,Yes,None,No,Not so good (Not hygienic),8,Yes,Yes,No,No waste disposal system,0,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Everyday,Cash,No,No,No,Malaria,RTI,Fever,No,Yes,Off-site (<3 km),Government,No,Off-site,<10 km,<25%,Petty trade,10,No,Yes,No,Yes,No,Self organized,None,None,None,None,Not enough assistance for all entitled,0,0,No,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,Families/Friends,Situation in areas of origin,No
Nigeria,5,BORNO,JERE,BALE GALTIMARI,,GALTIMARI PRIMARY SCHOOL,11.8048,13.1729,Spontaneous,Collective Settlement/Centre,NULL,NULL,Open,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,,,Yes,Individual/Private,,,No,No,No,No,No,No,No,No,No,BORNO,BAMA,KASUGULA,NULL,NULL,NULL,50,356,10,14,24,40,30,70,45,50,95,60,90,150,8,9,17,18,25,3,0,17,2,0,3,20,15,0,NULL,NULL,No,BORNO,BAMA,KASUGULA,Place of origin,Lack of safety,None,None,None,>75%,None,<50%,<75%,<50%,Mosquito nets,Blankets/Mats,Kitchen sets,Off-site (>10 mn),<50 %,No,Surface water,Piped water supply,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),20,No,No,No,No waste disposal system,0,No,Yes but no soap/water inside,No,No,Yes,No,No,Yes,Never,Host community donation,No,No,No,Malaria,Fever,Malnutrition,No,No,None,None,No,None,Unknown,None,Petty trade,40,No,No,Yes,Yes,No,Local Authorities,None,None,Other forms of exploitation (forced labor/forced begging),None,None,0,0,Yes,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,Radio/news,Safety and Security,No
Nigeria,5,BORNO,JERE,DUSUMAN,,FARM CENTRE,13.21585,11.86582,Planned,Collective Settlement/Centre,NULL,1/7/15,Open,Unknown,NULL,Yes,NULL,Public/Government,Self-made tents,Yes,Yes,,,Yes,Government,,,No,No,No,Yes,Yes,Yes,Yes,No,No,BORNO,MAFA,MAFA,BORNO,JERE,DUSUMAN,860,6010,80,120,200,450,500,950,1200,900,2100,1250,1330,2580,75,105,180,220,250,20,3,180,20,30,7,200,150,0,1/7/15,7/20/15,No,BORNO,MAFA,MAFA,Place of origin,House damaged/destroyed,None,None,<50%,<75%,None,<50%,>75%,<25%,Mosquito nets,Blankets/Mats,Soap,On-site (<10 mn),>50 %,Yes,None,Hand pumps,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),100,No,No,No,No waste disposal system,0,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Everyday,Distribution,No,No,No,Malaria,Malnutrition,Fever,No,No,On-site (<3 km),Government,No,None,Unknown,None,Petty trade,700,Yes,No,No,Yes,Yes,Self organized,Friction anmong site residents,Domestic violence,None,None,Not enough assistance for all entitled,0,0,Yes,Yes,No,No,No,Good,Good,No lighting,No,N/A,NULL,Mobile phone,Safety and Security,No
Nigeria,5,BORNO,JERE,MASHAMARI,,SANDA KYARIMI CAMP,13.18226,11.85015,Planned,Collective Settlement/Centre,NULL,7/5/14,Open,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,BORNO,MAFA,MA'AFA,BORNO,DIKWA,BOBOSHE,1140,8500,108,142,250,260,340,600,2000,2200,4200,1300,1950,3250,90,110,200,250,320,7,5,200,40,0,20,55,10,0,7/5/14,7/27/15,Yes,BORNO,MAFA,MA'AFA,Place of origin,Lack of food,None,<50%,<25%,<50%,None,None,None,<75%,Soap,Mosquito nets,Hygiene kits,On-site (<10 mn),<50 %,Yes,None,Piped water supply,10 - 15 ltr,Yes,None,Unknown,Not so good (Not hygienic),43,Yes,No,Yes,Unknown,0,Yes,Unknown,No,No,Yes,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Petty trade,700,Yes,No,No,Yes,Yes,Military,Friction with host community,None,Other forms of exploitation (forced labor/forced begging),None,Not enough assistance for all entitled,0,0,Yes,Yes,No,Yes,No,Good,Good,No lighting,No,N/A,NULL,Authorities,Safety and Security,No
Nigeria,5,BORNO,JERE,MASHAMARI,,GONI KACHALARI PW,11.85794,13.2094,Planned,Collective Settlement/Centre,NULL,8/5/15,Open,Unknown,NULL,Yes,520,Public/Government,School,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,BORNO,MAFA,MA'AFA,BORNO,MAFA,TAMSU NGAMDUA,321,2662,31,15,46,253,395,648,459,574,1033,395,482,877,43,15,58,63,52,2,0,32,65,85,6,26,5,8,8/5/15,8/8/15,No,BORNO,MAFA,MA'AFA,Place of origin,Lack of food,<50%,None,None,<50%,None,<75%,None,<25%,Soap,Plastic sheeting,Blankets/Mats,On-site (<10 mn),100%,Yes,Hand pumps,Hand pumps,>15 ltr,Yes,None,No,Not so good (Not hygienic),0,Yes,Yes,No,No waste disposal system,32,Yes,Unknown,No,No,No,No,"Yes, on site",Yes,Everyday,Distribution,No,No,No,Malaria,Diarrhea,Fever,Yes,No,Mobile clinic,INGO,No,On-site,<1 km,<50%,Agro-pastoralism,15,No,No,No,Yes,No,Military,Alcohol/drug-related disturbance,None,None,None,None,0,0,No,Yes,No,No,No,Good,Good,No lighting,No,N/A,NULL,Radio/news,Access to services,Yes
Nigeria,5,BORNO,JERE,OLD MAIDUGURI,,MADINATU,NULL,NULL,Planned,Collective Settlement/Centre,NULL,1/9/15,Open,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,BORNO,MONGUNO,MONGUNO,BORNO,NGANZAI,NULL,286,2432,14,38,52,52,43,95,437,526,963,611,676,1287,13,22,35,48,65,0,0,35,0,0,0,0,0,0,1/9/15,7/26/15,Yes,BORNO,MONGUNO,MONGUNO,Place of origin,Lack of safety,None,None,<50%,<75%,<25%,None,<25%,<75%,Blankets/Mats,Mosquito nets,Hygiene kits,On-site (<10 mn),<50 %,No,Hand pumps,Water truck,10 - 15 ltr,No,Taste,Yes,Not so good (Not hygienic),7,No,No,No,No waste disposal system,0,Yes,Yes but no soap/water inside,No,No,Yes,No,No,Yes,Never,Host community donation,No,No,No,Diarrhea,Malaria,Fever,No,Yes,On-site (>3 km),Government,No,Off-site,<5 km,<50%,Farming,0,Yes,Yes,Yes,Yes,Yes,Community Leaders,Crime,Sexual harassment/molestation,Other forms of exploitation (forced labor/forced begging),Children involved in WFCL (forced labor/forced begging),Non-affected groups are given humanitarian assistance,2,3,No,Unknown,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Local Leader,Situation in areas of origin,No
Nigeria,5,BORNO,KONDUGA,DALORI / WANORI,,FTC DALORI CAMP,13.20605,11.80396,Planned,Collective Settlement/Centre,NULL,3/15/15,Open,Unknown,NULL,Yes,NULL,Public/Government,Host family house,No,N/A,,,No,NULL,,,No,No,No,No,No,No,No,No,No,BORNO,BAMA,KASUGULA,BORNO,BAMA,MARKA / MALGE / AMCHAKA,3210,17482,830,190,1020,2300,3100,5400,2742,3142,5884,1508,2420,3928,500,750,1250,580,2100,10,5,1250,200,20,30,1000,200,0,3/15/15,7/21/15,Yes,BORNO,BAMA,KASUGULA,Place of origin,Lack of safety,None,<50%,<25%,<25%,None,None,<25%,<75%,Soap,Hygiene kits,Mosquito nets,On-site (<10 mn),100%,No,None,Piped water supply,>15 ltr,Yes,None,No,Good (Hygienic),234,Yes,Yes,Yes,Unknown,7,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Petty trade,2000,Yes,No,No,Yes,Yes,Military,Friction anmong site residents,Unknown,None,None,Not enough assistance for all entitled,5,0,Yes,Yes,No,No,No,Good,Good,No lighting,No,N/A,NULL,Families/Friends,Situation in areas of origin,No
Nigeria,5,BORNO,KONDUGA,DALORI / WANORI,,250 HOUSING ESTATE,11.76744,13.23647,Planned,Collective Settlement/Centre,NULL,2/8/15,Open,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,,,Yes,Government,,,Yes,Yes,No,Yes,No,Yes,No,No,No,BORNO,KONDUGA,MAIRAMRI / YELERI / BAZAMRI,BORNO,BAMA,BUDUWA / BULA CHIRABE,957,18202,191,151,342,2896,2704,5600,2857,3003,5860,2835,3015,5850,427,123,550,150,336,30,0,382,0,18,26,226,0,0,2/8/15,8/8/15,No,BORNO,KONDUGA,KONDUGA,Place of origin,Lack of safety,None,None,None,>75%,None,None,>75%,<50%,Bucket/Jerry Can,Blankets/Mats,Soap,Off-site (>10 mn),>50 %,No,Lake/dam,Lake/dam,>15 ltr,Yes,None,No,Not so good (Not hygienic),106,Yes,Yes,No,No waste disposal system,0,No,Yes but no soap/water inside,No,Yes,Yes,No,"Yes, off site",No,Irregular,Distribution,No,No,No,Diarrhea,Skin disease,Fever,Yes,Yes,Off-site (<3 km),NGO,No,None,<2 km,None,Petty trade,11,No,Yes,No,No,No,Self organized,Alcohol/drug-related disturbance,None,None,None,None,0,0,Yes,Yes,No,No,No,Good,Good,No lighting,No,N/A,NULL,Site Management,Other relief assistance,Yes
Nigeria,5,BORNO,KONDUGA,KONDUGA,,GDSS JAKANA,11.84137,12.77233,Spontaneous,Collective Settlement/Centre,NULL,8/6/13,Open,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,,,No,NULL,,,Yes,No,No,No,No,No,Yes,No,No,BORNO,KONDUGA,DAWA EAST / MALARI / KANGAMARI,BORNO,KONDUGA,NULL,182,1386,18,13,31,106,83,189,217,138,355,306,482,788,15,8,23,15,39,3,0,8,0,6,16,0,0,0,8/6/13,8/2/15,Yes,BORNO,KONDUGA,KONDUGA,Place of origin,Lack of safety,<25%,None,<50%,<25%,None,<25%,<75%,None,Plastic sheeting,Kitchen sets,Blankets/Mats,On-site (>10 mn),<50 %,No,Ponds/canals,Hand pumps,>15 ltr,No,None,Yes,Non usable,2,No,No,No,No waste disposal system,0,Yes,Yes but no soap/water inside,No,No,Yes,No,No,No,Never,None,No,No,No,Malaria,Fever,Diarrhea,No,No,Off-site (>3 km),None,Yes,On-site,<1 km,<25%,Agro-pastoralism,2,No,Yes,Yes,Yes,No,Military,None,None,None,None,Unknown,0,0,Yes,No,No,No,No,Excellent,Excellent,No lighting,No,N/A,NULL,Families/Friends,Safety and Security,Yes
Nigeria,5,BORNO,MAIDUGURI M. C.,BOLORI  I,,GUBIO 400 HOUSING ESTATE CAMP,13.07919,11.90362,Planned,Collective Settlement/Centre,NULL,5/9/15,Open,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,KUKAWA,BAGA,BORNO,ABADAM,MALLAMFATORI KESSA,598,4856,75,85,160,250,341,591,865,1050,1915,950,1055,2005,85,100,185,50,200,8,3,185,74,25,127,47,31,0,5/9/15,7/28/15,No,BORNO,KUKAWA,BAGA,Place of origin,Accessibility,None,None,None,>75%,None,<25%,>75%,<25%,Mosquito nets,Blankets/Mats,Soap,Unknown,Unkown,Unknown,None,Water truck,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),66,Yes,No,Yes,No waste disposal system,0,Yes,Yes,Yes,Yes,No,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Malaria,Diarrhea,Fever,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Petty trade,450,No,No,Yes,Yes,Yes,Military,Friction anmong site residents,Domestic violence,None,None,Not enough assistance for all entitled,5,0,Yes,Yes,No,No,No,Good,Good,No lighting,No,N/A,NULL,Mobile phone,Safety and Security,No
Nigeria,5,BORNO,MAIDUGURI M. C.,BOLORI  I,,TEACHERS VILLAGE,13.0977,11.8413,Planned,Collective Settlement/Centre,NULL,NULL,Open,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,BORNO,NGALA,GAMBORU 'B',BORNO,KUKAWA,BAGA,1100,8060,140,120,260,650,950,1600,1150,1700,2850,1500,1700,3200,70,80,150,380,960,16,11,253,34,0,13,11,6,0,11/29/14,1/24/15,Yes,BORNO,KUKAWA,BAGA,Place of origin,Lack of safety,None,None,None,>75%,<25%,<50%,<25%,>75%,Mosquito nets,Soap,Hygiene kits,On-site (<10 mn),>50 %,Yes,None,Piped water supply,>15 ltr,Yes,Taste,Yes,Not so good (Not hygienic),98,Yes,Yes,Yes,Garbage pit,0,No,Yes but no soap/water inside,No,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,No,Yes,Malaria,Fever,Diarrhea,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Petty trade,1771,No,No,Yes,Yes,Yes,Police,Theft,None,None,None,Fighting between recipients at distribution points,5,0,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Families/Friends,Situation in areas of origin,No
Nigeria,5,BORNO,MAIDUGURI M. C.,LAMISULA/JABBA MARI,,EYN CAMP,13.13678,11.84464,Spontaneous,Collective Settlement/Centre,NULL,9/6/14,Open,Unknown,NULL,Yes,NULL,Private Building,Self-made tents,Yes,No,,,No,NULL,,,No,No,No,No,No,No,No,Yes,No,BORNO,GWOZA,GWOZA TOWN GADAMAYO,ADAMAWA,MADAGALI,GULAK,499,4370,57,60,117,380,520,900,840,610,1450,760,1028,1788,65,50,115,250,150,30,3,115,20,25,40,400,350,0,9/6/14,6/15/15,Yes,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,Place of origin,Lack of safety,None,>75%,<25%,<50%,None,<25%,<25%,<25%,Mosquito nets,Blankets/Mats,Kitchen sets,Off-site (<10 mn),>50 %,No,Lake/dam,Hand pumps,5 - 10 ltr,No,Odor/smell,Yes,Not so good (Not hygienic),24,Yes,No,No,No waste disposal system,0,No,Yes but no soap/water inside,No,No,Yes,No,No,Yes,Never,Host community donation,No,No,No,Fever,Malaria,Cough,No,Yes,Off-site (<3 km),NGO,Yes,Off-site,<1 km,<50%,Petty trade,300,No,No,Yes,Yes,Yes,Self organized,Theft,Domestic violence,None,None,Unknown,0,0,Yes,Yes,Yes,No,Yes,Good,Good,No lighting,No,N/A,NULL,Site Management,Safety and Security,No
Nigeria,5,BORNO,MAIDUGURI M. C.,MAFONI,,BOCOLIS CAMP,13.14674,11.84212,Planned,Collective Settlement/Centre,NULL,2/7/15,Open,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,ABADAM,AREGE,BORNO,MOBBAR,DAMASAK,261,1987,62,83,145,200,211,411,350,411,761,225,350,575,40,55,95,95,245,6,3,95,20,5,23,30,3,0,2/7/14,7/17/15,Yes,BORNO,ABADAM,NULL,Place of origin,Lack of safety,None,None,None,>75%,None,None,None,<75%,Soap,Blankets/Mats,Mosquito nets,On-site (<10 mn),<50 %,Yes,None,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),31,Yes,No,Yes,No waste disposal system,0,Yes,Yes but no soap/water inside,No,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Petty trade,200,Yes,No,No,Yes,No,Local Authorities,None,None,None,None,Not enough assistance for all entitled,3,0,Yes,Yes,No,No,No,Good,Good,No lighting,No,N/A,NULL,Families/Friends,Situation in areas of origin,No
Nigeria,5,BORNO,MAIDUGURI M. C.,MAISANDARI,,NYSC CAMP,13.1196,11.8233,Planned,Collective Settlement/Centre,NULL,9/25/14,Open,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,BAMA,KASUGULA,BORNO,KONDUGA,NULL,1340,6798,200,168,368,500,581,1081,2000,1000,3000,1000,1149,2149,50,150,200,320,368,13,4,200,459,2,30,150,48,18,9/25/14,7/21/15,Unknown,BORNO,BAMA,KASUGULA,Place of origin,Lack of safety,None,None,None,>75%,None,<25%,<25%,<50%,Mosquito nets,Blankets/Mats,Soap,On-site (<10 mn),<50 %,Yes,None,Piped water supply,>15 ltr,Yes,None,No,Not so good (Not hygienic),90,Yes,No,No,Garbage pit,0,Yes,Yes,Yes,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Other,Malaria,Fever,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Petty trade,2700,Yes,No,No,Yes,Yes,Police,Alcohol/drug-related disturbance,Sexual harassment/molestation,None,Intentional physical violence,Not enough assistance for all entitled,3,0,Yes,Yes,No,No,No,Good,Good,No lighting,No,N/A,NULL,Radio/news,Situation in areas of origin,No
Nigeria,5,BORNO,MAIDUGURI M. C.,MAISANDARI,,BAKASI CAMP,13.12095,11.79806,Planned,Collective Settlement/Centre,NULL,9/1/15,Open,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,MONGUNO,MONGUNO,BORNO,NGALA,NGALA WARD,1230,8550,150,170,320,340,400,740,1400,2525,3925,1200,2015,3215,200,150,350,150,430,8,5,350,18,20,0,18,10,0,9/1/15,7/27/15,Yes,BORNO,MONGUNO,MONGUNO,Place of origin,Lack of safety,None,None,None,>75%,None,None,<25%,<75%,Blankets/Mats,Mosquito nets,Soap,On-site (<10 mn),>50 %,Yes,None,Piped water supply,>15 ltr,Yes,None,No,Not so good (Not hygienic),300,Yes,No,Yes,Unknown,300,No,Yes but no soap/water inside,No,Yes,No,No,"Yes, on site",Yes,Everyday,Distribution,Yes,No,Yes,Other,Malaria,Fever,No,No,On-site (<3 km),Government,Yes,On-site,<1 km,>75%,Petty trade,0,Yes,No,No,Yes,Yes,Military,Friction anmong site residents,Unknown,None,None,Lack of documentation,3,0,Yes,Yes,No,No,No,Good,Good,No lighting,No,N/A,NULL,Families/Friends,Distribution,No
Nigeria,5,BORNO,MAIDUGURI M. C.,MAISANDARI,,YERWA CAMP,13.1182,11.8357,Planned,Collective Settlement/Centre,NULL,NULL,Open,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,,,Yes,Government,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,BAMA,KASUGULA,BORNO,BAMA,SHEHURI / HAUSARI / MAIRI,630,5166,20,30,50,20,13,33,150,0,150,4600,83,4683,250,0,250,0,83,6,5,250,0,0,0,0,11,0,NULL,7/25/15,Yes,BORNO,BAMA,SABSABWA / SOYE/ BULONGU,Place of origin,Lack of safety,None,None,None,>75%,None,None,<25%,<75%,Soap,Blankets/Mats,Mosquito nets,On-site (<10 mn),<50 %,Yes,None,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),83,Yes,No,Yes,Unknown,0,Yes,Yes but no soap/water inside,No,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,No,No,Malaria,Fever,None,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Petty trade,430,Yes,No,No,Yes,Yes,Military,Friction anmong site residents,Unknown,Unknown,None,Not enough assistance for all entitled,3,0,Yes,Yes,No,No,No,Good,Good,No lighting,No,N/A,NULL,Families/Friends,Situation in areas of origin,No
Nigeria,5,BORNO,MAIDUGURI M. C.,MAISANDARI,,A.T.C CAMP,11.82644,13.12417,Planned,Collective Settlement/Centre,NULL,11/6/14,Open,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,BITA / IZGE,BORNO,MARTE,MARTE,1020,7629,160,19,179,800,950,1750,1100,1350,2450,1300,1650,2950,120,180,300,320,400,100,10,300,100,40,50,300,250,0,11/6/14,7/20/15,No,BORNO,GWOZA,GUDUF NAGADIYO,Place of origin,Lack of food,None,None,None,None,None,<25%,<25%,<25%,Blankets/Mats,Mosquito nets,Soap,On-site (<10 mn),100%,Yes,Lake/dam,Piped water supply,>15 ltr,Yes,None,No,Not so good (Not hygienic),0,Yes,Yes,Yes,Garbage pit,0,No,Unknown,No,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Fever,Diarrhea,Malaria,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Petty trade,750,Yes,No,No,Yes,Yes,Police,Friction anmong site residents,None,None,None,Not enough assistance for all entitled,5,0,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Local Leader,Safety and Security,No
Nigeria,5,BORNO,MAIDUGURI M. C.,MAISANDARI,,G.G.C CAMP,13.14067,11.8359,Planned,Collective Settlement/Centre,NULL,9/3/14,Open,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,BAMA,KASUGULA,BORNO,BAMA,NULL,550,4620,350,320,670,450,500,950,200,740,940,0,1805,1805,0,255,255,100,1400,15,5,5,11,0,11,2350,0,0,9/25/14,7/20/15,Yes,BORNO,BAMA,KASUGULA,Place of origin,Lack of safety,None,None,None,>75%,None,None,None,<75%,Blankets/Mats,Soap,Hygiene kits,On-site (<10 mn),100%,Yes,None,Piped water supply,>15 ltr,Yes,None,No,Not so good (Not hygienic),65,Yes,No,Yes,Unknown,0,Yes,Yes but no soap/water inside,No,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,No,No,Fever,Malaria,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,Petty trade,500,Yes,No,No,Yes,Yes,Military,Friction anmong site residents,Domestic violence,None,None,Not enough assistance for all entitled,5,0,Yes,Yes,No,No answer,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Site Management,Safety and Security,No
Nigeria,5,BORNO,MAIDUGURI M. C.,MAISANDARI,,SAINT HILARY CAMP,13.13926,11.78829,Planned,Collective Settlement/Centre,NULL,NULL,Open,Unknown,NULL,Yes,NULL,Private Building,Other,Yes,Yes,,,Yes,Unknown,,,Yes,No,No,No,No,No,Yes,No,No,BORNO,GWOZA,NGOSHE,ADAMAWA,MADAGALI,DUHU/ SHUWA,28,214,13,12,25,22,17,39,28,23,51,34,38,72,11,16,27,8,33,0,0,27,0,2,3,5,2,0,NULL,6/15/15,Yes,BORNO,GWOZA,NGOSHE,Place of origin,Lack of safety,None,None,None,>75%,None,None,<25%,<50%,Blankets/Mats,Soap,Mosquito nets,Off-site (<10 mn),<50 %,No,None,Piped water supply,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),8,Yes,No,Yes,No waste disposal system,0,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Everyday,Other,No,No,No,Malaria,Fever,Cough,No,No,Off-site (>3 km),Local clinic,No,Off-site,<2 km,None,Petty trade,20,Yes,No,No,Yes,No,Self organized,None,None,None,None,None,0,0,Yes,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,Families/Friends,Safety and Security,No
