country,round,site_region,site_province,site_district,n_family,n_total,site_type,,,,site_id
Nigeria,1,ADAMAWA,GIRE 1,MODIRE/ VINIKILANG,47,361,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GIRE 1,TAMBO,25,244,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GIRE 1,WURO DOLE,27,234,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GOMBI,BOGA/ DINGAI,31,132,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GOMBI,DUWA,40,193,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GOMBI,GA'ANDA,30,167,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GOMBI,GABUN,27,139,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GOMBI,GOMBI NORTH,35,187,HC,2013,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GOMBI,GOMBI SOUTH,46,228,HC,2013,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GOMBI,GARKIDA,22,157,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GOMBI,GUYAKU,27,161,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GOMBI,TAWA,25,159,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GOMBI,YANG,18,155,HC,2014,1 - Insurgency,BO,
Nigeria,1,ADAMAWA,GUYUK,BANJIRAM,32,322,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GUYUK,BOBINI,38,458,HC,2014,1 - Insurgency,GM,
Nigeria,1,ADAMAWA,GUYUK,BODENO,84,533,HC,2014,1 - Insurgency,BO,
Nigeria,1,ADAMAWA,GUYUK,CHIKILA,82,681,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GUYUK,DUKUL,31,298,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GUYUK,DUMNA,28,302,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GUYUK,GUYUK,189,883,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GUYUK,KOLA,38,438,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GUYUK,LOKORO,26,267,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,GUYUK,PUROKAYO,48,402,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,HONG,BANGSHIKA,3,25,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,HONG,DAKSIRI,6,65,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,HONG,GARAHA,20,183,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,HONG,GAYA,17,98,HC,2014,1 - Insurgency,BO,
Nigeria,1,ADAMAWA,HONG,HILDI,10,126,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,HONG,HONG,20,236,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,HONG,HUSHERE ZUM,3,20,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,HONG,KWARHI,10,186,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,HONG,MAYO LOPE,15,210,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,HONG,SHANGUI,20,217,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,HONG,THILBANG,6,63,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,HONG,UBA,10,133,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,JADA,JADA I,10,350,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,JADA,JADA II,5,250,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,JADA,LEKO,10,100,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,JADA,MBULO,5,222,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,JADA,YELLI,10,300,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,LAMURDE,GYAWANA,30,243,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,LAMURDE,LAFIYA,20,100,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,LAMURDE,LAMURDE,23,180,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,LAMURDE,OPALO,21,181,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,LAMURDE,SUWA,25,173,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,LAMURDE,WADUKU,20,214,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,MAIHA,BELEL,17,175,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,MAIHA,KONKOL,20,234,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,MAIHA,MAIHA GARI,20,249,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,MAIHA,MANJEKIN,18,234,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,MAIHA,MAYONGULI,19,238,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,MAIHA,SORAU 'A',18,226,HC,2014,1 - Insurgency,BO,
Nigeria,1,ADAMAWA,MAIHA,SORAU 'B',20,239,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,MAYO - BELWA,GENGLE,13,39,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,MAYO - BELWA,MAYO-BELWA,16,48,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,MAYO - BELWA,NDIKONG,9,33,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,MAYO - BELWA,TOLA,18,39,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,MAYO - BELWA,YOFFO,11,42,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,NUMAN,IMBURU,88,988,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,NUMAN,NUMAN I,60,649,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,NUMAN,NUMAN II,70,832,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,NUMAN,NUMAN III,83,978,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,NUMAN,SABON PEGI,72,817,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,SHELLENG,BAKTA,10,74,HC,2013,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,SHELLENG,GUNDO,10,103,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,SHELLENG,KETEMBERE,6,126,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,SHELLENG,KIRI,8,223,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,SHELLENG,LIBBO,7,134,HC,2013,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,SHELLENG,SHELLENG,7,96,HC,2013,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,SHELLENG,TALLUM,8,84,HC,2013,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,SONG,DIRMA,373,2889,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,SONG,DUMNE,63,924,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,SONG,KILANGE FUNA,163,2411,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,SONG,KILANGE HIRNA,233,3797,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,SONG,SIGIRE,103,1872,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,SONG,SUKTU,17,96,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,SONG,SONG GARI,425,5920,C,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,SONG,SONG GARI,97,1252,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,SONG,SONG WAJE,122,2467,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,SONG,WALTANDI,125,1925,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,SONG,ZUMO,478,6094,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,TOUNGO,DAWO I,7,64,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,TOUNGO,DAWO I,8,78,C,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,TOUNGO,DAWO II,13,86,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,TOUNGO,DAWO II,24,116,C,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,TOUNGO,KIRI I,92,452,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,TOUNGO,KONGIN BABA I,88,622,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,TOUNGO,KONGIN BABA II,51,402,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,TOUNGO,TOUNGO I,95,203,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,TOUNGO,TOUNGO I,132,673,C,2014,1 - Insurgency,BO,
Nigeria,1,ADAMAWA,TOUNGO,TOUNGO II,148,394,C,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,TOUNGO,TOUNGO II,36,169,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,TOUNGO,TOUNGO III,109,1989,HC,2014,1 - Insurgency,BO,
Nigeria,1,ADAMAWA,YOLA NORTH,ALKALAWA,127,628,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA NORTH,AJIYA,142,635,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA NORTH,DOUBELI,152,673,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA NORTH,GWADABAWA,184,894,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA NORTH,JAMBUTU,187,794,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA NORTH,KARENA,241,1085,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA NORTH,LIMAWA,163,684,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA NORTH,LUGGERE,864,3675,C,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA NORTH,LUGGERE,236,967,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA NORTH,NASSARAWO,221,686,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA NORTH,RUMDE,123,547,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA NORTH,YELWA,167,745,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA SOUTH,ADARAWO,251,2066,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA SOUTH,BAKO,21,312,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA SOUTH,BOLE YOLDE PATE,115,1883,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA SOUTH,NAMTARI,132,1194,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA SOUTH,NAMTARI,514,4152,C,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA SOUTH,NGURORE,521,4860,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA SOUTH,MAKAMA 'A',66,831,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA SOUTH,MAKAMA 'B',302,2335,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA SOUTH,MBAMBA,41,475,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA SOUTH,MBAMOI,1,47,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA SOUTH,TOUNGO,18,129,HC,2014,1 - Insurgency,AD,
Nigeria,1,ADAMAWA,YOLA SOUTH,YOLDE KOHI,515,4061,HC,2014,1 - Insurgency,AD,
Nigeria,1,BAUCHI,BAUCHI,MAJIDADI 'B',72,334,HC,2013,1 - Insurgency,YB,
Nigeria,1,BAUCHI,BAUCHI,MAKAMA/SARKI BAKI,25,158,HC,2014,1 - Insurgency,BO,
Nigeria,1,BAUCHI,BAUCHI,ZUNGUR/LIMAN  KATAGUM,22,164,HC,2014,1 - Insurgency,YB,
Nigeria,1,BAUCHI,BAUCHI,BIRSHI/MIRI,51,209,HC,2014,1 - Insurgency,YB,
Nigeria,1,BAUCHI,BAUCHI,KANGYARE/TURWUN,24,122,HC,2014,1 - Insurgency,BO,
Nigeria,1,BAUCHI,BAUCHI,DAN'IYA HARDO,81,788,HC,2014,1 - Insurgency,BO,
Nigeria,1,BAUCHI,BAUCHI,DAWAKI,21,109,HC,2014,1 - Insurgency,AD,
Nigeria,1,BAUCHI,DAMBAM,GARUZA,14,89,HC,2014,1 - Insurgency,BO,
Nigeria,1,BAUCHI,DAMBAM,GURBANA,19,109,HC,2014,1 - Insurgency,,
Nigeria,1,BAUCHI,DAMBAM,DAMBAM,20,317,HC,2014,1 - Insurgency,,
Nigeria,1,BAUCHI,DAMBAM,YANDA,17,209,HC,2014,1 - Insurgency,,
Nigeria,1,BAUCHI,DAMBAM,YAME,10,132,HC,2014,1 - Insurgency,,
Nigeria,1,BAUCHI,DAMBAM,DAGAUDA,20,328,HC,2014,1 - Insurgency,,
Nigeria,1,BAUCHI,DAMBAM,GARGAWA,15,120,HC,2014,1 - Insurgency,,
Nigeria,1,BAUCHI,DAMBAM,ZAURA,19,387,HC,2014,1 - Insurgency,,
Nigeria,1,BAUCHI,DAMBAM,JALAM CENTRAL,18,227,HC,2013,1 - Insurgency,,
Nigeria,1,BAUCHI,DAMBAM,JALAM EAST,19,306,HC,2014,1 - Insurgency,,
Nigeria,1,BAUCHI,DARAZO,DARAZO,12,135,HC,2014,1 - Insurgency,BO,
Nigeria,1,BAUCHI,DARAZO,TAUYA,16,116,HC,2014,1 - Insurgency,BO,
Nigeria,1,BAUCHI,DARAZO,GABARIN,17,141,HC,2014,1 - Insurgency,AD,
Nigeria,1,BAUCHI,DARAZO,KONKIYAL,9,49,HC,2014,1 - Insurgency,YB,
Nigeria,1,BAUCHI,DARAZO,LAGO,20,105,HC,2014,1 - Insurgency,YB,
Nigeria,1,BAUCHI,DARAZO,SADE,6,168,HC,2014,1 - Insurgency,BO,
Nigeria,1,BAUCHI,DARAZO,LANZAI,13,118,HC,2014,1 - Insurgency,YB,
Nigeria,1,BAUCHI,DARAZO,WAHU,19,119,HC,2014,1 - Insurgency,AD,
Nigeria,1,BAUCHI,DARAZO,PAPA,8,59,HC,2014,1 - Insurgency,YB,
Nigeria,1,BAUCHI,DASS,BAGEL/BAJAR,23,260,HC,2014,2 - Community Clashes,TR,
Nigeria,1,BAUCHI,DASS,BUNUNU CENTRAL,41,556,HC,2014,2 - Community Clashes,TR,
Nigeria,1,BAUCHI,DASS,BUNUNU SOUTH,54,647,HC,2014,2 - Community Clashes,TR,
Nigeria,1,BAUCHI,DASS,DOTT,74,1101,HC,2014,2 - Community Clashes,PL,
Nigeria,1,BAUCHI,DASS,WANDI,28,286,HC,2012,2 - Community Clashes,PL,
Nigeria,1,BAUCHI,GAMAWA,GAMAWA,44,450,HC,2013,1 - Insurgency,BO,
Nigeria,1,BAUCHI,GAMAWA,GOLOLO,100,807,HC,2014,1 - Insurgency,YB,
Nigeria,1,BAUCHI,GAMAWA,TARMASUWA,80,920,HC,2014,1 - Insurgency,AD,
Nigeria,1,BAUCHI,GAMAWA,RAGA,75,329,HC,2014,1 - Insurgency,AD,
Nigeria,1,BAUCHI,GAMAWA,ZINDI,35,380,HC,2014,1 - Insurgency,YB,
Nigeria,1,BAUCHI,GIADE,CHINKANI,40,277,HC,2013,1 - Insurgency,BO,
Nigeria,1,BAUCHI,GIADE,SABON SARA,55,191,HC,2013,1 - Insurgency,BO,
Nigeria,1,BAUCHI,GIADE,DOGUWA CENTRAL,143,398,HC,2013,1 - Insurgency,BO,
Nigeria,1,BAUCHI,GIADE,GIADE,125,327,HC,2013,1 - Insurgency,BO,
Nigeria,1,BAUCHI,GIADE,"U.  ZUM ""A""",25,110,HC,2013,1 - Insurgency,BO,
Nigeria,1,BAUCHI,GIADE,ZABI,26,232,HC,2013,1 - Insurgency,BO,
Nigeria,1,BAUCHI,MISAU,ZADAWA,33,137,HC,2013,1 - Insurgency,BO,
Nigeria,1,BAUCHI,MISAU,BETI,29,104,HC,2013,1 - Insurgency,YB,
Nigeria,1,BAUCHI,MISAU,JARKASA,27,117,HC,2013,1 - Insurgency,BO,
Nigeria,1,BAUCHI,MISAU,KUKADI/GUNDARI,181,735,HC,2013,1 - Insurgency,BO,
Nigeria,1,BAUCHI,MISAU,AJILIN/GUGULIN,27,117,HC,2013,1 - Insurgency,BO,
Nigeria,1,BAUCHI,MISAU,TOFU,33,131,HC,2014,1 - Insurgency,BO,
Nigeria,1,BAUCHI,MISAU,HARDAWA,30,181,HC,2013,1 - Insurgency,BO,
Nigeria,1,BAUCHI,MISAU,SARMA/AKUYAM,31,109,HC,2013,1 - Insurgency,BO,
Nigeria,1,BAUCHI,MISAU,SIRKO,7,85,HC,2014,1 - Insurgency,BO,
Nigeria,1,BAUCHI,MISAU,GWARAM,10,98,HC,2014,1 - Insurgency,YB,
Nigeria,1,BAUCHI,TAFAWA BALEWA,"KARDAM ""A""",345,1498,HC,2011,2 - Community Clashes,PL,
Nigeria,1,BAUCHI,TAFAWA BALEWA,"KARDAM ""B""",500,4228,HC,2011,2 - Community Clashes,PL,
Nigeria,1,BAUCHI,TAFAWA BALEWA,LERE  SOUTH,200,500,HC,2011,2 - Community Clashes,PL,
Nigeria,1,BAUCHI,TAFAWA BALEWA,TAPSHIN,35,80,HC,2011,2 - Community Clashes,PL,
Nigeria,1,BAUCHI,TAFAWA BALEWA,WAI,350,1000,HC,2011,2 - Community Clashes,BA,
Nigeria,1,BAUCHI,TAFAWA BALEWA,BALL,180,1327,HC,2011,2 - Community Clashes,PL,
Nigeria,1,BAUCHI,TAFAWA BALEWA,BULA,220,1070,HC,2013,2 - Community Clashes,PL,
Nigeria,1,BAUCHI,TAFAWA BALEWA,DAJIN,450,3499,HC,2013,2 - Community Clashes,ZF,
Nigeria,1,BAUCHI,TAFAWA BALEWA,BUNUNU,2000,6500,HC,2011,2 - Community Clashes,BA,
Nigeria,1,BAUCHI,TORO,TORO / TULAI,592,3377,HC,2012,1 - Insurgency,BO,
Nigeria,1,BAUCHI,TORO,TILDEN FULANI,301,2380,HC,2012,1 - Insurgency,BO,
Nigeria,1,BAUCHI,TORO,RIBINA,94,600,HC,2012,1 - Insurgency,BO,
Nigeria,1,BAUCHI,TORO,MARA / PALAMA,89,850,HC,2012,2 - Community Clashes,PL,
Nigeria,1,BAUCHI,TORO,JAMA'A / ZARANDA,126,751,HC,2012,1 - Insurgency,PL,
Nigeria,1,BAUCHI,TORO,LAME,127,696,HC,2012,1 - Insurgency,AD,
Nigeria,1,BAUCHI,TORO,WONU,33,101,HC,2012,2 - Community Clashes,PL,
Nigeria,1,BAUCHI,TORO,ZALAU / RISHI,61,399,HC,2012,2 - Community Clashes,BO,
Nigeria,1,BAUCHI,TORO,RAHAMA,56,384,HC,2012,2 - Community Clashes,AD,
Nigeria,1,BAUCHI,ZAKI,BURSALI,18,160,HC,2014,1 - Insurgency,BO,
Nigeria,1,BAUCHI,ZAKI,KATAGUM,28,342,HC,2014,1 - Insurgency,BO,
Nigeria,1,BAUCHI,ZAKI,TASHENA / GADAI,35,360,HC,2014,1 - Insurgency,BO,
Nigeria,1,BAUCHI,ZAKI,MAKAWA,5,167,HC,2014,1 - Insurgency,BO,
Nigeria,1,BAUCHI,ZAKI,SAKWA,5,103,HC,2014,1 - Insurgency,BO,
Nigeria,1,BAUCHI,ZAKI,GUMAI,31,237,HC,2014,1 - Insurgency,BO,
Nigeria,1,BAUCHI,ZAKI,MURMUR NORTH,24,248,HC,2014,1 - Insurgency,BO,
Nigeria,1,BAUCHI,ZAKI,MURMUR  SOUTH,22,340,HC,2014,1 - Insurgency,BO,
Nigeria,1,BAUCHI,ZAKI,ALANGAWARI / KAFIN / LARABAWA,15,402,HC,2014,1 - Insurgency,BO,
Nigeria,1,BAUCHI,ZAKI,MAIWA,67,473,HC,2014,1 - Insurgency,BO,
Nigeria,1,BAUCHI,ZAKI,MAINAKO,6,141,HC,2014,1 - Insurgency,BO,
Nigeria,1,GOMBE,AKKO,GARKO,64,406,C,2014,1 - Insurgency,BO,
Nigeria,1,GOMBE,AKKO,GARKO,98,1105,HC,2014,1 - Insurgency,BO,
Nigeria,1,GOMBE,AKKO,KALSHINGI,62,486,HC,2014,1 - Insurgency,BO,
Nigeria,1,GOMBE,AKKO,KUMO WEST,63,465,HC,2014,1 - Insurgency,,
Nigeria,1,GOMBE,AKKO,PINDIGA,28,180,HC,2013,1 - Insurgency,YB,
Nigeria,1,GOMBE,BALANGA,BAMBAM,11,38,HC,2014,1 - Insurgency,BO,
Nigeria,1,GOMBE,BALANGA,TALASSE / DONG / REME,10,40,HC,2014,1 - Insurgency,BO,
Nigeria,1,GOMBE,BILLIRI,BARE,9,37,HC,2014,1 - Insurgency,AD,
Nigeria,1,GOMBE,BILLIRI,BILLIRI NORTH,4,28,HC,2014,1 - Insurgency,AD,
Nigeria,1,GOMBE,BILLIRI,BILLIRI SOUTH,9,43,HC,2014,1 - Insurgency,AD,
Nigeria,1,GOMBE,DUKKU,HASHIDU,11,48,HC,2014,1 - Insurgency,YB,
Nigeria,1,GOMBE,DUKKU,JAMARI,10,40,HC,2014,1 - Insurgency,YB,
Nigeria,1,GOMBE,DUKKU,MALALA,11,52,HC,2014,1 - Insurgency,YB,
Nigeria,1,GOMBE,FUNAKAYE,ASHAKA / MAGABA,15,63,HC,2014,1 - Insurgency,YB,
Nigeria,1,GOMBE,FUNAKAYE,BAGE,25,87,HC,2014,1 - Insurgency,YB,
Nigeria,1,GOMBE,FUNAKAYE,BAJOGA  WEST,18,120,HC,2014,1 - Insurgency,YB,
Nigeria,1,GOMBE,FUNAKAYE,BAJOGA EAST,13,88,HC,2014,1 - Insurgency,YB,
Nigeria,1,GOMBE,FUNAKAYE,KUPTO,15,80,HC,2014,1 - Insurgency,YB,
Nigeria,1,GOMBE,GOMBE,BAJOGA,52,456,HC,2014,1 - Insurgency,BO,
Nigeria,1,GOMBE,GOMBE,BOLARI EAST,63,763,HC,2014,1 - Insurgency,BO,
Nigeria,1,GOMBE,GOMBE,BOLARI WEST,60,542,HC,2014,1 - Insurgency,BO,
Nigeria,1,GOMBE,GOMBE,HERWAGANA,56,571,HC,2014,1 - Insurgency,BO,
Nigeria,1,GOMBE,GOMBE,NASARAWA,120,1252,HC,2014,1 - Insurgency,BO,
Nigeria,1,GOMBE,GOMBE,PANTAMI,158,1366,HC,2014,1 - Insurgency,BO,
Nigeria,1,GOMBE,GOMBE,SHAMAKI,320,2000,HC,2014,1 - Insurgency,BO,
Nigeria,1,GOMBE,KALTUNGO,AWAK,8,37,HC,2014,1 - Insurgency,BO,
Nigeria,1,GOMBE,KALTUNGO,KALTUNGO EAST,4,17,HC,2014,1 - Insurgency,AD,
Nigeria,1,GOMBE,KWAMI,GADAM,15,134,HC,2014,1 - Insurgency,BO,
Nigeria,1,GOMBE,KWAMI,MALAM SIDI,23,241,HC,2014,1 - Insurgency,BO,
Nigeria,1,GOMBE,NAFADA,BIRIN BOLEWA,14,60,HC,2014,1 - Insurgency,YB,
Nigeria,1,GOMBE,NAFADA,JIGAWA,12,97,HC,2014,1 - Insurgency,YB,
Nigeria,1,GOMBE,NAFADA,NAFADA CENTRAL,6,52,HC,2014,1 - Insurgency,BO,
Nigeria,1,GOMBE,NAFADA,NAFADA EAST,17,69,HC,2014,1 - Insurgency,YB,
Nigeria,1,GOMBE,SHONGOM,BURAK,14,53,HC,2014,2 - Community Clashes,TR,
Nigeria,1,GOMBE,SHONGOM,FILIYA,8,27,HC,2014,2 - Community Clashes,TR,
Nigeria,1,GOMBE,YALMALTU/ DEBA,DEBA,18,132,HC,2014,1 - Insurgency,BO,
