country,round,survey_date,site_region,site_province,site_district,site_id,site_name,,site_longitude,site_latitude,site_class,site_type,,site_date_open,,site_date_close,site_access,site_area,site_owner,site_shelter,smc_exist,smc_community,,,sma_exist,sma_type,,,regist_activity,,support_wash,support_health,support_shelter,support_food,support_protect,support_edu,support_live,,,,,,,n_family,n_total,n_infants_male,n_infants_female,n_infants,n_child_male,n_child_female,n_child,n_youth_male,n_youth_female,n_youth,n_adult_male,n_adult_female,n_adult,n_elder_male,n_elder_female,n_elder,n_pregnant,n_lactating,n_pwd,,,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,,,,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,water_location,water_operational,,water_source_np,water_source_p,water_avg,water_potable,water_remark,water_complaint,latrine_cond,n_latrine,latrine_gender,bathing_gender,latrine_lock,hyg_waste,n_garbage,garbage_problem,hyg_station,hyg_evidence,hyg_promotion,hyg_open_def,hyg_drainage,food_access,food_market,food_freq,food_source,health_screen,food_sup_lac,food_sup_child,,,,health_medicine,health_center,,,edu_access,edu_location,edu_distance,per_sch,,n_hh_income,job_access,,,sec_provided,,sec_provider,sec_tradition,,,,,n_space_child,n_space_female,,,unsafe_female,unsafe_male,unsafe_child,,,site_lighting,job_abr,job_abr_in,job_abr_prom,,,,
Nigeria,9,3/5/2016,BENUE,MAKURDI,AGAN,BN_S001,TOLL GATE,INFORMAL,8.56962,7.81014,Spontaneous,Collective Settlement/Centre,NULL,6/2/2015,Unknown,NULL,Yes,NULL,Public/Government,Government building,No,N/A,NULL,NULL,No,NULL,NULL,,No,No,No,No,Yes,No,No,No,No,BENUE,GUMA,UVIR,NULL,NULL,NULL,6,38,2,5,7,2,2,4,3,3,6,7,9,16,2,3,5,0,7,0,0,5,0,0,0,0,0,0,6/10/2014,10/4/2015,No,BENUE,GUMA,KAAMBE,Place of origin,Lack of safety,None,None,None,>75%,None,None,None,<75%,Blankets/Mats,Mosquito nets,Bucket/Jerry Can,Off-site (<10 mn),<50 %,No,Hand pumps,Hand pumps,Unknown,Yes,None,No,Non usable,0,No,No,No,Burning,0,Yes,Yes but no soap/water inside,No,No,Yes,Yes,No,Yes,Never,Cash,No,No,No,Malnutrition,Malaria,Skin disease,No,Yes,Off-site (<3 km),Government,Yes,On-site,<1 km,<50%,Farming,2,Yes,No,Yes,No,No,None,None,None,None,None,None,0,0,No,No,Yes,Yes,Yes,Good,Good,No lighting,No,N/A,NULL,Mobile phone,Safety and Security,No,1627
Nigeria,9,3/6/2016,BENUE,BURUKU,MBAYA,BN_S002,ACHIGBE MARKET SQUARE,INFORMAL,8.9851,7.5411,Spontaneous,Collective Settlement/Centre,NULL,6/2/2016,Unknown,NULL,Yes,NULL,Public/Government,Self-made tents,No,N/A,NULL,NULL,No,NULL,NULL,,No,No,No,No,Yes,Yes,No,No,No,BENUE,BURUKU,MBAYA,BENUE,BURUKU,MBAAPEN,753,6613,28,19,47,423,398,821,1514,759,2273,1337,1025,2362,613,497,1110,72,168,83,0,1110,0,0,0,118,295,0,02/16/2016,3/4/2016,Yes,BENUE,BURUKU,MBAYA,Place of origin,Lack of safety,<50%,<75%,<50%,<50%,Unknown,<25%,Unknown,<50%,Blankets/Mats,Hygiene kits,Mosquito nets,Off-site (>10 mn),>50 %,No,Hand pumps,Hand pumps,5 - 10 ltr,No,Odor/smell,Yes,Not so good (Not hygienic),6,No,No,No,No waste disposal system,0,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, off site",Yes,Irregular,Host community donation,No,No,No,Malaria,Cough,Wound infection,No,Yes,Off-site (>3 km),Local clinic,No,Off-site,<5 km,<50%,Farming,50,Yes,No,Yes,Yes,No,Self organized,None,None,None,None,Not enough assistance for all entitled,0,0,No,Unknown,Yes,Yes,Yes,Good,Good,Unknown,No,N/A,NULL,Local Leader,Situation in areas of origin,Yes,1624
Nigeria,9,3/6/2016,BENUE,BURUKU,MBAADE,BN_S003,IJER COMP SEC SCH,INFORMAL,9.1157,7.4773,Spontaneous,Collective Settlement/Centre,NULL,01/27/2016,Unknown,NULL,Yes,NULL,Public/Government,School,No,N/A,NULL,NULL,No,NULL,NULL,,No,No,No,Yes,Yes,Yes,No,No,No,BENUE,BURUKU,MBAADE,BENUE,BURUKU,BINEV,693,4831,20,13,33,535,546,1081,623,419,1042,952,758,1710,583,382,965,15,181,9,0,965,0,0,0,102,219,0,01/27/2016,6/4/2016,Yes,BENUE,BURUKU,MBAADE,Place of origin,Lack of safety,<25%,None,None,>75%,Unknown,<25%,Unknown,<50%,Blankets/Mats,Hygiene kits,Mosquito nets,On-site (>10 mn),>50 %,Unknown,Hand pumps,Hand pumps,5 - 10 ltr,No,Odor/smell,Yes,Not so good (Not hygienic),0,No,No,No,Burning,0,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, off site",Yes,Irregular,Host community donation,No,No,No,Malaria,Fever,Malnutrition,No,Yes,Off-site (>3 km),Local clinic,Yes,Off-site,<5 km,<50%,Farming,15,Yes,No,Yes,Yes,No,Self organized,None,None,None,None,Not enough assistance for all entitled,0,0,No,Unknown,Yes,Yes,Yes,Good,Good,Unknown,No,N/A,NULL,Local Leader,Situation in areas of origin,No,1620
Nigeria,9,3/7/2016,BENUE,AGATU,EGBA,BN_S004,U.B.E SEC. SCHOOL.AILA,INFORMAL,8.0102,7.8709,Spontaneous,Collective Settlement/Centre,NULL,4/4/2016,Unknown,NULL,Yes,NULL,Public/Government,School,No,N/A,NULL,NULL,No,NULL,NULL,,Yes,No,No,No,Yes,Yes,Yes,No,No,BENUE,AGATU,EGBA,BENUE,AGATU,OKOKOLO,708,4018,114,146,260,223,287,510,453,646,1099,827,941,1768,183,198,381,163,300,74,0,381,0,0,72,12,7,0,01/15/2015,4/4/2016,No,BENUE,AGATU,EGBA,Place of origin,House damaged/destroyed,<25%,None,<50%,<75%,None,None,None,<25%,Mosquito nets,Plastic sheeting,Blankets/Mats,On-site (<10 mn),<50 %,Yes,Ponds/canals,Hand pumps,Unknown,Yes,None,No,Not so good (Not hygienic),4,No,No,No,Burning,0,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Irregular,Distribution,No,No,No,Malnutrition,Skin disease,Fever,No,No,None,None,Yes,On-site,<1 km,None,Farming,0,No,Unknown,Yes,Yes,No,Police,None,None,None,None,Not enough assistance for all entitled,0,0,Yes,Yes,Yes,Yes,No,Good,Good,No lighting,No,N/A,NULL,Local Leader,Safety and Security,No,1619
Nigeria,9,3/8/2016,BORNO,JERE,BALE GALTIMARI,BO_S001,FORI PRIMARY SCHOOL,INFORMAL,13.17691,11.79954,Spontaneous,Collective Settlement/Centre,NULL,10/19/2014,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,NULL,NULL,No,NULL,NULL,,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,BORNO,BAMA,KASUGULA,BORNO,BAMA,KASUGULA,22,138,4,5,9,22,30,52,13,21,34,19,23,42,0,1,1,6,13,0,0,1,4,0,16,0,0,5,10/19/2014,8/6/2015,Yes,BORNO,BAMA,KASUGULA,Place of origin,Lack of safety,None,None,None,>75%,None,>75%,None,>75%,Soap,Kitchen sets,Blankets/Mats,Off-site (>10 mn),>50 %,No,Hand pumps,Hand pumps,>15 ltr,Yes,None,No,Not so good (Not hygienic),6,Yes,Yes,Yes,Burning,1,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, off site",No,Irregular,Host community donation,No,No,No,Malaria,Fever,None,Yes,Yes,Off-site (<3 km),Government,Yes,On-site,<1 km,<50%,Petty trade,8,Yes,No,No,Yes,No,Military,None,None,None,None,Non-affected groups are given humanitarian assistance,4,0,No,No,Yes,Yes,Yes,Good,Good,No lighting,No,N/A,NULL,Local Leader,Safety and Security,Yes,1666
Nigeria,9,3/6/2016,BORNO,JERE,MASHAMARI,BO_S002,SHEHU SANDA KYARIMI PRIMARY SCHOOL,FORMAL,13.18255,11.85063,Spontaneous,Collective Settlement/Centre,NULL,08/13/2014,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,NULL,NULL,Yes,Government,NEMA/SEMA,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,JERE,MASHAMARI,BORNO,JERE,MASHAMARI,293,2050,161,134,295,184,149,333,268,137,405,130,332,462,94,461,555,85,310,1,7,555,34,8,95,39,24,9,07/14/2014,12/13/2015,Yes,BORNO,JERE,MASHAMARI,Place of origin,Lack of safety,None,<25%,<25%,<75%,<50%,>75%,None,>75%,Soap,Plastic sheeting,Bucket/Jerry Can,On-site (<10 mn),100%,Yes,Hand pumps,Hand pumps,>15 ltr,Yes,None,No,Good (Hygienic),22,Yes,Yes,Yes,Garbage pit,12,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,None,None,None,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<25%,Agro-pastoralism,140,Yes,No,Yes,Yes,No,Military,None,None,None,None,Fighting between recipients at distribution points,3,11,No,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",Yes,Nigeria,Better living conditions,Local Leader,Distribution,Yes,1668
Nigeria,9,3/6/2016,BORNO,JERE,BALE GALTIMARI,BO_S004,BALE GALTIMARI PRI SCHOOL,INFORMAL,13.173455,11.805623,Spontaneous,Collective Settlement/Centre,NULL,1/9/2014,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,NULL,NULL,Yes,Armed Forces,NIGERIAN ARMY,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,BORNO,BAMA,KASUGULA,BORNO,KONDUGA,NYALERI/SANDIA/YEJIWA,74,518,19,23,42,63,45,108,75,69,144,97,124,221,2,1,3,15,50,4,2,3,23,22,20,14,39,9,1/9/2014,03/28/2016,Yes,BORNO,BAMA,BUDUWA / BULA CHIRABE,Place of origin,Lack of safety,None,None,<25%,<75%,>75%,None,None,>75%,Blankets/Mats,Soap,Bucket/Jerry Can,On-site (<10 mn),<50 %,Yes,Piped water supply,Piped water supply,>15 ltr,Yes,None,No,Not so good (Not hygienic),9,Yes,Yes,No,Burning,0,Yes,Yes but no soap/water inside,No,No,No,No,"Yes, on site",No,Irregular,Host community donation,No,No,No,Cough,Fever,Skin disease,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<1 km,<25%,Farming,3,No,No,Yes,No,No,None,None,None,None,None,None,2,0,No,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,Local Leader,Situation in areas of origin,No,1664
Nigeria,9,3/5/2016,BORNO,MAIDUGURI M. C.,MAISANDARI,BO_S005,ARABIC TEACHERS COLLEGE,FORMAL,13.12417,11.82648,Spontaneous,Collective Settlement/Centre,NULL,09/26/2014,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,NULL,NULL,Yes,Government,NEMA,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,MARTE,NULL,BORNO,GWOZA,GAVVA / AGAPALWA,978,6172,56,54,110,403,273,676,1614,1330,2944,979,961,1940,388,114,502,24,191,10,3,502,18,7,3,9,2,0,11/11/2014,1/4/2016,Yes,BORNO,MARTE,NULL,Place of origin,Lack of safety,None,<50%,<25%,>75%,<50%,>75%,<25%,<75%,Soap,Hygiene kits,Blankets/Mats,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,>15 ltr,Yes,None,No,Good (Hygienic),171,Yes,Yes,Yes,Burning,208,Yes,Yes but no soap/water inside,No,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Other,Fever,Cough,No,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Farming,200,Yes,No,No,Yes,No,Military,None,None,None,None,None,5,0,No,Yes,Yes,Yes,Yes,Good,Good,"Yes, there is lighting but it is NOT adequate",Yes,Nigeria,Education,Site Management,Situation in areas of origin,No,1650
Nigeria,9,3/5/2016,BORNO,MAIDUGURI M. C.,MAISANDARI,BO_S009,NYSC CAMP BORNO,FORMAL,13.11942,11.8257,Spontaneous,Collective Settlement/Centre,NULL,11/1/2014,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,No,NULL,NULL,Yes,INGO,NYSC CAMP,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,BAMA,NULL,BORNO,KONDUGA,KONDUGA,727,4730,45,43,88,202,257,459,1074,1162,2236,832,1060,1892,20,35,55,83,154,2,1,55,63,52,1,6,1,0,06/16/2014,03/31/2016,Yes,BORNO,BAMA,NULL,Place of origin,Lack of safety,None,<50%,<25%,<75%,<50%,<25%,None,>75%,Blankets/Mats,Kitchen sets,Hygiene kits,On-site (<10 mn),>50 %,No,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),82,Yes,Yes,Yes,Burning,0,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,Petty trade,72,Yes,Yes,No,Yes,Yes,Military,Theft,None,None,None,Not enough assistance for all entitled,1,0,No,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",Yes,Nigeria,Better living conditions,Radio/news,Situation in areas of origin,No,1662
Nigeria,9,3/5/2016,BORNO,MAIDUGURI M. C.,MAISANDARI,BO_S010,BAKASI CAMP,FORMAL,13.12019,11.84334,Planned,Camp,NULL,2/11/2015,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,NULL,NULL,Yes,Government,NEMA,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,MONGUNO,NULL,BORNO,GWOZA,GWOZA TOWN GADAMAYO,1842,12880,344,300,644,900,1032,1932,1439,2039,3478,2376,2776,5152,774,900,1674,327,962,20,10,1674,35,68,75,53,90,0,2/11/2016,NULL,Yes,BORNO,MONGUNO,NULL,Place of origin,Lack of safety,None,<25%,None,>75%,None,<75%,>75%,<50%,Hygiene kits,Blankets/Mats,Kitchen sets,On-site (<10 mn),<50 %,No,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),670,Yes,Yes,Yes,Garbage pit,0,Yes,Yes,Yes,Yes,No,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Malaria,Diarrhea,Skin disease,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<1 km,<50%,Petty trade,412,Yes,Yes,Yes,Yes,Yes,Military,Alcohol/drug-related disturbance,Domestic violence,None,None,Not enough assistance for all entitled,1,2,Yes,Yes,No,No,No,Good,Good,No lighting,Yes,Nigeria,Better living conditions,Radio/news,Other relief assistance,No,1661
Nigeria,9,3/4/2016,BORNO,MAIDUGURI M. C.,LAMISULA/JABBA MARI,BO_S012,EYN CAMP,FORMAL,13.13686,11.84422,Spontaneous,Collective Settlement/Centre,NULL,6/6/2014,Unknown,NULL,Yes,NULL,Private Building,Tents,Yes,Yes,NULL,NULL,Yes,Government,NEMA,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,BORNO,GWOZA,GAVVA / AGAPALWA,BORNO,ASKIRA / UBA,ASKIRA EAST,222,1522,71,83,154,177,127,304,217,252,469,274,321,595,0,0,0,51,227,3,7,0,93,0,6,0,0,0,07/20/2014,7/4/2016,Yes,BORNO,GWOZA,GAVVA / AGAPALWA,Place of origin,Lack of safety,None,>75%,<25%,None,None,>75%,>75%,>75%,Hygiene kits,Blankets/Mats,Soap,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,>15 ltr,Yes,None,No,Not so good (Not hygienic),4,Yes,Yes,Yes,Burning,0,No,Yes but no soap/water inside,Yes,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Malaria,Cough,Other,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<1 km,<25%,Farming,0,Yes,Yes,Yes,Yes,No,Military,None,None,None,None,Not enough assistance for all entitled,1,0,Yes,Yes,No,No,No,Good,Good,No lighting,Yes,Nigeria,Education,Local Leader,Distribution,No,1657
Nigeria,9,3/4/2016,BORNO,MAIDUGURI M. C.,MAFONI,BO_S013,MOGCOLIS CAMP,FORMAL,13.14912,11.84592,Spontaneous,Collective Settlement/Centre,NULL,NULL,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,NULL,NULL,Yes,Government,NEMA,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,MOBBAR,DAMASAK,BORNO,ABADAM,MALLAMFATORI KESSA,504,2520,161,206,367,146,223,369,314,334,648,309,329,638,197,301,498,99,367,20,2,498,150,212,100,50,70,89,9/3/2014,NULL,Yes,BORNO,MOBBAR,DAMASAK,Place of origin,Lack of safety,None,<25%,<25%,>75%,<50%,>75%,<25%,>75%,Kitchen sets,Hygiene kits,Blankets/Mats,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,>15 ltr,Yes,None,No,Not so good (Not hygienic),21,Yes,Yes,Yes,Garbage pit,0,No,Yes,Yes,No,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Malnutrition,Cough,Other,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,>75%,Fishing,0,No,No,No,Yes,No,Military,None,None,None,None,Not enough assistance for all entitled,1,0,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",Yes,Nigeria,Education,Local Leader,Situation in areas of origin,No,1669
Nigeria,9,3/6/2016,BORNO,MAIDUGURI M. C.,BOLORI  I,BO_S014,TEACHERS VILLAGE,FORMAL,13.09909,11.88244,Spontaneous,Collective Settlement/Centre,NULL,9/9/2014,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,No,NULL,NULL,Yes,Government,NEMA,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,BORNO,KUKAWA,BAGA,BORNO,NGALA,GAMBORU 'B',1242,8688,201,300,501,271,352,623,1919,1873,3792,2002,1708,3710,41,21,62,282,850,50,10,62,40,250,90,30,40,25,09/29/2014,11/4/2016,No,BORNO,KUKAWA,BAGA,Place of origin,Lack of safety,<25%,<25%,<25%,<75%,<75%,<25%,<50%,>75%,Hygiene kits,Soap,Blankets/Mats,On-site (<10 mn),<50 %,Yes,Hand pumps,Hand pumps,>15 ltr,No,Taste,Yes,Not so good (Not hygienic),100,Yes,Yes,Yes,Garbage pit,0,No,Yes,No,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,No,Yes,Yes,Malaria,Diarrhea,Other,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Fishing,198,No,No,Yes,Yes,No,Military,None,None,None,None,Not enough assistance for all entitled,1,1,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Site Management,Safety and Security,No,1658
Nigeria,9,3/14/2016,BORNO,BIU,KENKEN,BO_S015,ZONAL EDUCATION CENTER BIU,INFORMAL,12.1799,10.61685,Spontaneous,Camp,NULL,12/18/2015,Unknown,NULL,Yes,NULL,Public/Government,Tents,Yes,Yes,NULL,NULL,Yes,Local NGO,NRC,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,BIU,BURATAI,BORNO,DAMBOA,DAMBOA,802,7318,102,113,215,536,1117,1653,1126,1111,2237,1371,1639,3010,90,113,203,158,389,3,0,203,81,60,4,403,481,0,12/18/2014,03/16/2016,Yes,BORNO,BIU,BURATAI,Place of origin,House damaged/destroyed,None,>75%,None,None,<25%,<25%,None,<50%,Blankets/Mats,Bucket/Jerry Can,Soap,On-site (<10 mn),<50 %,No,Hand pumps,Hand pumps,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),14,Yes,Yes,Yes,Burning,0,Yes,Yes but no soap/water inside,No,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,No,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<1 km,<25%,Petty trade,23,Yes,Yes,No,Yes,Yes,Military,Friction anmong site residents,None,None,None,Not enough assistance for all entitled,0,0,No,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Local Leader,Safety and Security,No,1671
Nigeria,9,3/5/2016,BORNO,KONDUGA,AUNO / CHABBOL,BO_S016,FEDERAL TRAINING CENTER CAMP,FORMAL,13.22147,11.77724,Spontaneous,Collective Settlement/Centre,NULL,03/14/2014,Unknown,NULL,Yes,NULL,Public/Government,Tents,Yes,Yes,NULL,NULL,Yes,Government,SEMA,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,BAMA,KASUGULA,BORNO,KONDUGA,MAIRAMRI / YELERI / BAZAMRI,4099,29231,975,869,1844,1471,2968,4439,3824,5005,8829,4259,6130,10389,1798,1932,3730,750,2570,13,3,3730,500,1101,570,100,500,47,03/27/2011,03/28/2016,Yes,BORNO,BAMA,KASUGULA,Place of origin,Lack of safety,<25%,>75%,<25%,<25%,<25%,>75%,<50%,>75%,Blankets/Mats,Bucket/Jerry Can,Hygiene kits,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,>15 ltr,Yes,None,No,Not so good (Not hygienic),150,Yes,Yes,Yes,Garbage pit,0,Yes,Yes,No,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Malaria,Skin disease,Diarrhea,Yes,Yes,On-site (>3 km),Government,Yes,On-site,<1 km,>75%,Pastoralism,52,Yes,No,No,Yes,No,Military,None,None,None,None,Not enough assistance for all entitled,3,1,No,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",Yes,Nigeria,Education,Local Leader,Shelter,No,1688
Nigeria,9,3/4/2016,BORNO,MAIDUGURI M. C.,BOLORI  II,BO_S017,400 HOUSING ESATE GUBIO,FORMAL,13.07953,11.90408,Spontaneous,Collective Settlement/Centre,NULL,9/5/2015,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,NULL,NULL,Yes,Government,NEMA,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,BAMA,KASUGULA,BORNO,NGALA,GAMBORU 'B',2076,13506,525,518,1043,1057,1138,2195,1985,2115,4100,1443,2614,4057,1124,987,2111,481,1951,37,5,2111,347,0,271,311,317,0,11/5/2015,03/28/2016,Yes,BORNO,KUKAWA,BAGA,Place of origin,Lack of safety,None,<25%,<25%,>75%,>75%,>75%,None,>75%,Hygiene kits,Other,Other,On-site (<10 mn),<50 %,Yes,Hand pumps,Hand pumps,Unknown,Yes,None,No,Good (Hygienic),168,Yes,Yes,Yes,Burning,175,No,Yes,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Malaria,Malnutrition,Other,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Fishing,100,No,No,Yes,Yes,Yes,Military,Alcohol/drug-related disturbance,None,Early/forced marriage,Child separated from their care givers (or just child separation),Not enough assistance for all entitled,3,2,No,Yes,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",Yes,Nigeria,Education,Local Leader,Situation in areas of origin,No,1655
Nigeria,9,3/5/2016,BORNO,JERE,DUSUMAN,BO_S018,FARM CENTRE,INFORMAL,13.21455,11.86189,Spontaneous,Collective Settlement/Centre,NULL,8/3/2015,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,NULL,NULL,Yes,Government,SEMA/NEMA,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,MAFA,LOSKURI,BORNO,JERE,DUSUMAN,1522,10658,494,517,1011,1167,1201,2368,1347,1407,2754,1404,1839,3243,553,729,1282,300,1250,100,10,1282,49,82,300,120,200,80,8/3/2015,12/16/2015,Yes,BORNO,MAFA,LOSKURI,Place of origin,Accessibility,None,<50%,<50%,<75%,None,<25%,<50%,>75%,Plastic sheeting,Kitchen sets,Other,On-site (<10 mn),>50 %,Yes,Water truck,Piped water supply,5 - 10 ltr,Yes,None,No,Good (Hygienic),120,Yes,Yes,Yes,Burning,12,Yes,Yes,Yes,Yes,Yes,No,"Yes, on site",Yes,Twice a week,Distribution,Yes,Yes,Yes,Malaria,Fever,Skin disease,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<1 km,<50%,Agro-pastoralism,350,Yes,Yes,Unknown,Yes,No,Military,None,None,None,None,Assistance was physically inadequate for most vulnerable,1,0,No,No,No,No,No,Good,Excellent,No lighting,Yes,Nigeria,Better living conditions,Radio/news,Situation in areas of origin,Yes,1652
Nigeria,9,3/5/2016,BORNO,MAIDUGURI M. C.,MAISANDARI,BO_S019,CAN CATHOLIC SECRETARIAT,INFORMAL,13.08346,11.47291,Spontaneous,Collective Settlement/Centre,NULL,6/11/2014,Unknown,NULL,Yes,NULL,Public/Government,Community center,No,N/A,NULL,NULL,No,Religious entity,NULL,,No,No,No,No,Yes,No,No,No,Yes,BORNO,GWOZA,PULKA/BOKKO,ADAMAWA,MICHIKA,NULL,38,319,16,10,26,30,39,69,48,63,111,46,64,110,1,2,3,4,24,0,2,3,0,5,1,11,1,0,08/17/2014,03/30/2016,Yes,BORNO,GWOZA,PULKA/BOKKO,Place of origin,Lack of safety,<25%,None,<50%,<50%,None,None,None,<50%,Kitchen sets,Blankets/Mats,Mosquito nets,Off-site (<10 mn),<50 %,No,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),3,No,No,Yes,Burning,0,No,Yes but no soap/water inside,No,Yes,No,No,"Yes, off site",Yes,Irregular,Host community donation,No,No,No,Cough,Malaria,Other,No,No,Off-site (<3 km),None,Yes,On-site,<1 km,<25%,Farming,21,No,No,Yes,Yes,No,Self organized,None,None,None,None,None,2,2,Yes,No,Yes,Yes,Yes,Good,Good,No lighting,No,N/A,NULL,Families/Friends,Situation in areas of origin,No,1660
Nigeria,9,3/5/2016,BORNO,JERE,MASHAMARI,BO_S020,GONI KACHALLARI PW,INFORMAL,13.20934,11.85759,Spontaneous,Camp,NULL,7/8/2015,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,NULL,NULL,Yes,Government,SEMA/NEMA,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,BORNO,MAFA,LOSKURI,BORNO,MAFA,LOSKURI,335,2335,112,120,232,281,292,573,283,295,578,286,378,664,140,148,288,120,250,12,10,288,23,36,105,50,15,5,5/8/2015,01/14/2016,Yes,BORNO,MAFA,LIMANTI,Place of origin,Lack of safety,<25%,<25%,<25%,>75%,None,<25%,None,>75%,Plastic sheeting,Bucket/Jerry Can,Soap,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),37,Yes,Yes,Yes,Garbage pit,1,No,Yes,Yes,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Skin disease,Fever,Malaria,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<1 km,<25%,Petty trade,150,Yes,Yes,No,Yes,Yes,Military,Friction with host community,Domestic violence,None,None,None,1,0,No,Yes,No,No,No,Good,Good,No lighting,Yes,Nigeria,Better living conditions,Radio/news,Situation in areas of origin,Yes,1659
