country,,,,,,,,survey_date,round,,site_id,site_name,site_cardinal,site_region,site_province,site_district,,,,,site_longitude,site_latitude,sma_exist,,smc_community,,,,sma_exist,,sma_name,sma_type,,,,regist_activity,,,,support_wash,,support_health,,support_shelter,,support_food,,support_protect,,support_edu,,support_live,,site_class,site_type,,,,,site_access,site_area,site_owner,,,,,,,,,,,,,n_family,,n_infants_male,n_infants_female,n_child_male,n_child_female,n_youth_male,n_youth_female,n_adult_male,n_adult_female,n_elder_male,n_elder_female,n_infants,n_child,n_youth,n_adult,n_elder,n_male,n_female,n_total,n_pregnant,n_lactating,n_pwd,,,n_child_sep,n_child_unacc,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,n_chronic_ill,,,pre_displaced,,,,,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,nfi_other,site_repair,,water_location,,,,water_operational,,water_source_np,,water_source_p,,water_cons,,water_potable,,water_remark,,water_complaint,,latrine_cond,,n_latrine,latrine_gender,,bathing_gender,,latrine_lock,,hyg_waste,,n_garbage,garbage_problem,,hyg_station,,hyg_evidence,,hyg_promotion,,hyg_open_def,,hyg_drainage,food_access,,food_market,,food_freq,,food_source,,health_screen,,food_sup_lac,,food_sup_child,,,,,,health_medicine,,health_center,,health_location,,health_provider,,edu_access,,edu_location,,edu_distance,,per_sch,,,job_access,,n_hh_income,,,,,sec_provided,,,,sec_provider,,,,,,sec_tradition,,sec_child_issue,,,,n_space_child,n_space_female,,,,,unsafe_female,unsafe_male,unsafe_child,,,,,site_lighting,,,,,,job_abr,,job_abr_in,,,,
Nigeria,4/22/15 15:05,4/21/15 16:37,4/22/15 15:04,21-Apr-15,359535057820435,,359535057820435,13-Mar-15,3,male,AD_S011,GIRE 2 PRIMARY SCHOOL,north_east,adamawa,Gireri,GIREI 2,,,,,12.54985,13.69738,yes,,yes,,,,yes,,NEMA,government,,,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,planned,collective settlement,,18-Dec-14,unknown,21-Apr-15,yes,500,public,school,,north_east,borno,gwoza,GOSHE,north_east,adamawa,michika,MICHIKA,none,,220,by_gender_and_age_group,,,,,,,,,,,42,153,286,674,61,485,731,1216,18,42,2,1,61,1,1,40,232,103,15,3,18-Dec-15,13-Mar-15,no,,place of origin,,house damaged,,north_east,borno,gwoza,GOSHE,3__less_than_50_percent,2__less_than_25_percent,1__none,5__more_than_75_percent,5__more_than_75_percent,2__less_than_25_percent,1__none,5__more_than_75_percent,2__blankets,11__bucket,12__hygiene_kits,,yes,,1__onsite_less_than_20,,yes,,6__operational_100,,3__piped_water_supply,,3__piped_water_supply,,4__more_than_15_liters,,yes,,5__none,,yes,,1__good,,15,yes,,yes,,yes,,2__garbage_pit,,2,yes,,none,,yes,,yes,,yes,,no,yes_onsite,,yes,,1__everyday,,2__distribution,,yes,,yes,,no,,3__malaria,15__cough,2__diarrhea,,yes,,yes,,1__on-site_less_than_3_km,,government,,yes,,unknown,,1__less_than_1_km,,5__more_than_75_percent,5__petty_trade,,yes,,15,no,,no,,yes,,no,,3__military,,9__none,,,,7__none,,none,,16__none,,2,0,yes,,no,,no,no,no,1__excellent,,1__excellent,,1__adequate,,6__mobile_phone,,9__situation_in_areas_of_origin,,no,,,yes,yes,,220
Nigeria,4/22/15 15:27,4/22/15 13:34,4/22/15 15:23,22-Apr-15,351612060609275,621300277460794,351612060609275,18-Mar-15,3,female,AD_S012,Govt Lodge Ganaya,north_east,adamawa,Ganye,Ganye 2,,,,,12.05129,8.43815,no,,,,,,unknown,,,,,,,unknown,,unknown,,unknown,,unknown,,unknown,,unknown,,unknown,,unknown,,no answer,,spontaneous,collective settlement,,31-Oct-15,unknown,22-Apr-15,yes,0,private,government building,,north_east,adamawa,michika,Bazza,north_east,adamawa,madagali,Shuwa,none,,58,by_both_gender_and_age_group,3,4,10,17,54,68,73,91,12,18,7,27,122,164,30,152,198,350,2,3,0,1,1,0,0,0,0,1,0,1,31-Oct-14,22-Apr-15,yes,,place of origin,,lack of safety,,north_east,adamawa,michika,Bazza,1__none,1__none,1__none,5__more_than_75_percent,2__less_than_25_percent,3__less_than_50_percent,2__less_than_25_percent,1__none,3__mosquito_nets,10__soap,2__blankets,,yes,,3__offsite_less_than_20,,yes,,1__operational_50_more,,3__piped_water_supply,,3__piped_water_supply,,4__more_than_15_liters,,yes,,5__none,,no,,not_so_good,,1,no,,no,,no,,3__burning,,0,no,,none,,no,,no,,no,,no,3__no,,yes,,3__once_a_week,,1__cash,,no,,no,,no,,15__cough,2__diarrhea,3__malaria,,no,,no,,5__none,,5__none,,no,,no answer,,7__no_answer,,1__none,10__unknown,,no,,,no,,no,,no,,no,,1__self_organized,,9__none,,,,7__none,,none,,16__none,,0,0,no,,no,,yes,yes,yes,2__good,,2__good,,not_adequate,,1__families_friends,,6__safety_and_security,,no,,,no,unknown,0,0
Nigeria,4/22/15 15:31,4/21/15 17:02,4/22/15 9:10,21-Apr-15,351612060609275,621300277460794,351612060609275,11-Mar-15,3,male,AD_S013,Fed Poly Camp,north_east,adamawa,Girei,Vinikilang,,,,,12.47278,12.988,yes,,yes,,,,no,,,,,,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,no,,yes,,planned,collective settlement,,11-Feb-14,unknown,21-Apr-15,yes,600,public,school,,north_east,adamawa,mubi_north,Gude Lokuwa,north_east,adamawa,madagali,Duh'u/Mayo wandu,none,,40,by_gender_and_age_group,,,,,,,,,,,15,60,51,85,4,104,111,215,7,12,1,0,4,0,0,1,4,7,1,0,3-Nov-14,11-Mar-15,yes,,place of origin,,house damaged,,north_east,adamawa,mubi_north,Yelwa,3__less_than_50_percent,1__none,1__none,5__more_than_75_percent,4__less_than_75_percent,3__less_than_50_percent,1__none,5__more_than_75_percent,2__blankets,3__mosquito_nets,10__soap,Bucket/Jerry can,yes,,4__offsite_more_than_20,,no,,3__not_operational,,9__spring,,10__water_truck,,2__less_than_10_liters,,yes,,5__none,,no,,not_so_good,,24,yes,,yes,,yes,,3__burning,,2,yes,,none,,no,,no,,yes,,yes,yes_onsite,,yes,,6__irregular,,2__distribution,,no,,no,,no,,3__malaria,15__cough,2__diarrhea,,no,,no,,4__off-site_more_than_3_km,,5__none,,no,,3__none,,6__unknown,,5__more_than_75_percent,5__petty_trade,,yes,,20,no,,no,,yes,,no,,1__self_organized,,9__none,,,,7__none,,none,,16__none,,2,0,yes,,no,,no,no,no,1__excellent,,1__excellent,,not_adequate,,6__mobile_phone,,9__situation_in_areas_of_origin,,no,,,yes,yes,,40
Nigeria,4/22/15 14:24,4/22/15 13:36,4/22/15 14:24,22-Apr-15,359535057820435,,359535057820435,15-Sep-14,3,male,AD_S015,Kaka camp,north_east,adamawa,Toungo,Toungo 1,,,,,12.04301,8.11309,no,,,,,,no,,,,,,,no,,no,,no,,no,,no,,no,,no,,no,,no,,planned,camp,,17-Jun-14,unknown,22-Apr-15,yes,510,private,self made tents,,north_east,borno,damboa,Ajari,north_east,borno,monguno,Abari,none,,21,by_gender_and_age_group,,,,,,,,,,,26,21,88,180,27,146,196,342,32,17,12,2,9,5,0,0,0,4,0,3,17-Jun-14,3-Feb-15,yes,,place of origin,,lack of safety,,north_east,borno,damboa,Ajari,2__less_than_25_percent,1__none,2__less_than_25_percent,5__more_than_75_percent,1__none,1__none,1__none,2__less_than_25_percent,8__other,2__blankets,12__hygiene_kits,,yes,,4__offsite_more_than_20,,no,,3__not_operational,,1__ponds_canals,,1__ponds_canals,,3__less_than_15_liters,,no,,5__none,,no,,not_so_good,,3,yes,,yes,,no,,1__no_waste_disposal_system,,0,no answer,,none,,no,,no,,yes,,no,3__no,,yes,,4__every_2_weeks,,3__host_community_donation,,no,,no,,no,,6__fever,15__cough,2__diarrhea,,yes,,yes,,3__off-site_less_than_3_km,,5__none,,no,,3__none,,7__no_answer,,1__none,5__petty_trade,,yes,,0,no,,yes,,no,,no,,10__none,,9__none,,,,7__none,,none,,1__fighting_between_recipients_a,,0,0,no,,no,,no,no,no,1__excellent,,1__excellent,,3__no_lighting,,5__radio_news,,7__other_relief_assistance,,no,,,no,yes,,342
Nigeria,4/22/15 14:19,4/22/15 13:31,4/22/15 14:00,22-Apr-15,359535057819817,621300278117471,359535057819817,18-Mar-15,3,male,AD_S016,GSS Numan Camp,north_east,adamawa,Numan,Numan 1,,,,,12.0324,9.4582,yes,,yes,,,,no,,,,,,,yes,,no,,no,,no,,yes,,yes,,yes,,yes,,yes,,planned,camp,,29-Oct-14,unknown,22-Apr-15,yes,10000,public,government building,,north_east,adamawa,madagali,Palam,north_east,adamawa,michika,Michika 1,none,,62,by_gender_and_age_group,,,,,,,,,,,30,86,110,164,42,215,217,432,0,2,1,1,42,5,5,0,17,27,0,3,29-Oct-14,27-Nov-14,yes,,place of origin,,house damaged,,north_east,adamawa,madagali,Palam,2__less_than_25_percent,1__none,1__none,5__more_than_75_percent,1__none,1__none,5__more_than_75_percent,2__less_than_25_percent,2__blankets,11__bucket,3__mosquito_nets,,yes,,1__onsite_less_than_20,,no,,2__operational_50_less,,8__lake_dam,,8__lake_dam,,4__more_than_15_liters,,no,,3__suspended_solids,,yes,,3__non_usable,,2,no,,no,,no,,3__burning,,0,yes,,none,,no,,no,,yes,,no,yes_onsite,,yes,,6__irregular,,2__distribution,,no,,no,,no,,6__fever,other,4__malnutrition,,no,,no,,3__off-site_less_than_3_km,,5__none,,yes,,1__onsite,,1__less_than_1_km,,5__more_than_75_percent,3__farming,,yes,,3,no,,no,,yes,,no,,1__self_organized,,3__friction_among_site_residents,,,,7__none,,5__unknown,,not_enough_assistance_for_all,,2,2,yes,,yes,,no,no,no,2__good,,2__good,,3__no_lighting,,2__local_leader,,9__situation_in_areas_of_origin,,no,,,yes,yes,,62
Nigeria,4/22/15 17:57,4/21/15 11:02,4/21/15 17:39,21-Apr-15,351612060615355,621300088125550,351612060615355,21-Mar-15,3,male,BO_S001,FORI PRIMARY SCHOOL CAMP,north_east,borno,Jere,BALE GALTIMARI,,,,,13.01768,11.799,yes,,yes,,,,no,,,,,,,no,,no,,no,,no,,no,,no,,no,,no,,no,,spontaneous,collective settlement,,30-Jul-14,unknown,21-Apr-15,no physical,400,public,school,,north_east,borno,bama,Kaigamari,north_east,borno,chibok,Chibok,none,Fori Camp,33,by_gender_and_age_group,,,,,,,,,,,12,28,84,102,30,71,185,256,1,4,0,0,0,0,28,14,0,0,0,0,30-Jul-14,28-Feb-15,no,,place of origin,,lack of safety,,north_east,borno,bama,Kaigamari,1__none,1__none,1__none,5__more_than_75_percent,1__none,1__none,1__none,1__none,2__blankets,3__mosquito_nets,11__bucket,,yes,,3__offsite_less_than_20,,no,,1__operational_50_more,,2__handpumps,,8__lake_dam,,3__less_than_15_liters,,yes,,2__taste,,no,,not_so_good,,4,no,,no,,yes,,1__no_waste_disposal_system,,0,no,,none,,no,,no,,yes,,no,3__no,,no,,7__never,,6__none,,no,,no,,no,,2__diarrhea,6__fever,7__skin_disease,,no,,no,,4__off-site_more_than_3_km,,5__none,,no,,3__none,,7__no_answer,,1__none,3__farming,,no,,,no,,no,,no,,no,,1__self_organized,,9__none,,,,7__none,,none,,16__none,,0,0,yes,,no,,yes,yes,yes,2__good,,2__good,,3__no_lighting,,1__families_friends,,6__safety_and_security,,no,,,yes,unknown,,0
Nigeria,4/22/15 17:57,4/21/15 11:53,4/21/15 17:39,21-Apr-15,351612060615355,621300088125550,351612060615355,17-Mar-15,3,male,BO_S002,SHEHU SANDA KYARIMI PRIMARY SCHOOL,north_east,borno,Jere,Mashamari,,,,,13.18008,11.84814,yes,,no,,,,no,,,,,,,yes,,yes,,no,,yes,,no,,yes,,yes,,yes,,yes,,planned,collective settlement,,30-Aug-14,unknown,15-Apr-15,yes,350,public,school,,north_east,borno,mafa,Mafa,north_east,borno,dikwa,Dikwa,none,N/A,1003,by_gender_and_age_group,,,,,,,,,,,200,530,570,6230,500,3810,4220,8030,150,200,3,2,20,5,10,20,0,0,0,0,30-Aug-14,16-Mar-15,no,,place of origin,,lack of safety,,north_east,borno,mafa,Mafa,2__less_than_25_percent,1__none,1__none,4__less_than_75_percent,1__none,2__less_than_25_percent,1__none,4__less_than_75_percent,3__mosquito_nets,2__blankets,10__soap,,yes,,1__onsite_less_than_20,,no,,1__operational_50_more,,2__handpumps,,3__piped_water_supply,,4__more_than_15_liters,,yes,,5__none,,no,,not_so_good,,30,yes,,yes,,yes,,1__no_waste_disposal_system,,30,yes,,4__yes_no_soap_water,,yes,,yes,,no,,no,yes_onsite,,yes,,6__irregular,,5__other,Government,no,,no,,no,,3__malaria,15__cough,6__fever,,yes,,yes,,1__on-site_less_than_3_km,,government,,yes,,1__onsite,,1__less_than_1_km,,3__less_than_50_percent,3__farming,,no,,,no,,no,,yes,,no,,2__police,,5__theft,,,,7__none,,none,,16__none,,0,0,yes,,yes,,yes,yes,yes,2__good,,2__good,,3__no_lighting,,6__mobile_phone,,5__access_to_services,,no,,,no,yes,,1003
Nigeria,4/22/15 17:59,4/21/15 11:35,4/21/15 17:54,21-Apr-15,359535057819817,621300278117471,359535057819817,20-Mar-15,3,female,BO_S003,Madihatu camp,north_east,borno,Jere,Old Maiduguri,,,,,13.17978,11.876,yes,,yes,,,,yes,,Red Cross and NEMA,government,,,,yes,,yes,,yes,,no,,no,,no,,yes,,no,,no,,4__pre_identified_site,transitional centre,,5-Jan-15,unknown,21-Apr-15,yes,300,public,open lot,,north_east,borno,kukawa,Mile Three,north_east,borno,kukawa,Mile Three,none,N/A,215,by_gender_and_age_group,,,,,,,,,,,155,600,393,593,164,1298,607,1905,21,33,6,3,7,14,11,6,438,310,10,13,4-Feb-15,8-Feb-15,no,,place of origin,,house damaged,,north_east,borno,jere,Mile Three,3__less_than_50_percent,1__none,1__none,4__less_than_75_percent,1__none,1__none,1__none,2__less_than_25_percent,1__plastic_sheeting,5__kitchen_sets,12__hygiene_kits,,yes,,4__offsite_more_than_20,,no,,unknown,,6__protected_well,,10__water_truck,,1__less_than_5_liters,,no answer,N/A,1__odor_smell,,yes,,not_so_good,,2,yes,,yes,,no,,1__no_waste_disposal_system,,0,yes,,none,,yes,,no,,yes,,no,2__yes_offsite,,no answer,N/A,6__irregular,,2__distribution,,unknown,,no,,no,,3__malaria,2__diarrhea,15__cough,,yes,,yes,,1__on-site_less_than_3_km,,government,,no,,unknown,,1__less_than_1_km,,1__none,5__petty_trade,,unknown,,,no answer,N/A,no,,yes,,yes,,4__local_authorities,,9__unknown,,,,7__none,,5__unknown,,1__fighting_between_recipients_a,,0,0,unknown,,no,,yes,yes,yes,2__good,,2__good,,3__no_lighting,,1__families_friends,,9__situation_in_areas_of_origin,,no,,,yes,yes,,215
Nigeria,4/22/15 17:39,4/21/15 12:12,4/22/15 17:39,21-Apr-15,359535057820435,,359535057820435,22-Mar-15,3,female,BO_S004,BELE GALTIMARI,north_east,borno,Jere,BALE GALTIMARI,,,,,13.1727,11.80653,yes,,yes,,,,no,,,,,,,no answer,,no,,no,,yes,,yes,,yes,,yes,,no,,yes,,spontaneous,collective settlement,,30-Aug-14,unknown,21-Apr-15,yes,450,public,school,,north_east,borno,bama,BURAR TELA,north_east,borno,konduga,KONDUGA,none,,43,by_gender_and_age_group,,,,,,,,,,,9,16,89,90,40,73,171,244,13,21,2,3,4,1,9,4,15,7,20,3,30-Aug-14,21-Apr-15,no,,place of origin,,lack of safety,,north_east,borno,bama,BUKAR TELA,1__none,1__none,1__none,5__more_than_75_percent,1__none,1__none,1__none,6__unknown,12__hygiene_kits,2__blankets,3__mosquito_nets,,yes,,1__onsite_less_than_20,,yes,,1__operational_50_more,,3__piped_water_supply,,3__piped_water_supply,,3__less_than_15_liters,,no answer,,5__none,,no,,not_so_good,,21,yes,,yes,,yes,,1__no_waste_disposal_system,,0,no,,none,,unknown,,yes,,yes,,no,yes_onsite,,no,,6__irregular,,3__host_community_donation,,no,,no,,no,,3__malaria,2__diarrhea,6__fever,,yes,,no,,1__on-site_less_than_3_km,,2__ngo,UNICEF,yes,,1__onsite,,1__less_than_1_km,,5__more_than_75_percent,3__farming,,no answer,,,no,,no,,yes,,no,,1__self_organized,,9__none,,,,7__none,,none,,16__none,,0,0,yes,,yes,,yes,yes,yes,2__good,,2__good,,3__no_lighting,,5__radio_news,,6__safety_and_security,,no,,,yes,yes,,43
Nigeria,4/22/15 18:00,4/21/15 13:34,4/21/15 17:43,21-Apr-15,351612060609275,621300277460794,351612060609275,14-Mar-15,3,male,BO_S005,Arabic teachers college,north_east,borno,Maiduguri,MAISANDARI,,,,,13.13787,11.834,yes,,yes,,,,yes,,Sema,government,,,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,no,,yes,,planned,collective settlement,,12-Sep-14,unknown,21-Apr-15,yes,1200,public,government building,,north_east,borno,damboa,Damboa,north_east,borno,damboa,Kafalmafi,none,,1037,by_gender_and_age_group,,,,,,,,,,,1389,2271,2690,2402,1622,3142,7232,10374,48,201,92,101,171,21,11,261,81,85,91,25,1-Feb-14,20-Sep-14,no,,no answer,,lack of safety,,north_east,borno,damboa,Damboa,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,3__less_than_50_percent,2__less_than_25_percent,3__less_than_50_percent,2__less_than_25_percent,2__less_than_25_percent,2__blankets,3__mosquito_nets,12__hygiene_kits,,yes,,1__onsite_less_than_20,,no,,1__operational_50_more,,2__handpumps,,3__piped_water_supply,,3__less_than_15_liters,,no answer,,5__none,,no,,not_so_good,,28,yes,,yes,,yes,,1__no_waste_disposal_system,,0,no,,none,,yes,,yes,,no,,no,yes_onsite,,no,,1__everyday,,2__distribution,,no,,no,,no,,3__malaria,4__malnutrition,6__fever,,no,,no answer,,2__on-site_more_than_3_km,,government,,no,,1__onsite,,3__less_than_5_km,,2__less_than_25_percent,3__farming,,no,,,no,,no,,yes,,yes,,3__military,,3__friction_among_site_residents,,,,3__forced_family_separations,,1__child_physical_abuse,,10__assistance_did_not_respond_t,,8,10,yes,,yes,,no,no,no,2__good,,2__good,,not_adequate,,6__mobile_phone,,9__situation_in_areas_of_origin,,no,,,yes,yes,,1037
Nigeria,4/22/15 17:57,4/21/15 13:47,4/21/15 18:21,21-Apr-15,351612060615355,621300088125550,351612060615355,15-Mar-15,3,female,BO_S006,WTC,north_east,borno,Maiduguri,MAISANDARI,,,,,13.13787,11.834,yes,,yes,,,,unknown,,,,,,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,no,,yes,,planned,collective settlement,,1-Jan-15,unknown,21-Apr-15,yes,1,public,government building,,north_east,borno,askira/uba,UBA,north_east,borno,askira/uba,Askira East,storm,N/A,249,by_gender_and_age_group,,,,,,,,,,,397,583,597,561,355,831,1662,2493,81,211,22,31,69,161,2,281,60,52,41,10,1-Aug-14,21-Jun-14,no,,none stay here,,house damaged,,north_east,borno,askira/uba,Baga/kukawa,1__none,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,1__none,2__less_than_25_percent,2__blankets,3__mosquito_nets,1__plastic_sheeting,,yes,,1__onsite_less_than_20,,no,,1__operational_50_more,,2__handpumps,,3__piped_water_supply,,2__less_than_10_liters,,unknown,,5__none,,no,,not_so_good,,15,yes,,yes,,yes,,3__burning,,0,yes,,none,,no,,yes,,no,,no,3__no,,no,,1__everyday,,2__distribution,,no,,no,,no,,3__malaria,6__fever,2__diarrhea,,no,,unknown,,1__on-site_less_than_3_km,,government,,yes,,1__onsite,,3__less_than_5_km,,2__less_than_25_percent,2__agro_pastoralism,,yes,,9,no,,no,,yes,,unknown,,3__military,,3__friction_among_site_residents,,,,5__other_forms_of_exploitation,,2__child_emotional_abuse,,7__people_need_to_bribe_for_assi,,6,3,yes,,yes,,no,no,no,2__good,,3__poor,,not_adequate,,6__mobile_phone,,4__how_to_get_information,,no,,,yes,yes,,249
Nigeria,4/22/15 17:40,4/21/15 15:01,4/22/15 17:40,21-Apr-15,359535057820435,,359535057820435,13-Mar-15,3,female,BO_S007,GOVT GIRLS COLLEGE,north_east,borno,Maiduguri,MAISANDARI,,,,,13.14242,11.834,yes,,yes,,,,yes,,GOVT GIRLS COLLEGE,government,,,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,spontaneous,transitional centre,,12-Jan-14,unknown,21-Apr-15,yes,710,public,government building,,north_east,borno,bama,BAMA,north_east,borno,bama,BAMA,flood,,613,by_gender_and_age_group,,,,,,,,,,,573,1292,1519,1948,800,2311,3821,6132,89,162,8,2,26,110,8,210,21,11,211,0,10-Jan-14,15-Jul-14,no,,no answer,,lack of safety,,north_east,borno,dikwa,DIKWA,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,1__none,2__less_than_25_percent,2__blankets,3__mosquito_nets,1__plastic_sheeting,,yes,,2__onsite_more_than_20,,yes,,1__operational_50_more,,2__handpumps,,3__piped_water_supply,,3__less_than_15_liters,,yes,,5__none,,no,,1__good,,5,yes,,yes,,yes,,2__garbage_pit,,8,no,,none,,no,,yes,,yes,,yes,2__yes_offsite,,no,,6__irregular,,2__distribution,,no,,no,,no,,2__diarrhea,3__malaria,6__fever,,yes,,yes,,1__on-site_less_than_3_km,,government,,yes,,unknown,,2__less_than_2_km,,2__less_than_25_percent,4__fishing,,no,,,no,,no,,yes,,yes,,3__military,,9__unknown,,,,5__other_forms_of_exploitation,,1__child_physical_abuse,,9__interference_in_distribution_,,3,2,yes,,yes,,no,no,no,2__good,,2__good,,not_adequate,,6__mobile_phone,,9__situation_in_areas_of_origin,,no,,,no,yes,,613
Nigeria,4/22/15 17:57,4/21/15 14:24,4/22/15 17:46,21-Apr-15,351612060615355,621300088125550,351612060615355,18-Mar-15,3,male,BO_S008,Govt College Camp,north_east,borno,Maiduguri,MAISANDARI,,,,,13.12793,11.835,yes,,yes,,,,no,,,,,,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,planned,collective settlement,,13-Oct-14,unknown,21-Apr-15,yes,691,public,government building,,north_east,borno,gwoza,Hussari Gadan Mayo,north_east,borno,gwoza,Hussari Gudunmayo,storm,N/A,640,by_gender_and_age_group,,,,,,,,,,,598,1347,1584,2031,835,2161,4234,6395,61,103,12,16,340,23,21,1109,14,2,11,5,10-Dec-14,30-Dec-14,no,,none stay here,,lack of safety,,north_east,borno,jere,Maisandari,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,3__less_than_50_percent,2__less_than_25_percent,2__less_than_25_percent,2__blankets,5__kitchen_sets,10__soap,,yes,,2__onsite_more_than_20,,unknown,,2__operational_50_less,,3__piped_water_supply,,3__piped_water_supply,,3__less_than_15_liters,,unknown,,5__none,,no,,unknown,,0,yes,,yes,,yes,,5__unknown,,0,unknown,,unknown,,no,,no,,unknown,,no,yes_onsite,,yes,,6__irregular,,2__distribution,,no,,yes,,no,,2__diarrhea,3__malaria,other,,yes,,yes,,1__on-site_less_than_3_km,,government,,yes,,1__onsite,,2__less_than_2_km,,2__less_than_25_percent,10__unknown,,yes,,12,no,,no,,yes,,yes,,3__military,,2__friction_with_host_community,,,,3__forced_family_separations,,1__child_physical_abuse,,6__assistance_was_physically_ina,,3,5,yes,,yes,,no,no,no,2__good,,3__poor,,not_adequate,,6__mobile_phone,,9__situation_in_areas_of_origin,,yes,,,no,yes,,640
Nigeria,4/22/15 18:01,4/21/15 15:32,4/21/15 17:38,21-Apr-15,351612060609275,621300277460794,351612060609275,22-Mar-15,3,male,BO_S009,Nysc Camp,north_east,borno,Maiduguri,MAISANDARI,,,,,13.11942,11.826,yes,,yes,,,,yes,,NEMA,government,,,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,planned,collective settlement,,12-Mar-15,unknown,21-Apr-15,yes,0,public,government building,,north_east,borno,bama,Shehuri,north_east,borno,damboa,Damboa Central,flood,,954,by_gender_and_age_group,,,,,,,,,,,1104,2988,2347,1763,1339,3672,5869,9541,52,93,8,4,61,69,12,181,62,71,6,0,26-Sep-14,17-Feb-14,no,,place of origin,,no answer,,north_east,borno,bama,Shehuri,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,3__less_than_50_percent,2__less_than_25_percent,3__less_than_50_percent,2__less_than_25_percent,2__less_than_25_percent,1__plastic_sheeting,2__blankets,3__mosquito_nets,,yes,,1__onsite_less_than_20,,no answer,,1__operational_50_more,,2__handpumps,,3__piped_water_supply,,2__less_than_10_liters,,no answer,,5__none,,no,,not_so_good,,7,yes,,yes,,yes,,2__garbage_pit,,3,no,,none,,no,,no,,yes,,yes,yes_onsite,,no answer,,6__irregular,,2__distribution,,no,,yes,,no,,3__malaria,6__fever,4__malnutrition,,no,,yes,,1__on-site_less_than_3_km,,government,,yes,,no answer,,2__less_than_2_km,,2__less_than_25_percent,5__petty_trade,,yes,,8,no,,no,,yes,,yes,,3__military,,3__friction_among_site_residents,,,,3__forced_family_separations,,2__child_emotional_abuse,,6__assistance_was_physically_ina,,3,2,yes,,yes,,no,no,no,2__good,,2__good,,not_adequate,,6__mobile_phone,,9__situation_in_areas_of_origin,,no,,,yes,yes,,954
Nigeria,4/22/15 17:56,4/21/15 14:13,4/22/15 17:40,21-Apr-15,359535057820435,,359535057820435,16-Mar-15,3,male,BO_S010,BAKASI CAMP,north_east,borno,Maiduguri,MAISANDARI,,,,,13.12085,11.79048,yes,,yes,,,,yes,,NA,government,,,,yes,,yes,,no,,yes,,yes,,yes,,no,,yes,,no,,planned,camp,,4-Mar-15,unknown,21-Apr-15,yes,0,unknown,government building,,north_east,borno,monguno,MONGONO,north_east,borno,monguno,MONGONO,none,,4446,by_gender_and_age_group,,,,,,,,,,,1089,4180,9203,6690,309,8530,12941,21471,148,272,89,51,341,180,72,320,51,82,61,20,1-Jan-14,3-Aug-14,no,,no answer,,lack of safety,,north_east,borno,monguno,MONGONO,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,3__less_than_50_percent,6__unknown,2__less_than_25_percent,1__none,1__plastic_sheeting,2__blankets,3__mosquito_nets,,yes,,1__onsite_less_than_20,,no answer,,1__operational_50_more,,2__handpumps,,3__piped_water_supply,,2__less_than_10_liters,,no answer,,5__none,,no,,not_so_good,,14,yes,,yes,,yes,,3__burning,,0,no,,none,,yes,,yes,,yes,,yes,yes_onsite,,no answer,,6__irregular,,2__distribution,,no,,yes,,no,,2__diarrhea,6__fever,4__malnutrition,,yes,,yes,,1__on-site_less_than_3_km,,government,,yes,,1__onsite,,1__less_than_1_km,,6__unknown,5__petty_trade,,yes,,12,no,,no,,yes,,no answer,,3__military,,10__no_answer,,,,5__other_forms_of_exploitation,,1__child_physical_abuse,,6__assistance_was_physically_ina,,4,5,yes,,yes,,no,no,no,2__good,,2__good,,not_adequate,,6__mobile_phone,,5__access_to_services,,no,,,yes,yes,,4446
