site_id,site_name,,round,survey_template,site_latitude,site_longitude,site_region,site_province,site_district,country,survey_date,site_access,site_area,regist_activity,site_cmc,sma_exist,sma_type,sma_name,support_list,site_class,site_type,site_shelter,site_owner,site_date_open,site_date_close_exp,site_date_close,origin_region,origin_province,origin_district,site_hazard,n_family,n_total ,n_infants_male,n_child_male,n_youth_male,n_adult_male,n_elder_male,n_infants_female,n_child_female,n_youth_female,n_adult_female,n_elder_female,n_pregnant,n_lactating,per_hh_outside,per_hh_tentsmakeshift,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safecook,per_hh_private,latrine_light,site_debris,site_repair,water_location,water_source_np,water_source_p,water_potable,water_avg,water_complaint,water_remark,n_latrine,latrine_gender,latrine_condition,bathing_gender,hyg_waste,n_garbage,garbage_problem,hyg_drainage,food_access,food_freq,food_sup_lac,food_sup_child,health_screen,health_issue,health_issue_b,health_issue_c,health_medicine,health_location,health_provider,health_referral,edu_access,edu_distance,per_sch,n_hh_income,job_cattle_site,sec_provided,security_provider,health_psych,n_space_child,n_space_female,info_src
AD_S011,Girei 2 Primary School,NULL,2,Full Survey,9.3680833,12.549033,Adamawa,Gireri ,Gireri 2,Nigeria,2/15/2015,Yes,513,Yes,Yes,Yes,Government,NEMA,Yes,Planned,Collective Centre,School,Public/Government,12/18/2014,NULL,,Adamawa,Mubi South and North,Whole Community,None,253,1682,52,138,142,438,11,68,156,171,504,2,14,80,None,<25%,None,<75%,<50%,<25%,None,Yes,No,No,On-site (<20 minutes),Other,Other,Yes,10-15 liters,No,,18,Yes,Good,Yes,Burning,,No,No,Yes,Everyday,No,No,No,Colds,Malaria,Fever,Yes,On-site (< 3 km),Government,Yes,Yes,<1Km,<25%,,No,Yes,Military,NULL,2,,Families & friends
AD_S012,Government Lodge,NULL,2,Full Survey,8.438836,12.051543,Adamawa,Ganaye,Ganaye 2,Nigeria,1/29/2015,Yes,,Yes,No,No,None,,Yes,Spontaneous,Collective Centre,Government building,Public/Government,,Unknown,,Adamawa ,Michika,,None,58,350,0,39,42,67,2,10,23,52,115,0,7,13,None,None,None,<75%,<25%,<50%,<50%,No,No,No,On-site (>20 minutes),Hand pumps,Hand pumps,Yes,>15 liters,No,,3,No,Not so good,No,None,,Yes,No,No,Irregular,No,No,No,Fever,Malaria,Diarrhea,No,Off-site (< 3 km),Self-organized,No,No,<1Km,<25%,,No,No,None,NULL,,,Families & friends
AD_S013,Fed Policy Mini Campus,NULL,2,Full Survey,9.2997176,12.474383,Adamawa,Gireri ,Vinikilang,Nigeria,2/15/2015,Yes,438,Yes,Yes,No,None,,Yes,Spontaneous,Collective Centre,School,Public/Government,11/1/2014,Unknown,,Adamawa,Mubi,Whole Community,None,47,326,36,57,30,65,0,40,22,34,42,0,12,36,None,None,None,>75%,<75%,<75%,<75%,No,No,No,On-site (>20 minutes),Hand pumps,Hand pumps,Yes,>15 liters,No,,6,Yes,Not so good,Yes,Garbage pit,1,No,Yes,No,Irregular,No,No,No,Colds,Fever,Malaria,No,Off-site (> 3 km),None,No,Yes,<1Km,<75%,22,No,Yes,Military,NULL,2,,Families & friends
AD_S014,GSS Lamurde,NULL,2,Full Survey,10.248167,13.256667,Adamawa,Mubi South,Lamurde,Nigeria,1/28/2015,Yes,,No,No,No,Individual/Private,,No,Spontaneous,Collective Centre,School,Public/Government,1/2/2015,Unknown,,Borno,Gwaza,Gwaza town,None,42,357,13,13,54,80,0,27,22,54,94,0,27,54,None,None,None,>75%,None,<25%,<75%,No,No,No,Off-site (<20 minutes),Hand pumps,Hand pumps,Yes,10-15 liters,No,,4,Yes,Not so good,Yes,Garbage pit,1,NULL,No,Yes,Never,No,No,No,Diarrhea,Malaria,Fever,No,Off-site (< 3 km),None,No,No,<1Km,<25%,,No,No,None,NULL,1,,Radio / News
AD_S015,Kombor,NULL,2,Full Survey,8.112394,12.040812,Adamawa,Toungo,Toungo 1,Nigeria,1/26/2014,Yes,,No,Yes,No,None,,No,Spontaneous,Camp,Bunk houses,Private,7/5/2014,Unknown,,Taraba,Bali,Bali,None,68,887,15,106,131,135,13,28,103,152,198,6,15,78,None,>75%,None,<25%,None,<50%,>75%,Yes,No,No,Off-site (<20 minutes),Unprotected Well,Unprotected Well,Yes,10-15 liters,No,,6,No,Not so good,No,None,,No,Yes,No,Never,No,No,No,Diarrhea,Malaria,Fever,No,Off-site (< 3 km),None,No,No,<1Km,<25%,,Yes,No,None,NULL,,,Families & friends
AD_S016,GSS Numan,NULL,2,Full Survey,9.4764833,12.61535,Adamawa,Numan,Numan 1,Nigeria,1/28/2015,Yes,,Yes,No,No,NGO,RC,Yes,Spontaneous,Collective Centre,School,Public/Government,10/28/2014,Unknown,,Adamawa,Michika,Whole Community,None,65,418,15,20,72,82,2,17,23,94,93,0,9,32,<25%,None,None,>75%,None,<50%,<25%,No,No,No,On-site (>20 minutes),Hand pumps,Hand pumps,Yes,10-15 liters,No,,6,Yes,Not so good,Yes,Burning,,No,No,No,Irregular,No,No,No,Malaria,Colds,Fever,No,Off-site (< 3 km),None,No,No,<1Km,<25%,,No,No,None,NULL,2,,Families & friends
AD_S017,Yola Central Mosque,NULL,2,Full Survey,9.208167,12.476667,Adamawa,Yola South,Makama B,Nigeria,2/15/2015,Yes,,Yes,No,No,Individual/Private,,Yes,Spontaneous,Collective Centre,Other,Private,11/23/2014,NULL,,Adamawa ,Michika,,None,798,4525,102,96,252,1544,38,155,127,652,1530,29,53,343,<25%,None,None,<50%,<25%,<50%,<75%,No,No,No,Off-site (<20 minutes),River,River,Yes,10-15 liters,No,,2,Yes,Not so good,Yes,Burning,,Yes,No,Yes,Irregular,No,No,No,Malaria,Diarrhea,Fever,No,Off-site (< 3 km),Self-organized,No,No,<1Km,<25%,,No,No,Police,NULL,,,Families & friends
AD_S018,Local Govt Estate,NULL,2,Full Survey,9.79,12.61667,Adamawa,Song,Song Gari,Nigeria,2/8/2015,Yes,,Yes,No,No,Individual/Private,,Yes,Spontaneous,Collective Centre,Government building,Public/Government,11/20/2015,Unknown,,Adamawa,Michika,,None,48,381,38,43,21,57,3,43,52,38,86,0,6,82,None,None,None,>75%,None,<50%,None,No,No,No,Off-site (>20 minutes),Hand pumps,Hand pumps,Yes,<10 liters,No,,,No,Non usable,No,Burning,,Yes,No,No,Never,No,No,No,Malaria,Diarrhea,Fever,No,Off-site (> 3 km),None,No,No,<2Km,Unknown,,No,No,None,NULL,,,Families & friends
BO_S001,Fori Primary School Camp,NULL,2,Full Survey,11.79945,13.017683,Borno,Jere,Bale Galtimari,Nigeria,2/5/2015,Yes,400,No,No,No,Individual/Private,,No,Spontaneous,Collective Centre,School,Public/Government,7/6/1905,Unknown,,Borno,Bama,Kaligamari,None,33,256,9,36,20,33,11,13,41,19,49,25,4,9,None,None,None,>75%,None,None,None,No,No,No,Off-site (<20 minutes),Lake/dam,Lake/dam,Yes,10-15 liters,No,,2,Yes,Not so good,Yes,Burning,,No,No,No,Irregular,No,No,No,Malaria,Diarrhea,Fever,No,Off-site (> 3 km),Government,No,Yes,<1Km,<25%,,No,No,Self organized,NULL,,,Families & friends
BO_S002,Shehu Sandakyari 2 Camp,NULL,2,Full Survey,11.85063,13.18255,Borno,Jere,Mashamari,Nigeria,1/4/2015,Yes,300-350,Yes,Yes,Yes,Government,NEMA,Yes,Planned,Collective Centre,School,Public/Government,,NULL,,Borno,Dikwa,,Flood,373,8890,12,61,292,2831,44,2,103,1928,3604,13,234,391,<25%,None,None,>75%,None,<25%,None,No,Yes,Yes,On-site (<20 minutes),Piped water supply,Piped water supply,Yes,>15 liters,NULL,,33,Yes,NULL,Yes,Burning,1,No,No,Yes,Once a week,No,No,No,Malaria,Cough,Fever,Yes,On-site (< 3 km),Government,Yes,Yes,<1Km,<50%,70,Yes,Yes,Self organized,NULL,none,none,Local leader
BO_S003,Madinatu Camp,NULL,2,Full Survey,11.87552,13.17978,Borno,Jere,Old Maiduguri,Nigeria,2/4/2015,Yes,300,Yes,Yes,Yes,Government,"Red Cross, NEMA",Yes,Planned,Camp,Other,Public/Government,1/5/2015,Unknown,na,Borno,Kukawa,,Storm,821,3642,230,879,563,801,115,301,310,91,300,52,42,65,<50%,None,None,<75%,None,None,None,No,Yes,Yes,Off-site (>20 minutes),Protected Well,Protected Well,No,<10 liters,Yes,,3,No,Non usable,No,None,na,Yes,No,No,Irregular,No,No,Yes,Malaria,Cough,Fever,No,Off-site (> 3 km),NGOs,No,No,>10Km,Unknown,na,No,No,None,NULL,na,na,Radio / News
BO_S004,Bele Galtimari Primary School Camp,NULL,2,Full Survey,11.80523,13.17292,Borno,Jere,Bale Galtimari,Nigeria,2/4/2015,Yes,500,Yes,Yes,Yes,Individual/Private,not registered,No,Spontaneous,Collective Centre,School,Public/Government,7/6/1905,Unknown,na,Borno,Bama,Gadangari,None,43,244,14,48,33,22,7,8,52,24,28,8,12,0,>75%,None,None,>75%,None,None,None,No,No,No,On-site (<20 minutes),Lake/dam,Piped water supply,Yes,10-15 liters,No,,5,Yes,Not so good,No,Burning,0,No,No,NULL,Irregular,No,No,Yes,Malaria,Diarrhea,Colds,No,Off-site (> 3 km),None,No,Yes,<1Km,<50%,na,No,No,Self organized,NULL,none,none,Mobile Phone
BO_S005,A. T. C Camp ,NULL,2,Full Survey,11.82648,13.12417,Borno,Maiduguri,Maisandari,Nigeria,1/3/2015,Yes,350,Yes,Yes,Yes,Government,,Yes,Spontaneous,Collective Centre,Government building,Public/Government,10/2/2014,Unknown,,Borno,Gwoza,,None,828,14909,421,820,2221,2970,68,520,1859,2540,3418,72,182,670,None,None,None,>75%,None,None,None,No,Yes,No,On-site (<20 minutes),Piped water supply,Piped water supply,Yes,>15 liters,No,,69,Yes,Not so good,Yes,Garbage pit,2,Yes,No,Yes,Everyday,No,No,No,Malaria,Skin disease,Eye infection,Yes,On-site (< 3 km),Government,Yes,Yes,<1Km,>75%,200,No,Yes,Police,NULL,,,Families & friends
BO_S006,W. T. C Camp,NULL,2,Full Survey,11.83355,13.137867,Borno,Maiduguri,Maisandari,Nigeria,2/4/2015,Yes,600,Yes,Yes,Yes,Government,"NEMA, SEMA",Yes,Planned,Collective Centre,School,Public/Government,,NULL,,Borno,Bama,Bama Center,Fire,260,4501,0,0,0,0,0,45,696,1481,2212,67,201,198,<25%,<25%,<25%,>75%,None,<25%,None,No,Yes,Yes,On-site (<20 minutes),Lake/dam,Other,Yes,>15 liters,No,,,Yes,Not so good,Yes,Garbage pit,12,No,Yes,Yes,Everyday,Yes,Yes,No,Fever,Malaria,Skin disease,Yes,On-site (< 3 km),Government,Yes,Yes,<1Km,<25%,0,No,Yes,Police,NULL,0,0,Families & friends
BO_S007,Government Girls College Camp,NULL,2,Full Survey,11.8337,13.14242,Borno,Maiduguri,Maisandari,Nigeria,2/4/2015,Yes,,Yes,Yes,Yes,Government,,NULL,Spontaneous,Transitional Centre,School,Public/Government,,NULL,,Bormo,Bama,Bama,NULL,512,4611,380,620,208,0,0,430,1770,850,280,73,74,53,None,None,None,>75%,None,None,None,No,Yes,Yes,On-site (<20 minutes),Tankers,Piped water supply,Yes,<10 liters,No,,5,Yes,Not so good,Yes,Garbage pit,,No,Yes,Yes,Everyday,No,No,Yes,Malaria,Skin disease,Fever,Yes,On-site (< 3 km),Government,NULL,Yes,<1Km,<50%,,Yes,Yes,Military,NULL,,,Families & friends
BO_S008,Government College Camp,NULL,2,Full Survey,11.83475,13.12793,Borno,Maiduguri,Maisandari,Nigeria,2/3/2015,Yes,,Yes,Yes,NULL,Government,"NEMA, SEMA, Red cross",Yes,Planned,Collective Centre,School,Public/Government,10/13/2014,Unknown,,Borno,Gwoza,,None,250,3999,50,510,147,1500,90,40,70,100,1412,80,30,50,<50%,>75%,>75%,>75%,None,None,>75%,Yes,Yes,Yes,On-site (<20 minutes),Tankers,Piped water supply,No,<10 liters,Yes,,20,Yes,Not so good,Yes,Burning,3,No,No,Yes,Every 2 weeks,No,No,No,Malaria,Fever,Skin disease,No,On-site (< 3 km),NGOs,Yes,Yes,<1Km,>75%,,No,Yes,Police,NULL,,,Mobile Phone
BO_S009,NYSC Camp,NULL,2,Full Survey,11.8257,13.11942,Borno,Maiduguri,Maisandari,Nigeria,2/3/2015,Yes,,Yes,Yes,Yes,Government,"NEMA,SEMA",Yes,Planned,Collective Centre,Tent,Public/Government,10/13/2014,Unknown,,Borno,Gwoza,Hussari Audamayo,None,803,8833,24,102,1402,1900,55,30,1067,1409,2400,444,31,59,<50%,>75%,>75%,>75%,None,None,None,Yes,Yes,Yes,On-site (<20 minutes),Tankers,Piped water supply,Yes,10-15 liters,Yes,,20,Yes,Not so good,Yes,Burning,5,Yes,No,Yes,Everyday,No,No,No,Malaria,Fever,Skin disease,No,On-site (< 3 km),NGOs,Yes,Yes,<1Km,>75%,,No,Yes,Police,NULL,1228,1300,Families & friends
BO_S010,Bakasi Camp,NULL,2,Full Survey,11.79048,13.12085,Borno,Maiduguri,Maisandari,Nigeria,3/4/2014,Yes,,No,Yes,Yes,Individual/Private,,Yes,Spontaneous,Collective Centre,Government building,Public/Government,,NULL,,Borno,,,None,937,7500,0,200,1950,350,0,0,650,1850,2500,0,5,20,None,<25%,None,Unknown,None,<75%,>75%,No,Yes,No,On-site (>20 minutes),Tankers,Water truck,Yes,<10 liters,No,,,No,Not so good,No,None,,No,No,Yes,Irregular,No,No,No,Malaria,Colds,Fever,No,Off-site (< 3 km),Self-organized,No,No,>10Km,<25%,,No,Yes,Self organized,NULL,,,Families & friends
BO_S011,Government Girls Secondary School Yerwa Camp,NULL,2,Full Survey,11.8344,13.11887,Borno,Maiduguri,Maisandari,Nigeria,2/3/2015,Yes,400,Yes,Yes,Yes,Government,"NEMA, SEMA",Yes,Planned,Collective Centre,School,Public/Government,9/19/2014,Unknown,,Borno,Bama Liga,Bama Central,None,712,5693,138,285,327,3042,53,20,61,509,1204,54,7,12,<50%,>75%,>75%,>75%,None,None,None,Yes,Yes,Yes,On-site (>20 minutes),Tankers,Lake/dam,No,10-15 liters,Yes,,17,Yes,Not so good,Yes,Burning,2,No,No,Yes,Everyday,No,No,No,Malaria,Fever,Skin disease,No,On-site (< 3 km),Government,Yes,Yes,<5Km,>75%,,No,Yes,Police,NULL,150,35,Families & friends
BO_S012,EYN Camp,NULL,2,Full Survey,11.83412,13.13577,Borno,Maiduguri,Bolori 1,Nigeria,2/3/2015,Yes,650,Yes,Yes,Yes,Government,,NULL,Spontaneous,Camp,Tent,Public/Government,6/23/2014,Unknown,,Borno,Gwoza,Gwoza,None,6551,45858,0,6099,5500,1229,0,0,6869,4792,21369,0,0,5,<50%,<50%,<25%,<25%,<25%,None,None,No,No,Yes,On-site (<20 minutes),Piped water supply,Piped water supply,Yes,<10 liters,No,,6,No,Not so good,No,Garbage pit,,No,No,Yes,Everyday,No,No,No,Malaria,Skin disease,Fever,Yes,On-site (< 3 km),Government,Yes,Yes,<1Km,<50%,3,No,No,Self organized,NULL,350,,Families & friends
BO_S013,Bocolis Camp,NULL,2,Full Survey,11.84545,13.14872,Borno,Maiduguri,Mafoni,Nigeria,2/4/2015,Yes,500,No,Yes,No,Government,"NEMA, SEMA",No,Planned,Collective Centre,School,Public/Government,1/4/2015,NULL,,Borno,Mobbar,Mobbar,Fire,80,802,43,97,53,191,19,59,117,112,103,8,45,29,<25%,None,None,>75%,None,<50%,<25%,No,No,No,On-site (<20 minutes),Piped water supply,Other,Yes,>15 liters,No,,12,Yes,Not so good,Yes,Garbage pit,4,Yes,NULL,Yes,Everyday,No,No,No,Malaria,Skin disease,Injury,Yes,On-site (< 3 km),Government,Yes,No,<1Km,<25%,5,No,Yes,Self organized,NULL,,,Families & friends
BO_S014,Teachers Village Camp,NULL,2,Full Survey,11.83448,13.118767,Borno,Maiduguri,Bolori 1,Nigeria,2/4/2015,Yes,350,Yes,Yes,Yes,Government,,Yes,Spontaneous,Collective Centre,Government building,Public/Government,10/22/2014,Unknown,,Borno,,Gamboro,Storm,1468,10275,12,1194,1701,2111,11,7,1176,1732,2327,4,132,63,None,None,None,>75%,None,<25%,None,No,Yes,Yes,On-site (<20 minutes),Hand pumps,Hand pumps,Yes,10-15 liters,Yes,,50,Yes,Not so good,Yes,Burning,30,Yes,No,Yes,Everyday,No,No,Yes,Malaria,Colds,Diarrhea,Yes,On-site (< 3 km),Government,Yes,Yes,<1Km,<75%,179,No,Yes,Police,NULL,3,4,Mobile Phone
BO_S015,Government Girls School Biu,NULL,2,Full Survey,10.407,12.123667,Borno,Biu,Kenken,Nigeria,2/10/2015,Yes,250,No,Yes,No,Armed Forces,,Yes,Spontaneous,Collective Centre,Government building,Public/Government,7/17/2014,Unknown,,Borno,Damboa,Nzuba,None,171,859,11,72,133,119,49,23,42,190,208,12,89,167,None,None,None,>75%,<75%,<25%,<25%,Yes,No,No,NULL,Hand pumps,Hand pumps,No,10-15 liters,No,,17,Yes,Not so good,Yes,Burning,,Yes,No,Yes,Everyday,No,No,Yes,Cough,Malaria,Diarrhea,Yes,On-site (< 3 km),Government,Yes,Yes,<1Km,<25%,,No,Yes,Police,NULL,,,Mobile Phone
