country,round,site_id,site_name,site_region,site_province,site_district,,site_longitude,site_latitude,sma_exist,sma_type,regist_activity,support_wash,support_health,support_shelter,support_food,support_protect,support_edu,support_live,site_class,site_type,site_owner,site_shelter,n_family,n_infants_male,n_infants_female,n_child_male,n_child_female,n_youth_male,n_youth_female,n_adult_male,n_adult_female,n_elder_male,n_elder_female,n_total,n_pregnant,n_lactating,n_pwd,,n_elder,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,,,,,,,,,pre_displaced,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,water_location,water_operational,,water_source_np,water_source_p,water_avg,water_potable,water_remark,water_complaint,latrine_cond,n_latrine,latrine_gender,bathing_gender,latrine_lock,hyg_waste,n_garbage,garbage_problem,hyg_station,hyg_evidence,hyg_promotion,hyg_open_def,hyg_drainage,food_access,food_market,food_freq,food_source,health_screen,food_sup_lac,food_sup_child,,,,health_medicine,health_center,health_location,health_provider,edu_access,edu_location,edu_distance,per_sch,,n_hh_income,job_access,,,sec_provided,,sec_provider,sec_issue,sec_gbv,sec_phys_violence,sec_child_issue,,n_space_child,n_space_female,,,unsafe_female,unsafe_male,unsafe_child,,,site_lighting,job_abr,job_abr_in,job_abr_prom,,,,
Nigeria,7,BA_S001,GJSS BOTO ,BAUCHI,TAFAWA BALEWA,"KARDAM ""B""",INFORMAL,9.72168,9.2301,SEMA,Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,School,297,11,21,127,171,215,231,229,452,11,17,1485,10,80,6,2,28,0,0,15,21,0,0,PLATEAU,MANGU,LANGAI,,,,9/15/2015,,No,PLATEAU,MANGU,LANGAI,Place of origin,Lack of safety,None,None,None,>75%,None,<50%,None,<50%,Kitchen sets,Soap,Bucket/Jerry Can,On-site (<10 mn),>50 %,Yes,Unprotected well,Piped water supply,5 - 10 ltr,Yes,None,No,Good (Hygienic),6,Yes,Yes,Yes,Garbage pit,0,No,Yes but no soap/water inside,No,Yes,No,No,"Yes, on site",Yes,Twice a week,Distribution,Unknown,No,No,Malaria,Cough,Fever,Yes,Yes,On-site (<3 km),NGO,No,Unknown,<1 km,None,Farming,0,No,No,Yes,Yes,No,Community Leaders,None,None,None,None,None,0,0,No,Yes,No,No,No,Good,Good,No lighting,No,N/A,,Mobile phone,Situation in areas of origin,No,1442
Nigeria,7,BN_S001,TOLL GATE,BENUE,MAKURDI,AGAN,INFORMAL,7.81014,8.56962,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Spontaneous,Collective Settlement/Centre,Public/Government,Government building,40,6,2,26,32,112,98,98,58,4,3,439,3,8,2,0,7,0,0,0,3,8,0,BENUE,GUMA,MBABAI,NASARAWA,KEANA,,2/9/2015,7/9/2015,No,BENUE,GUMA,MBADWEM,Place of origin,Lack of safety,None,None,None,>75%,None,None,None,None,Blankets/Mats,Kitchen sets,Soap,Off-site (<10 mn),<50 %,No,Protected well,Protected well,>15 ltr,No,Suspended solids,Yes,Non usable,0,Yes,No,No,No waste disposal system,0,Yes,Yes but no soap/water inside,No,No,Yes,Yes,"Yes, off site",Yes,Irregular,Cash,No,No,No,Malaria,Fever,Cough,No,Yes,Off-site (<3 km),Government,No,Unknown,Unknown,<25%,Farming,0,Yes,No,No,No,No,None,None,None,None,None,None,0,0,No,No,No,No,No,Good,Good,No lighting,Unknown,N/A,,Authorities,Safety and Security,No,1446
Nigeria,7,BO_S001,FORI PRIMARY SCHOOL,BORNO,JERE,BALE GALTIMARI,INFORMAL,11.79954,13.17691,,,No,No,Yes,No,No,Yes,Yes,No,Spontaneous,Collective Settlement/Centre,Public/Government,School,19,2,5,20,30,11,21,17,20,1,0,127,4,8,0,0,1,0,0,19,2,0,7,BORNO,BAMA,,,,,10/19/2014,6/28/2015,Yes,BORNO,BAMA,,Place of origin,Lack of safety,None,None,None,>75%,None,<50%,<75%,<25%,Blankets/Mats,Kitchen sets,Mosquito nets,Off-site (>10 mn),Not operational,No,Spring,Spring,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),8,Yes,No,Yes,Burning,0,No,Yes but no soap/water inside,No,No,No,No,"Yes, off site",No,Irregular,Host community donation,No,No,No,Malaria,Fever,Cough,No,Yes,On-site (<3 km),Government,No,On-site,<1 km,None,Collecting firewood,17,Yes,No,No,Yes,No,Military,None,None,None,None,None,0,0,No,No,No,No,No,Good,Good,No lighting,No,N/A,,Radio/news,Situation in areas of origin,No,1472
Nigeria,7,BO_S002,SHEHU SANDA KYARIMI PRIMARY SCHOOL,BORNO,JERE,MASHAMARI,FORMAL,11.85063,13.18255,SEMA,Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,School,758,167,203,342,420,720,814,614,1070,563,773,5686,30,390,34,7,1336,20,27,8,200,150,15,BORNO,DIKWA,DIKWA,BORNO,DIKWA,GAJIBO,8/13/2014,9/12/2015,No,BORNO,DIKWA,DIKWA,Place of origin,Lack of safety,<25%,<50%,<25%,<50%,<50%,<25%,<25%,<75%,Blankets/Mats,Soap,Bucket/Jerry Can,On-site (<10 mn),>50 %,Yes,Hand pumps,Hand pumps,<5 ltr,Yes,None,No,Good (Hygienic),28,Yes,Yes,Yes,Garbage pit,1,No,Yes,Yes,Yes,No,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,No,No,Malaria,Fever,Skin disease,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,>75%,Petty trade,150,No,No,Yes,Yes,Yes,Military,Theft,None,None,None,Fighting between recipients at distribution points,3,1,Yes,Yes,No,No,No,Good,Good,No lighting,No,N/A,,Radio/news,Safety and Security,No,1483
Nigeria,7,BO_S004,BELE GALTIMARI PRIMARY SCHOOL,BORNO,JERE,BALE GALTIMARI,INFORMAL,11.80523,13.17292,,,No,No,No,No,No,No,No,No,Spontaneous,Collective Settlement/Centre,Public/Government,School,70,9,5,78,95,38,59,64,80,20,12,460,10,30,3,1,32,0,0,18,18,6,7,BORNO,BAMA,BUDUWA / BULA CHIRABE,BORNO,KONDUGA,,1/9/2014,4/8/2015,No,BORNO,BAMA,BUDUWA / BULA CHIRABE,Place of origin,Lack of safety,None,None,None,>75%,<50%,>75%,<25%,<50%,Blankets/Mats,Kitchen sets,Mosquito nets,On-site (<10 mn),>50 %,No,Piped water supply,Piped water supply,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),0,No,No,No,No waste disposal system,0,No,Yes but no soap/water inside,No,No,No,No,"Yes, on site",No,Irregular,Distribution,No,No,No,Cough,Malaria,Fever,Yes,Yes,Off-site (<3 km),NGO,No,Off-site,<2 km,None,Farming,321,No,No,Yes,Yes,No,Military,Friction anmong site residents,None,None,None,Not enough assistance for all entitled,0,0,Yes,Yes,No,No,No,Good,Good,No lighting,No,N/A,,Mobile phone,Safety and Security,No,1478
Nigeria,7,BO_S005,ARABIC TEACHERS COLLEGE,BORNO,MAIDUGURI M. C.,MAISANDARI,FORMAL,11.82648,13.12417,SEMA/NEMA,Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,School,1730,313,328,398,393,570,715,1471,3414,95,155,7852,184,664,7,3,250,66,88,545,120,49,58,BORNO,GWOZA,NGOSHE,BORNO,GWOZA,GWOZA TOWN GADAMAYO,8/11/2014,11/14/2015,Yes,BORNO,MARTE,MUSUNE,Place of origin,House damaged/destroyed,None,<25%,None,>75%,<50%,None,<25%,<75%,Blankets/Mats,Mosquito nets,Soap,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Good (Hygienic),50,Yes,Yes,Yes,No waste disposal system,0,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",No,Everyday,Distribution,Yes,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,Petty trade,1000,Yes,No,No,Yes,Yes,Military,Friction anmong site residents,Domestic violence,Unknown,None,Not enough assistance for all entitled,0,0,Yes,Yes,No,No,No,Good,Good,No lighting,No,N/A,,Families/Friends,Safety and Security,No,1475
Nigeria,7,BO_S006,WTC CAMP,BORNO,MAIDUGURI M. C.,MAISANDARI,FORMAL,11.83355,13.137867,SEMA,Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,School,813,43,60,626,614,905,1045,1360,1367,30,50,6100,48,149,1,14,80,29,136,64,1932,0,1,BORNO,BAMA,KASUGULA,BORNO,BAMA,SHEHURI / HAUSARI / MAIRI,09/18/2015,07/24/2015,Yes,BORNO,BAMA,KASUGULA,Place of origin,Lack of safety,None,<25%,<25%,>75%,<50%,None,<25%,<75%,Blankets/Mats,Mosquito nets,Soap,On-site (<10 mn),>50 %,Yes,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Good (Hygienic),52,Yes,Yes,Yes,No waste disposal system,0,Yes,Yes but no soap/water inside,No,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,Petty trade,40,Yes,No,No,Yes,Yes,Military,Friction anmong site residents,Unknown,Unknown,None,Not enough assistance for all entitled,1,0,Yes,Yes,No,No answer,No,Good,Good,No lighting,No,N/A,,Authorities,Situation in areas of origin,No,1486
Nigeria,7,BO_S007,GOVT GIRLS COLLEGE MAIDUGURI,BORNO,MAIDUGURI M. C.,MAISANDARI,FORMAL,11.8337,13.14242,NEMA,Government,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Spontaneous,Collective Settlement/Centre,Public/Government,School,589,69,80,167,220,0,995,0,2670,0,220,4421,150,262,12,5,100,9,21,6,69,600,50,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,BORNO,GWOZA,GWOZA TOWN GADAMAYO,9/18/2014,11/14/2015,Yes,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,Place of origin,Lack of safety,<25%,<25%,None,<75%,<50%,None,<25%,<75%,Mosquito nets,Blankets/Mats,Soap,On-site (<10 mn),<50 %,No,None,Hand pumps,5 - 10 ltr,Yes,None,No,Good (Hygienic),68,Yes,Yes,Yes,No waste disposal system,0,Yes,Yes but no soap/water inside,No,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,Petty trade,418,Yes,No,No,Yes,Yes,Military,Friction anmong site residents,Domestic violence,Unknown,None,None,3,0,Yes,Yes,No,No,No,Good,Good,No lighting,No,N/A,,Local Leader,Situation in areas of origin,No,1482
Nigeria,7,BO_S008,GOVERNMENT COLLEGE MAIDUGURI,BORNO,MAIDUGURI M. C.,MAISANDARI,FORMAL,11.83475,13.12793,SEMA,Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,School,526,101,97,187,183,261,1025,577,1421,47,53,3952,35,168,22,0,220,55,20,35,115,0,0,BORNO,BAMA,KASUGULA,BORNO,BAMA,SHEHURI / HAUSARI / MAIRI,09/23/2014,07/25/2015,Yes,BORNO,BAMA,KASUGULA,Place of origin,Lack of safety,None,<25%,None,>75%,<50%,None,<25%,<75%,Kitchen sets,Mosquito nets,Blankets/Mats,On-site (<10 mn),>50 %,Yes,Hand pumps,Hand pumps,5 - 10 ltr,Yes,None,No,Good (Hygienic),60,Yes,No,No,No waste disposal system,0,Yes,Yes but no soap/water inside,No,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,Petty trade,372,Yes,No,No,Yes,Yes,Military,Friction anmong site residents,Unknown,Unknown,Child separated from their care givers (or just child separation),Fighting between recipients at distribution points,0,0,Yes,Yes,No,No,No,Good,Good,No lighting,No,N/A,,Families/Friends,Situation in areas of origin,No,1462
Nigeria,7,BO_S009,NYSC CAMP BORNO,BORNO,MAIDUGURI M. C.,MAISANDARI,FORMAL,11.8257,13.11942,SEMA,Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,School,908,16,20,291,506,1124,1850,1213,1856,31,11,6918,176,183,8,3,42,9,87,0,85,32,11,BORNO,BAMA,SHEHURI / HAUSARI / MAIRI,BORNO,KONDUGA,KAWURI,2/5/2014,10/27/2015,Yes,BORNO,BAMA,SHEHURI / HAUSARI / MAIRI,Place of origin,Lack of safety,None,<50%,<25%,<50%,<50%,None,<25%,<75%,Blankets/Mats,Mosquito nets,Soap,On-site (<10 mn),>50 %,Yes,None,Piped water supply,10 - 15 ltr,Yes,None,No,Good (Hygienic),92,Yes,Yes,Yes,No waste disposal system,83,Yes,Yes but no soap/water inside,Yes,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,No,No,Fever,Malaria,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,Petty trade,50,Yes,Yes,No,Yes,Yes,Military,Friction anmong site residents,None,None,None,Fighting between recipients at distribution points,3,0,Yes,Yes,No,No,No,Good,Good,No lighting,No,N/A,,Families/Friends,Safety and Security,No,1488
