country,survey_date,,,round,,,,,site_id,,,,,,,,,site_latitude,site_longitude,,,site_urban,,,,,,,n_family,n_total,n_male,n_female,,n_pregnant_youth,n_pregnant_adult,n_lactating,n_pwpd_m,n_pwpd_w,n_pwmd_m,n_pwmd_w,n_chron_m,n_chron_w,n_ethnicmin_m,n_ethnicmin_w,n_elder_male,n_elder_female,n_elder_m_alone,n_elder_f_alone,n_boy_unacc,n_girl_unacc,n_boy_sep,n_girl_sep,n_orphan_b,n_orphan_g,n_single_mothers,n_single_fathers,n_hoh_boy,n_hoh_girl,,,,,,,,,,,,,,,,,,,water_source_p,,,,,,latrine_gender,,,,,,,,,,,,,,,edu_access,,,,,per_hh_income,,,,sec_provided,,,,,,,,,,,,,,,,,,,,,,,food_access,,,,,,,,,,,,,,,,,travel_info,,,,,
Ecuador,2016-05-17,,Femenino,2,Esmeraldas,MUISNE,SAN JOSE DE CHAMANGA,,ESM_023,Chamanga,,Campamento,Lote abierto,abierto,2016-04-17,,,0.2738275,-79.9513869,44.90000153,5,urban,ffaa,no,,si,,,101,399,193,206,,0,3,5,3,0,3,0,,,,,11,5,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0,si,lugar de origen,,,,carpas,no sabe,no,si,Kit de aseo,Medicinas para anemia,en el sitio menor 20 minutos,barril tanque 200L,si mas de 2L,agua embotellada,si mas de 15L,tanquero,21,21,19,si,no,no,no,no,todos los dias,no,no,Anemia,ninguno,0,no,fuera del sitio menor 3 km,24 horas,gobierno,si,menor a 1 km,menor 75%,pesca,pesca,menor 25%,si,no,no,si,si,Por el futbol y alcohol,combinado policia militares,no,,ninguno,0,0,si,si,si,si,bueno,bueno,no sabe,,"si, pero no adecuada",vivienda temporal,si,no,no,no,no,no,no,no,no,,,,,,,,,"si, todos",,autoridades,accesso asistencia,no,,,,2016-05-18T13:17:10,52
Ecuador,2016-05-18,,Masculino,2,Esmeraldas,MUISNE,MUISNE,Pueblo nuevo,ESM_024,La chanchera,La chanchera la finca de paul velez,Espontaneo,Edificio privado,abierto,2016-04-16,,,0.6402234,-79.9686748,67.69999695,8.5,rural,mies,si,,si,,,22,150,25,125,,0,1,5,1,1,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,,no,pueblo mas cercano,,,,infraestructura preexistente,si,no,si,ropa,Todas anteriores,en el sitio menor 20 minutos,barril tanque 200L,si mas de 2L,agua embotellada,si menos de 15L,tanquero,0,0,no hay letrinas,no,no,no,no,si,todos los dias,no,no,IU,diarrea,0,no,fuera del sitio menor 3 km,dia,gobierno,no,mayor a 10 km,menor 25%,jornalero,ama de casa,menor 50%,no,si,si,no,no,,comunidad auto organizada,si,Finca,reunificacion,0,0,no,no,no,no,bueno,bueno,no,,"si, adecuada",vivienda temporal bienes no alimentarios agua saneamiento higiene salud comida educacion medios de vida,si,si,si,si,si,si,si,no,no,distancia diseno seguridad,si,si,no,no,no,si,no,"si, todos",,radio noticias,seguridad,no,,,,2016-05-19T01:59:42,106
Ecuador,2016-05-18,,Masculino,2,Esmeraldas,MUISNE,SAN FRANCISCO,Muisne,ESM_025,Cabo san fransisco,Diagonal al cementerio,Albergue planificado,Lote abierto,abierto,2016-04-16,,.,0.6520441,-80.066168,25.89999962,5,rural,ninguno,si,.,si,,.,16,50,20,30,.,0,0,0,1,,,,0,3,0,0,5,3,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,si,lugar de origen,,,,techo improvisado,si,no,no,,kits herramientas,en el sitio menor 20 minutos,Tuberia,si mas de 2L,agua embotellada,si mas de 15L,pozo,0,0,no hay letrinas,no,no,no,no,no,cada dos semanas,no,no,IRA,diarrea,0,no,en el sitio menor 3 km,dia,gobierno,si,entre 5 km y 10 km,mayor 75%,pesca,,menor 25%,no,no,no,no,no,,comunidad auto organizada,no,,reunificacion,1,0,no,si,si,si,bueno,bueno,no,,"si, pero no adecuada",vivienda temporal bienes no alimentarios salud educacion,si,si,no,si,no,si,no,no,no,distancia falta iluminacion seguridad,si,no,no,si,no,si,no,"si, todos",.,lider local,como obtener informacion,no,,,,2016-05-19T00:30:30,95
Ecuador,2016-05-17,,Femenino,2,Esmeraldas,MUISNE,SAN JOSE DE CHAMANGA,Chamanga,ESM_026,Iglesia san jose,Iglesia san jose de chamanga,Campamento,Parque o plaza,abierto,2016-04-16,,.,0.267412865,-79.95471028,28.0842016,15,rural,mies,no,,si,,.,25,73,34,39,.,,,3,1,,,,1,,,,1,1,,,,,,,,,2,,,,,,,,si,lugar de origen,,,,carpas,si,no,si,kits cocina,kits cocina,fuera del sitio mayor 20 minutos,poma,si mas de 2L,agua embotellada,si mas de 15L,tanquero,1,1,73,no,no,no,no,si,todos los dias,no,no,IRA,Alergias,,si,en el sitio menor 3 km,dia,gobierno,si,entre 1 km y 2 km,mayor 75%,pesca,,menor 50%,si,si,si,si,no,,combinado policia militares,no,,identificacion de MNA,1,1,si,si,si,si,bueno,bueno,,,"si, adecuada",ninguno,no,no,no,no,no,no,no,si,no,distancia,si,no,no,no,no,no,no,ninguno,.,lider local,como obtener informacion,no,,,,2016-05-18T14:21:42,65
Ecuador,2016-05-18,,Masculino,2,Esmeraldas,MUISNE,MUISNE,,ESM_027,Palma junta,,Campamento,Escuela,abierto,2016-04-16,,,0.6456004,-79.9578226,67.5,4.5,urban,mies,si,,si,,,100,407,197,210,,0,8,5,4,4,0,1,0,0,0,0,11,12,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,si,pueblo mas cercano,,,,techo improvisado,no,si,si,kits cocina,Carpas y colchones,fuera del sitio mayor 20 minutos,barril tanque 200L,si mas de 2L,agua embotellada,si mas de 15L,tanquero,6,6,67.83333333,no,no,si,no,si,dos veces por semana,no,no,ninguno,ninguno,0,si,en el sitio menor 3 km,24 horas,gobierno,si,menor a 1 km,mayor 75%,pesca,ama de casa,menor 25%,no,no,no,si,no,,policia,no,,busqueda familias,1,0,si,si,si,si,bueno,bueno,no,,"si, adecuada",vivienda temporal bienes no alimentarios medios de vida,si,si,no,no,no,no,si,no,no,distancia,si,no,no,no,no,no,no,"si, algunos",,lider local,ninguno,no,,,,2016-05-19T00:30:03,93
Ecuador,2016-05-18,,Masculino,2,Esmeraldas,MUISNE,SAN FRANCISCO,Muisnei,ESM_029,Refugio parque central,Iglesia San Francisco,Espontaneo,Parque o plaza,abierto,2016-04-17,,,0.6538997,-80.066062,23.60000038,8,rural,ninguno,si,Techo improvisado,si,,,27,108,68,40,,0,1,3,0,2,0,0,0,1,0,0,5,3,0,0,3,0,2,0,0,0,4,8,0,0,0,0,2,0,si,lugar de origen,,,,techo improvisado,si,no,si,,Todas las anteriores,en el sitio menor 20 minutos,barril tanque 200L,si menos de 2L,agua embotellada,si menos de 15L,pozo,0,0,no hay letrinas,no,no,no,no,no,irregular,no,no,IRA,IU,0,no,en el sitio menor 3 km,dia,gobierno,si,mayor a 10 km,menor 50%,jornalero,,menor 25%,no,no,no,si,no,,policia,si,"Rio, playa, carretera",reunificacion,0,0,no sabe,si,si,si,bueno,bueno,si,2,"si, pero no adecuada",vivienda temporal bienes no alimentarios agua saneamiento higiene salud comida educacion medios de vida,si,si,si,si,si,si,si,no,no,seguridad,no,no,no,no,no,si,no,"si, todos",,radio noticias,Todo lo anterior,no,,,,2016-05-19T01:59:39,104
Ecuador,2016-05-18,,Femenino,2,Esmeraldas,MUISNE,SAN JOSE DE CHAMANGA,Chamanga,ESM_031,Colegio chamanga,Colegio chamanga,Albergue planificado,Escuela,abierto,2016-04-17,,.,0.271290105,-79.95734852,16.13430072,10,rural,mies,si,.,si,,.,23,93,49,44,,,,3,1,2,,,,,,,1,2,1,,,,,,,,3,1,,,,,,,si,lugar de origen,,,,infraestructura preexistente,si,no,si,kits cocina,kits cocina,fuera del sitio menor 20 minutos,barril tanque 200L,si mas de 2L,agua embotellada,si mas de 15L,tanquero,6,6,15.5,si,no,si,no,si,dos veces por semana,no,no,Anemia,,,si,en el sitio menor 3 km,dia,gobierno,si,menor a 1 km,mayor 75%,pesca,,menor 50%,si,no,si,si,no,,policia,no,,identificacion de MNA,1,0,no,si,si,si,bueno,bueno,si,1,"si, pero no adecuada",vivienda temporal medios de vida,si,no,no,no,no,no,si,no,no,distancia,si,no,no,no,no,no,no,ninguno,,lider local,albergues,no,,,,2016-05-18T18:29:25,69
Ecuador,2016-05-18,,Masculino,2,Esmeraldas,MUISNE,SAN FRANCISCO,,ESM_032,Urbana,Esquinero,Espontaneo,Lote abierto,abierto,2016-04-17,,.,0.65367035,-80.06639832,104,17,urban,ninguno,si,.,si,,.,24,125,30,95,,0,1,1,1,0,1,,1,0,0,0,10,30,2,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,si,lugar de origen,,,,techo improvisado,si,no,no,,Carpas y colchones,fuera del sitio mayor 20 minutos,botellon,no sabe,agua embotellada,si menos de 15L,tanquero,0,0,no hay letrinas,no,no,no,no,no,irregular,no,no,IRA,Fiebre dolor de cabesa,0,si,en el sitio menor 3 km,dia,gobierno,no,entre 1 km y 2 km,menor 25%,agricultura,,menor 25%,no,no,si,no,no,,policia,no,,ninguno,0,0,no,si,si,si,bueno,bueno,no,,"si, pero no adecuada",vivienda temporal salud educacion,si,no,no,si,no,si,no,no,no,seguridad,no,no,no,no,no,si,no,"si, algunos",.,radio noticias,seguridad,no,,,,2016-05-19T00:23:56,80
Ecuador,2016-05-18,,Masculino,2,Esmeraldas,MUISNE,SAN GREGORIO,Pueblo Nuevo,ESM_033,Walker Vera,Walker Vera,Albergue planificado,Lote abierto,abierto,2016-04-16,,,0.6283621,-80.0057324,17.70000076,4.5,rural,ninguno,si,,si,,,23,71,35,36,,1,2,0,0,1,0,0,0,0,1,1,,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,si,lugar de origen,,,,techo improvisado,si,no,no,,kits dignidad,en el sitio menor 20 minutos,barril tanque 200L,no,agua embotellada,no,pozo,2,2,35.5,no,no,si,no,no,cada dos semanas,no,no,IRA,diarrea,0,no,en el sitio mayor 3 km,dia,gobierno,no,entre 2 km y 5 km,menor 25%,pesca,,menor 25%,no,no,no,no,no,,comunidad auto organizada,si,letrinas banos,identificacion de MNA,0,0,no,no,no,no,excelente,bueno,si,7,"si, adecuada",agua saneamiento higiene,no,no,si,no,no,no,no,no,no,distancia,si,no,no,no,no,no,no,ninguno,no tienes espacio para jugar,lider local,accesso asistencia,si,no sabe,no,ninguno,2016-05-19T00:25:55,85
Ecuador,2016-05-17,,Masculino,2,Esmeraldas,MUISNE,DAULE,Salima,ESM_036,Resinto el limon,Alberge el refugio,Campamento,Lote abierto,abierto,2016-04-17,,,0.2999225,-79.9526692,39.5,5,rural,Teniente politico de salima,no,.,si,,.,24,62,15,47,.,,2,2,1,1,,,,,,,2,1,,,,,,,,,15,3,,,,,,,si,lugar de origen,,,,carpas,si,si,si,kits cocina,ropa,fuera del sitio mayor 20 minutos,barril tanque 200L,si mas de 2L,tanquero,si mas de 15L,tanquero,2,2,31,si,no,si,no,si,una vez por semana,no,no,IRA,"Fiebre y alergias 
",,no,en el sitio menor 3 km,dia,gobierno,no,entre 1 km y 2 km,menor 50%,jornalero,ama de casa,menor 50%,si,si,si,no,no,,combinado policia militares,si,Por robos,identificacion de MNA,0,0,si,no,si,no,excelente,bueno,si,6,no hay,bienes no alimentarios salud comida educacion,no,si,no,si,si,si,no,no,no,distancia falta iluminacion seguridad,si,no,no,si,no,si,no,ninguno,,lider local,distribuciones,no,,,,2016-05-18T13:16:56,43
Ecuador,2016-05-17,,Masculino,2,Esmeraldas,MUISNE,DAULE,Daule,ESM_037,La tola,Daule,Espontaneo,Lote abierto,abierto,2016-04-24,,,0.371241815,-79.95756714,,,rural,mies,si,,si,,,11,40,15,25,.,,,,0,1,,,1,0,,,2,,2,,,,,,,,1,0,,,,,,,si,lugar de origen,,,,techo improvisado,si,no,si,kits cocina,kits cocina,fuera del sitio mayor 20 minutos,barril tanque 200L,si mas de 2L,agua embotellada,si mas de 15L,tanquero,1,1,40,no,no,no,no,si,cada dos dias,no,no,IRA,,,no,fuera del sitio mayor 3 km,dia,gobierno,si,entre 5 km y 10 km,menor 75%,agricultura,,menor 50%,si,si,si,no,si,Robos,comunidad auto organizada,no,,identificacion de MNA,1,0,si,no,no,no,bueno,bueno,si,,no hay,vivienda temporal agua saneamiento higiene salud comida educacion,si,no,si,si,si,si,no,no,no,distancia diseno falta iluminacion seguridad,si,si,no,si,no,si,no,ninguno,,lider local,,no,,,,2016-05-18T14:21:22,64
